iso3166_1_a2,iso3166_1_a3,itemLabel
MP,MNP,Северные Марианские острова
MQ,MTQ,Мартиника
MR,MRT,Мавритания
MS,MSR,Монтсеррат
MT,MLT,Мальта
MU,MUS,Маврикий
MV,MDV,Мальдивы
MW,MWI,Малави
MX,MEX,Мексика
MY,MYS,Малайзия
MZ,MOZ,Мозамбик
NA,NAM,Намибия
NC,NCL,Новая Каледония
NE,NER,Нигер
NF,NFK,Норфолк
NG,NGA,Нигерия
NI,NIC,Никарагуа
NL,NLD,Нидерланды
NL,NLD,Королевство Нидерландов
NO,NOR,Норвегия
NP,NPL,Непал
NR,NRU,Науру
NU,NIU,Ниуэ
NZ,NZL,Новая Зеландия
OM,OMN,Оман
PA,PAN,Панама
PE,PER,Перу
PF,PYF,Французская Полинезия
PG,PNG,Папуа-Новая Гвинея
PH,PHL,Филиппины
PK,PAK,Пакистан
PL,POL,Польша
PM,SPM,Сен-Пьер и Микелон
PN,PCN,Острова Питкэрн
PR,PRI,Пуэрто-Рико
PS,PSE,Государство Палестина
PS,PSE,Палестинские территории
PT,PRT,Португалия
PW,PLW,Палау
PY,PRY,Парагвай
QA,QAT,Катар
RE,REU,Реюньон
RO,ROU,Румыния
RS,SRB,Сербия
RU,RUS,Россия
RW,RWA,Руанда
SA,SAU,Саудовская Аравия
SB,SLB,Соломоновы Острова
SC,SYC,Сейшельские Острова
SD,SDN,Судан
SE,SWE,Швеция
SG,SGP,Сингапур
SH,SHN,"Острова Святой Елены, Вознесения и Тристан-да-Кунья"
SI,SVN,Словения
SJ,SJM,Шпицберген и Ян-Майен
SK,SVK,Словакия
SL,SLE,Сьерра-Леоне
SM,SMR,Сан-Марино
SN,SEN,Сенегал
SO,SOM,Сомали
SR,SUR,Суринам
SS,SSD,Южный Судан
ST,STP,Сан-Томе и Принсипи
SV,SLV,Сальвадор
SX,SXM,Синт-Мартен
SY,SYR,Сирия
SZ,SWZ,Свазиленд
TC,TCA,Тёркс и Кайкос
TD,TCD,Чад
TF,ATF,Французские Южные и Антарктические территории
TG,TGO,Того
TH,THA,Таиланд
TJ,TJK,Таджикистан
TK,TKL,Токелау
TL,TLS,Восточный Тимор
TM,TKM,Туркмения
TN,TUN,Тунис
TO,TON,Тонга
TR,TUR,Турция
TT,TTO,Тринидад и Тобаго
TV,TUV,Тувалу
TW,TWN,Китайская Республика
TZ,TZA,Танзания
UA,UKR,Украина
UG,UGA,Уганда
UM,UMI,Внешние малые острова США
US,USA,Соединённые Штаты Америки
UY,URY,Уругвай
UZ,UZB,Узбекистан
VA,VAT,Ватикан
VC,VCT,Сент-Винсент и Гренадины
VE,VEN,Венесуэла
VG,VGB,Британские Виргинские острова
VI,VIR,Американские Виргинские острова
VN,VNM,Вьетнам
VU,VUT,Вануату
WF,WLF,Уоллис и Футуна
WS,WSM,Самоа
YE,YEM,Йемен
YT,MYT,Майотта
YU,YUG,СФРЮ
YU,YUG,Союзная Республика Югославия
ZA,ZAF,Южно-Африканская Республика
ZM,ZMB,Замбия
ZW,ZWE,Зимбабве
