"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: March 2012 - May 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/14/2013","","","","","",""

"","","","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013"
"69","[P](U)","    CCM-Benchmark","51,982","51,089","50,116","47,047","44,585","41,687","42,847","45,841","47,142","48,099","50,486","47,847","53,570","59,596","58,677"
"70","[P]","    FC2 inc.","60,687","60,214","60,551","60,543","61,191","61,452","60,552","59,494","58,640","58,424","58,985","55,463","57,491","56,861","57,425"
"71","[P](U)","    ESPN","64,753","57,784","54,072","58,975","55,640","61,575","72,971","66,710","62,716","59,913","62,688","50,606","63,194","59,818","57,120"
"72","[P](u)","    SpinMedia","38,537","62,124","72,934","76,120","74,543","79,536","75,573","76,209","74,930","81,988","81,160","62,276","63,476","61,151","56,693"
"73","[P]","    Deutsche Telekom","53,075","54,726","54,206","54,202","53,095","52,399","55,510","56,852","57,674","56,252","56,510","51,080","53,621","55,371","56,382"
"74","[P]","    Samsung Group","36,569","35,002","42,859","43,833","43,955","42,473","42,110","43,453","46,167","51,359","41,136","36,211","44,438","46,158","52,604"
"75","[P]","    craigslist, inc.","57,298","55,824","56,339","57,165","59,667","56,995","53,878","52,079","50,218","48,901","51,921","50,757","53,948","53,983","52,515"
"76","[P](U)","    New York Times Digital","136,017","127,092","132,671","123,804","120,868","134,693","133,489","54,990","55,505","47,412","51,127","47,797","52,018","59,253","51,278"
"77","[P](u)","    Globo","46,469","45,567","46,731","47,116","46,779","46,869","45,869","47,817","45,826","43,688","46,368","46,919","50,997","50,646","51,073"
"78","[P]","    MercadoLibre","38,647","38,683","40,743","39,412","39,834","39,536","38,887","40,431","40,653","41,243","42,603","45,938","50,092","50,008","51,016"
"79","[P](U)","    CraveOnline (Evolve Media LLC.)","38,507","38,171","37,900","36,367","34,144","34,716","32,787","53,956","54,870","61,794","62,598","54,858","57,268","53,860","50,549"
"80","[P]","    CHINA.COM.CN","18,059","15,076","13,863","14,172","14,962","15,972","17,047","17,707","25,209","19,425","18,182","14,264","28,292","48,537","50,143"
"81","[P]","    Conde Nast Digital","45,494","45,678","45,581","38,072","35,659","40,197","41,820","45,345","43,409","45,399","50,071","44,332","49,570","49,897","50,090"
"82","[P]","    MIH Limited","46,838","48,624","51,728","48,853","50,115","52,171","53,566","54,291","53,319","55,357","60,331","53,494","54,000","50,732","49,614"
"83","[P](u)","    WebMD Health","32,582","31,304","32,168","31,411","31,219","44,771","44,972","50,281","48,490","44,643","52,723","48,101","51,304","51,632","48,736"
"84","[P](u)","    Break Media","79,818","78,591","81,251","79,976","82,133","69,900","64,012","61,190","60,056","60,214","58,755","50,280","54,403","50,365","48,489"
"85","[P]","    DOUBAN.COM","31,887","28,813","28,105","29,072","31,876","32,716","32,463","34,702","35,367","37,804","35,203","29,410","32,477","41,194","48,029"
"86","[P]","    WIKIHOW.COM","21,275","21,602","23,774","26,468","28,973","26,123","25,205","27,069","25,610","25,544","27,953","28,634","36,439","40,712","45,624"
