"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2011 comScore, Inc"
"","","","Time Period :: September 2010 - November 2011","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 12/19/2011","","","","","",""

"","","","Sep-2010","Oct-2010","Nov-2010","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011"
"167","[P]","    Dell","24,326","25,934","28,071","23,384","23,660","20,685","22,231","20,128","20,624","21,679","23,891","23,722","24,135","25,226","28,578"
"168","[P]","    NETFLIX.COM","19,924","20,121","18,837","23,239","27,279","26,081","28,616","29,974","34,132","28,900","30,955","30,163","32,766","29,716","28,337"
"169","[P](U)","    Bestofmedia Group","34,891","36,825","38,301","37,867","39,422","35,726","37,557","37,559","36,580","36,323","26,239","26,489","26,649","27,530","28,263"
"170","[P]","    CONDUIT.COM","100,763","101,037","101,412","102,566","90,964","62,081","64,469","29,629","31,678","35,022","17,246","18,191","23,656","26,160","28,168"
"171","[P](u)","    Ticketmaster","20,973","20,902","19,360","18,629","18,953","20,659","21,797","19,141","20,188","20,016","21,374","21,338","22,963","27,873","27,995"
"172","[P]","    Verizon Communications Corporation","27,651","26,295","25,824","26,943","25,257","23,135","23,440","22,048","22,165","23,792","25,927","25,121","24,950","26,895","27,468"
"173","[P]","    AVAST.COM","16,783","19,540","19,949","18,009","18,874","16,141","16,989","16,473","15,803","19,558","21,435","12,879","21,637","24,016","27,375"
"174","[P](u)","    ABCNEWS DIGITAL","11,907","19,321","21,917","22,002","25,079","21,951","26,449","26,043","33,008","22,852","26,004","29,082","27,095","31,187","27,249"
"175","[P]","    RTL Group Sites","29,601","30,187","30,341","30,073","29,298","26,214","28,563","27,971","30,173","27,872","27,269","26,453","27,348","29,182","27,229"
"176","[P]","    FUNSHION.COM","14,748","14,642","13,829","15,141","17,618","17,685","16,121","15,757","20,117","21,812","25,750","26,569","26,353","26,249","27,121"
"177","[P]","    NIH","19,262","20,491","21,019","16,960","18,497","19,723","22,764","20,790","22,676","20,718","19,858","21,437","24,523","27,073","26,790"
"178","[P]","    Xinhua News Agency","22,571","20,288","19,620","18,472","18,600","17,839","23,197","19,802","22,534","23,917","26,215","24,855","26,168","26,575","26,550"
"179","[P](u)","    Reuters Sites","20,800","21,514","21,962","18,809","23,658","24,089","32,244","25,169","31,089","25,233","27,649","29,016","28,123","31,209","26,399"
"180","[P]","    Rambler Media","20,479","20,832","20,295","21,694","21,351","19,781","21,584","20,800","21,741","21,519","23,294","22,623","23,213","25,891","26,155"
"181","[P]","    MINICLIP.COM","23,051","23,418","26,172","29,721","28,346","24,369","23,526","23,959","25,135","27,633","28,094","28,995","26,220","27,431","26,029"
"182","[P](U)","    AlloCine Sites","10,976","15,595","15,379","15,202","16,311","15,419","15,321","14,652","17,020","18,450","20,124","22,752","19,191","20,905","25,971"
"183","[P](U)","    Network 18","19,830","21,671","23,413","23,899","24,943","28,936","33,442","38,209","38,948","34,534","34,034","30,367","27,221","25,937","25,829"
"184","[P]","    IKEA","22,418","21,297","21,600","19,955","24,342","19,110","19,896","17,822","18,929","19,311","21,616","24,279","23,915","24,555","25,428"
"185","[P](U)","    Hearst Corporation","20,828","21,026","21,735","18,929","20,697","18,720","20,856","20,537","24,382","22,725","22,488","25,997","27,414","26,833","25,427"
"186","[P](U)","    Times Internet Limited","17,632","20,091","19,243","19,257","20,206","19,869","22,483","23,044","24,424","21,247","22,782","23,403","24,159","23,393","25,425"
"187","[P]","    Bank of America","25,275","23,461","24,374","27,609","27,065","25,153","25,222","23,861","24,613","26,320","26,843","26,220","25,151","26,377","25,412"
"188","[P]","    Samurai Factory Inc.","16,369","16,399","17,141","17,548","18,206","16,829","17,294","16,768","18,199","19,732","22,658","24,325","28,931","25,841","25,297"
"189","[P]","    GANJI.COM","11,286","10,563","9,214","7,759","10,080","11,529","15,387","13,067","18,137","25,013","26,797","28,394","24,063","26,674","25,197"
"190","[P](U)","    CareerBuilder LLC","26,615","26,429","28,164","23,545","30,764","27,205","30,222","29,858","29,886","26,465","28,893","29,640","29,158","28,941","25,176"
"191","[P]","    DOUBAN.COM","14,185","13,345","11,992","12,725","16,111","14,031","14,549","13,108","16,465","17,983","19,012","19,214","21,743","25,219","24,978"
"192","[P]","    Hi-Media Group","26,152","27,350","29,431","27,964","27,050","24,250","24,831","22,772","23,643","23,887","22,983","24,433","24,423","26,440","24,958"
"193","[P](U)","    ValueClick Sites","27,067","26,683","23,527","24,921","23,122","21,861","22,351","21,092","21,752","18,886","17,994","19,623","21,266","23,679","24,461"
"194","[P]","    AVG Technologies","19,662","34,068","58,760","45,625","22,147","19,879","19,463","21,051","33,812","35,374","34,400","33,435","33,860","40,205","24,428"
"195","[P]","    AT&T, Inc.","23,543","23,229","23,256","24,039","22,975","21,853","22,916","20,208","21,990","23,140","23,720","24,951","24,310","25,171","24,333"
"196","[P](u)","    CafeMom Network","19,876","23,835","31,210","24,503","21,465","22,314","24,226","23,588","23,959","24,277","25,245","28,464","26,305","21,880","24,056"
"197","[P]","    ARTISTdirect Network","25,080","26,327","25,568","24,818","22,231","19,648","20,031","19,771","22,210","22,489","22,324","22,682","23,386","24,360","24,025"
"198","[P]","    Gruner+Jahr Sites","21,532","22,283","22,388","22,971","23,367","20,664","22,016","20,505","21,854","21,544","21,511","21,736","22,393","24,917","23,949"
"199","[P](u)","    WorldNow Sites","14,660","17,592","14,659","14,835","16,905","20,937","19,342","19,713","20,311","19,389","19,943","23,451","21,749","22,171","23,880"
"200","[P](u)","    Groupe TF1","21,776","22,142","21,614","22,435","24,639","21,349","24,052","21,460","24,041","21,093","22,455","23,183","24,320","25,517","23,818"
"201","[P]","    Y8.COM","12,429","11,161","12,102","14,356","13,378","12,564","12,621","13,075","12,814","14,212","14,678","14,178","12,370","23,154","23,716"
"202","[P]","    China Central Television Sites","6,884","5,405","5,874","13,636","16,154","15,908","17,865","16,868","20,147","21,143","22,191","20,938","24,378","24,480","23,458"
"203","[P]","    Toysrus Sites","10,342","13,289","21,828","23,169","10,078","8,155","8,513","8,150","8,045","8,658","9,961","9,817","10,966","13,633","23,373"
"204","[P](u)","    Pearson Education","17,075","17,902","18,562","16,627","20,841","20,198","21,891","19,647","20,461","16,211","12,030","16,266","23,916","24,220","23,324"
"205","[P]","    Kakaku.com Inc.","21,647","21,182","21,477","20,642","21,689","19,850","18,902","18,291","20,515","20,400","21,432","21,909","22,576","23,563","23,314"
"206","[P]","    Hatena","16,258","15,655","18,129","16,867","18,045","15,998","17,300","16,737","18,619","18,689","19,449","20,616","22,060","23,706","23,254"
"207","[P]","    JPMorgan Chase Property","20,646","19,118","19,521","21,967","21,039","19,513","19,273","18,867","19,140","20,350","21,677","21,687","21,646","23,432","22,994"
"208","[P]","    People's Daily online","16,095","14,412","14,611","13,353","15,393","13,200","16,280","14,016","16,493","18,630","20,674","21,084","19,474","20,196","22,932"
"209","[P](U)","    CityGrid Media","14,528","14,386","22,135","22,538","23,867","24,736","26,181","24,756","24,974","24,783","25,984","25,973","23,466","23,013","22,623"
"210","[P]","    NEC Corporation","22,423","22,795","21,850","21,221","21,008","20,346","20,112","19,479","20,928","20,089","21,179","22,964","22,299","23,209","22,554"
"211","[P]","    Verlagsgruppe Georg von Holtzbrinck","28,501","29,167","27,947","25,962","26,259","24,648","25,320","22,454","22,899","21,280","19,380","19,862","21,416","22,634","22,381"
"212","[P]","    LETITBIT.NET","16,975","19,541","19,346","18,690","19,200","17,768","17,341","17,015","18,542","18,233","18,618","18,551","19,133","21,881","22,344"
"213","[P]","    United Online, Inc","30,181","31,355","33,093","27,096","26,422","22,986","20,845","18,913","20,959","21,362","23,731","24,742","22,842","21,530","22,271"
"214","[P](u)","    Cox Enterprises Inc.","22,549","21,604","20,364","21,862","22,944","21,057","24,298","23,408","24,631","24,423","23,920","24,355","23,684","23,577","22,078"
"215","[P]","    BEEMP3.COM","19,673","21,374","22,718","23,017","22,421","20,917","21,426","19,762","20,176","19,594","18,974","19,029","20,448","21,546","22,024"
"216","[P]","    SK Group","22,603","22,203","21,608","21,553","21,379","19,756","20,503","19,603","20,602","20,210","20,712","22,134","22,469","22,805","22,007"
"217","[P]","    PICNIK.COM","17,237","18,230","18,993","21,599","23,231","19,944","20,656","21,123","22,698","22,767","23,430","23,018","21,737","21,847","21,933"
"218","[P]","    Recruit Co., Ltd.","19,047","18,167","17,736","16,249","17,037","17,876","18,676","16,681","17,314","17,266","18,847","19,772","21,286","19,430","21,879"
"219","[P]","    WeatherBug Property","29,096","29,510","27,817","32,353","31,120","29,301","28,219","27,996","27,058","26,525","26,502","23,734","21,925","21,767","21,693"
"220","[P]","    SHOUTMIX.COM","17,451","17,709","16,510","15,505","16,211","14,967","16,129","15,355","16,348","15,922","17,170","18,683","19,021","21,492","21,660"
"221","[P](u)","    Hulu","20,772","22,921","22,117","21,672","22,339","21,009","21,396","20,915","21,162","18,750","19,384","20,784","19,622","20,718","21,573"
"222","[P](u)","    Populis","17,802","18,416","20,803","18,100","21,996","23,133","23,461","22,492","19,804","16,599","15,891","13,632","20,228","21,623","21,368"
"223","[P](u)","    BuscaPe.com Inc.","11,132","10,935","11,486","11,410","11,387","11,249","12,201","11,857","12,911","13,187","12,962","13,617","19,956","19,882","21,039"
"224","[P](U)","    PANDORA.COM","14,516","15,431","17,484","21,606","20,529","16,829","18,006","18,040","17,213","16,763","17,111","17,708","18,863","20,200","20,840"
"225","[P]","    Vivendi","21,144","19,534","19,985","18,995","20,126","18,633","20,169","19,653","20,038","19,838","18,683","19,446","22,108","24,222","20,832"
"226","[P](U)","    Advance Digital","19,107","19,397","19,213","17,783","19,750","18,551","20,279","20,263","20,674","19,513","18,935","21,411","20,017","20,080","20,739"
"227","[P](U)","    WhitePages","19,886","19,761","20,083","23,766","21,833","19,604","20,293","19,309","19,568","21,024","21,618","23,366","22,717","22,337","20,642"
"228","[P]","    Valve Corporation","10,417","11,283","11,493","11,406","11,217","10,072","11,041","11,627","12,459","14,540","15,431","16,482","17,390","19,165","20,379"
"229","[P]","    Kingsoft Corp","20,437","17,759","19,574","15,315","11,424","10,187","21,889","10,912","14,653","18,774","18,049","19,298","14,710","20,633","20,313"
"230","[P]","    McAfee.com Sites","26,566","25,222","25,903","37,839","24,843","21,934","15,024","12,545","11,828","11,533","11,668","12,045","14,870","15,437","20,265"
"231","[P]","    Research In Motion Limited","16,101","15,700","16,313","15,355","15,608","14,641","14,000","13,322","16,689","15,869","16,338","19,190","18,525","22,535","20,246"
"232","[P]","    Excite Japan Sites","19,571","19,187","18,265","16,914","17,840","16,319","17,474","17,663","19,177","18,703","18,542","19,106","19,974","20,706","20,187"
"233","[P]","    JCPenney Sites","12,231","12,851","18,345","18,254","12,685","11,316","11,283","10,843","10,455","11,199","12,467","12,950","13,077","14,693","20,113"
"234","[P]","    Citigroup","19,125","18,394","17,626","18,413","17,948","17,400","17,628","17,271","17,891","19,003","19,484","19,732","19,971","19,893","20,102"
"235","[P]","    BitComet (App)","15,788","15,281","15,421","15,400","14,958","15,418","15,358","15,074","16,328","16,817","17,854","18,448","18,922","20,328","20,086"
"236","[P](u)","    Rediff.com India Ltd","13,740","13,239","12,758","17,514","18,236","17,111","19,103","18,351","18,458","18,331","19,675","19,022","19,003","19,024","20,059"
"237","[P]","    Groupe M6","16,988","17,613","18,938","17,846","17,380","16,190","16,690","15,636","15,723","17,793","16,694","16,858","17,933","19,150","20,016"
"238","[P]","    Macy's Inc.","11,410","11,606","16,143","17,150","11,453","10,623","10,846","10,469","10,815","10,782","11,450","12,036","13,121","13,220","19,878"
"239","[P](u)","    Meredith Women's Network","10,594","12,864","11,499","11,852","11,745","10,871","15,181","16,667","17,859","18,007","18,080","16,440","16,234","19,147","19,840"
"240","[P]","    UPS Sites","16,102","15,858","16,146","21,746","16,358","16,014","15,980","13,701","15,320","16,264","16,414","16,925","17,630","18,247","19,575"
"241","[P]","    SouFun.com Limited","16,910","14,808","14,007","12,971","12,706","13,632","15,908","13,467","14,668","13,846","16,139","14,575","18,574","18,349","19,343"
"242","[P]","    SOFTPEDIA.COM","17,619","18,664","17,195","16,138","17,068","14,453","15,411","15,020","16,263","15,919","15,942","17,336","18,189","21,451","19,277"
"243","[P](u)","    Encyclopaedia Britannica","19,262","18,817","18,472","17,498","18,650","15,603","18,127","16,765","17,298","15,640","13,696","14,344","18,622","20,490","19,269"
"244","[P]","    HSBC","19,347","18,354","18,217","18,881","18,948","17,458","17,710","17,141","18,216","18,589","19,320","19,495","19,329","19,633","19,236"
"245","[P]","    SOFTBANK Group","16,095","15,806","15,413","15,252","15,943","14,439","15,388","14,381","16,089","15,222","15,148","16,127","17,324","19,262","19,185"
"246","[P](u)","    Healthline","7,900","8,164","8,088","7,374","8,439","9,084","14,352","13,924","15,836","16,161","15,444","15,146","16,146","17,374","19,145"
"247","[P]","    WIND Telecomunicazioni","12,027","12,294","17,703","17,050","17,573","16,297","16,950","16,717","17,056","16,932","15,945","15,721","18,085","18,387","19,094"
"248","[P]","    Cyworld","19,340","18,389","17,663","16,817","17,587","15,843","16,114","15,750","16,917","17,349","17,924","19,686","21,714","20,184","18,910"
"249","[P](U)","    Sugar, Inc - PopSugar Network","13,669","14,794","14,836","16,291","16,726","16,021","16,928","18,124","19,813","18,984","18,730","18,729","18,400","18,671","18,840"
"250","[P]","    NASZA-KLASA.PL","16,901","16,913","17,000","17,502","17,354","16,498","16,674","17,340","18,192","18,135","18,168","18,546","18,599","19,120","18,778"
"251","[P]","    Vocento","17,156","17,939","17,476","17,506","17,848","16,787","18,107","16,492","17,789","17,075","16,777","17,384","17,868","19,349","18,723"
"252","[P]","    Wells Fargo","17,938","16,758","17,162","19,281","19,168","18,442","18,124","17,493","18,242","19,386","19,617","19,355","19,362","19,333","18,664"
"253","[P]","    Kingfisher","12,828","13,776","15,497","14,544","13,747","12,213","12,707","13,066","13,433","13,613","13,970","13,635","14,598","15,365","18,653"
"254","[P]","    HEXUN.COM","11,944","11,684","13,920","11,924","12,808","12,471","13,590","13,393","15,393","16,935","19,380","17,426","15,827","18,082","18,450"
"255","[P]","    MUSICA.COM","14,874","15,665","15,891","15,200","15,347","14,456","15,684","15,105","16,894","16,999","17,432","18,367","18,198","18,522","18,393"
"256","[P]","    NextRadio TV","14,250","15,341","15,817","14,699","15,709","13,375","14,204","13,251","14,168","14,556","14,382","15,996","16,075","17,168","18,315"
"257","[P]","    Procter & Gamble","14,420","13,586","14,118","14,426","13,070","12,380","12,607","11,810","13,213","14,661","13,192","15,456","16,902","16,363","18,212"
"258","[P](U)","    MANTA.COM","16,601","17,986","18,814","19,027","23,346","22,163","21,195","19,002","18,611","18,962","18,952","20,864","19,519","19,078","18,203"
"259","[P]","    Reed Business Information","25,173","24,653","23,438","21,682","25,902","23,986","25,440","21,812","23,320","21,762","19,596","18,802","17,637","18,029","18,138"
"260","[P]","    BTJUNKIE.ORG","15,221","15,615","15,586","15,899","15,832","14,511","15,312","14,873","15,853","16,407","17,842","18,052","19,212","20,139","18,058"
"261","[P]","    GiantRealm","20,250","21,973","22,814","22,261","21,113","17,332","19,120","21,054","19,445","20,816","20,795","19,906","18,144","19,568","18,028"
"262","[P]","    Volkswagen","17,195","15,249","15,246","13,476","14,372","13,792","15,437","13,550","13,870","13,450","14,254","14,160","16,787","17,652","17,935"
"263","[P]","    UPLOADED.TO","7,424","7,950","8,413","7,211","7,811","7,650","9,275","9,883","12,875","14,468","13,698","13,968","14,872","17,470","17,787"
"264","[P](U)","    Forbes Digital","14,223","15,628","17,596","13,811","14,230","13,467","15,724","15,195","14,382","16,280","15,762","18,021","18,190","18,657","17,748"
"265","[P](U)","    BabyCenter Network","11,994","12,622","13,914","14,660","15,973","14,595","15,741","15,803","16,532","16,026","16,291","17,300","17,686","17,898","17,629"
"266","[P](u)","    LeGuide.com Sites","12,979","14,290","16,476","15,493","15,687","13,995","14,221","12,980","16,507","17,201","17,225","15,387","14,877","15,833","17,379"
"267","[P]","    WORDREFERENCE.COM","14,535","14,796","15,017","12,130","13,525","12,349","14,274","12,447","14,625","13,376","11,473","13,716","16,344","17,806","17,349"
"268","[P]","    eMule (App)","28,797","27,190","26,675","24,761","24,131","20,278","20,708","19,726","19,593","19,013","18,475","18,095","17,745","17,973","17,295"
"269","[P]","    SWEETIM.COM","11,714","9,602","9,436","9,451","10,724","11,197","11,099","12,510","13,924","11,231","13,850","19,461","17,219","22,134","17,119"
"270","[P]","    KOOWO.COM","1,329","1,248","1,769","3,120","2,101","1,165","1,389","1,271","1,561","1,402","1,347","3,276","10,532","19,140","17,076"
"271","[P]","    TOM.COM Limited","18,303","16,756","15,335","14,583","14,512","14,883","16,094","14,089","14,680","15,561","15,199","16,857","17,042","17,257","17,026"
"272","[P]","    METRO Group","11,450","12,069","13,453","15,368","13,591","10,045","10,432","9,889","11,243","12,440","12,177","12,070","12,648","16,628","16,915"
"273","[P]","    General Motors","15,337","15,676","16,153","17,113","13,499","13,841","14,366","12,800","13,205","14,924","14,459","14,021","14,756","17,349","16,901"
"274","[P]","    Kohls Corporation","7,811","8,599","13,747","14,175","8,667","7,107","8,096","7,883","7,566","7,720","8,282","9,627","9,824","10,201","16,628"
"275","[P]","    Capital One","12,606","12,110","12,182","13,580","13,117","12,416","12,662","12,532","13,211","14,701","15,241","15,102","15,493","16,699","16,401"
"276","[P]","    CT10000.COM","8,513","9,065","9,390","9,161","9,872","8,824","11,358","10,399","10,131","11,869","12,813","9,524","14,563","15,694","16,220"
"277","[P](u)","    Sky Sites","14,244","14,275","14,341","13,795","14,932","12,863","12,793","14,485","15,717","14,347","16,061","18,427","17,039","16,443","16,196"
"278","[P](U)","    Skyrock","18,724","18,006","18,274","17,609","16,803","15,841","16,552","15,674","15,047","15,095","14,664","14,712","14,972","15,688","16,143"
"279","[P]","    Ford Motor Company","14,473","13,508","13,834","14,061","11,921","12,557","15,242","13,543","14,190","13,283","13,597","12,976","15,899","15,494","16,094"
"280","[P](u)","    Clear Channel Online","12,404","13,556","14,175","13,569","13,011","12,649","13,602","14,300","14,565","14,213","15,599","15,920","17,011","16,135","15,991"
"281","[P]","    Corel Corporation","11,709","11,624","12,539","12,441","12,411","11,240","12,381","11,336","12,701","11,873","11,884","12,607","12,858","13,992","15,871"
"282","[P](u)","    Grupo Clarin","11,171","11,719","11,567","8,259","8,424","8,535","10,520","8,873","9,425","12,931","13,654","13,849","14,381","16,254","15,869"
"283","[P]","    Telecom Italia","17,523","17,350","17,621","17,138","17,944","17,313","18,049","16,154","16,974","15,450","13,702","13,873","14,755","16,133","15,828"
"284","[P](u)","    Grupo Abril","13,149","12,762","13,226","12,098","13,270","12,472","13,950","12,865","13,317","13,494","13,046","14,679","15,322","16,416","15,807"
"285","[P]","    QIANQIAN.COM","13,488","12,862","12,303","12,655","12,759","11,954","14,435","13,481","13,238","12,928","14,236","13,419","14,700","16,653","15,685"
"286","[P]","    ING Group","12,782","12,959","13,435","12,536","13,861","12,577","12,792","12,089","13,749","13,618","13,971","13,886","13,893","15,397","15,680"
"287","[P]","    Xacti Corporation","7,868","7,706","8,017","8,650","9,660","11,196","13,748","15,033","16,296","16,083","17,704","19,918","20,901","18,718","15,641"
"288","[P]","    Orbitz Worldwide","16,185","15,390","16,028","12,708","17,016","15,605","16,548","14,756","15,174","16,221","18,689","17,005","15,624","15,680","15,455"
"289","[P]","    WIKIHOW.COM","14,403","18,013","17,863","19,250","17,634","13,942","14,066","14,800","17,680","15,846","14,077","14,934","15,336","17,025","15,437"
"290","[P]","    Globe7","15,017","16,935","14,386","13,375","12,523","11,995","12,430","12,202","13,321","12,871","14,210","14,281","15,961","16,975","15,360"
"291","[P]","    The Home Depot, Inc.","12,898","11,154","12,764","11,608","9,904","9,516","10,019","10,437","11,920","11,855","11,679","12,032","13,247","13,673","15,258"
"292","[P]","    Hispavista Sites","16,872","17,784","17,733","15,568","16,562","15,901","17,823","16,788","17,713","16,726","16,284","15,568","15,488","15,930","15,251"
"293","[P]","    American Express","14,255","13,042","12,985","13,463","13,414","12,064","11,623","10,577","11,273","14,254","12,502","12,764","14,096","15,206","15,236"
"294","[P]","    VeryCD","13,229","12,669","11,718","11,895","13,050","9,844","11,774","10,183","11,103","12,779","13,004","13,738","13,272","14,598","15,233"
"295","[P]","    Oracle Corporation","9,852","10,354","10,058","8,270","10,737","10,664","11,624","10,027","12,481","12,351","10,471","11,429","13,909","15,908","15,129"
"296","[P]","    TALEO.NET","13,085","12,923","11,693","11,514","13,858","12,053","12,715","12,304","13,821","14,936","15,875","16,163","16,796","16,464","15,069"
"297","[P]","    Michelin Group","11,487","11,571","11,241","9,752","13,816","13,599","14,964","15,478","16,407","17,501","18,422","16,951","16,272","16,055","14,946"
"298","[P]","    IncrediMail Ltd","8,339","8,520","8,290","8,552","8,652","7,901","8,377","7,990","7,693","7,980","6,901","6,782","8,996","10,894","14,938"
"299","[P]","    CDC Corporation Sites","11,959","11,339","10,223","9,893","10,048","8,138","12,238","10,279","11,253","12,828","14,576","13,820","14,647","14,237","14,915"
"300","[P]","    Groupe Figaro","10,713","11,070","11,658","11,928","11,797","11,321","11,683","11,976","13,585","12,650","12,828","13,118","13,863","15,276","14,869"
"301","[P]","    Toyota","12,036","11,617","12,675","12,246","12,836","12,202","13,846","10,313","10,241","10,196","12,263","12,207","15,899","17,050","14,807"
"302","[P](U)","    Mattel Sites","7,755","11,741","13,746","14,054","10,503","8,909","9,924","9,643","9,003","9,018","10,322","11,049","11,153","12,579","14,680"
"303","[P](u)","    McClatchy Corporation","15,441","15,867","15,201","14,843","15,523","13,821","15,523","14,370","16,186","15,699","15,096","16,702","15,849","14,513","14,674"
"304","[P](u)","    National Geographic Sites","12,037","12,675","13,477","12,770","15,043","13,513","16,476","13,589","14,925","12,820","10,498","11,558","13,464","14,815","14,650"
"305","[P]","    China Construction Bank","10,002","9,219","9,433","7,999","9,370","7,486","9,921","9,153","9,946","10,536","9,648","10,514","13,032","14,046","14,597"
"306","[P](u)","    URBANDICTIONARY.COM","10,679","11,226","11,407","11,912","11,735","9,030","9,211","9,445","10,648","11,439","11,742","12,734","12,676","14,089","14,566"
"307","[P]","    Bigpoint","10,652","12,654","13,212","13,058","13,182","12,012","11,922","11,777","11,036","11,649","13,771","15,108","14,251","14,669","14,494"
"308","[P]","    LG Group","13,715","13,668","13,614","13,579","12,560","10,714","10,901","11,455","13,591","12,946","12,255","12,220","13,972","15,186","14,355"
"309","[P]","    Aljazeera","6,257","6,531","6,063","5,674","10,513","16,480","12,237","8,429","9,665","7,077","6,862","9,586","8,652","9,837","14,330"
"310","[P]","    Telegraph Media Group","11,149","11,483","10,979","9,672","9,772","10,619","11,860","12,053","13,669","11,557","12,222","13,187","12,319","14,894","14,275"
"311","[P]","    BITCOMET.COM","9,752","9,169","9,199","9,656","10,030","9,751","9,436","9,087","10,299","10,869","12,010","12,532","13,525","14,806","14,201"
"312","[P]","    Gap, Inc.","8,881","10,125","12,734","12,244","9,006","7,130","8,283","7,809","7,488","8,657","8,642","10,378","9,807","10,235","14,200"
"313","[P]","    Chosun Ilbo","10,772","10,927","9,836","10,161","11,564","9,596","10,667","11,205","11,694","11,090","11,981","13,443","13,570","15,488","14,117"
"314","[P]","    MIXI, Inc.","13,913","13,832","13,180","13,823","16,558","15,167","18,715","18,263","12,856","12,518","13,251","13,866","14,045","14,600","14,080"
"315","[P]","    Nintendo Co.","10,122","9,300","10,414","12,090","10,307","8,078","9,392","8,142","7,797","9,644","10,205","9,929","9,290","11,030","14,045"
"316","[P]","    DUOWAN.COM","9,706","9,057","7,125","7,867","9,976","9,390","8,980","8,940","9,680","10,848","13,346","12,248","11,454","14,500","13,878"
"317","[P]","    Groupe Casino","10,298","11,255","13,627","15,126","14,889","11,065","11,153","10,775","12,092","12,265","11,428","12,409","11,440","12,476","13,798"
"318","[P]","    DMGT (exc Mail Online)","11,245","12,078","12,815","10,637","12,982","11,658","13,005","12,317","14,256","14,847","13,771","13,640","13,627","13,464","13,764"
"319","[P](u)","    Trinity Mirror Group","12,455","13,017","13,859","11,827","13,648","11,853","12,897","13,538","14,943","13,555","14,041","13,768","12,205","13,276","13,723"
"320","[P](u)","    Canoe Network","12,999","13,180","13,528","12,937","13,733","12,357","13,362","11,859","13,850","13,655","14,125","13,562","13,460","13,674","13,680"
"321","[P]","    Travelocity","17,636","16,265","15,276","14,433","18,870","17,569","17,256","14,269","15,491","16,749","19,035","18,408","15,101","14,523","13,658"
"322","[P]","    Seat Pagine Gialle","12,514","11,595","11,536","10,471","11,914","11,360","12,258","10,737","12,020","11,884","12,352","12,418","13,232","14,207","13,543"
"323","[P]","    McDonald's","9,558","12,684","10,572","8,791","9,130","8,540","9,912","10,518","11,400","9,924","9,724","9,033","11,535","17,283","13,491"
"324","[P]","    7K7K.COM","11,253","11,450","10,732","10,979","14,808","16,135","11,756","13,023","13,222","14,447","19,337","17,138","13,562","16,634","13,486"
"325","[P]","    Limitedbrands","8,248","8,876","12,072","13,936","10,884","8,772","8,550","7,955","8,712","9,525","8,654","8,498","8,688","9,176","13,476"
"326","[P]","    Activision Blizzard","11,092","7,747","9,713","6,638","8,231","6,886","4,737","3,806","7,596","7,294","8,085","5,995","5,869","7,421","13,416"
"327","[P]","    Seiko Epson Corp","10,211","10,386","11,280","11,742","11,032","10,770","11,395","9,786","10,753","10,646","10,465","10,502","12,510","13,214","13,345"
"328","[P]","    FrostWire","10,093","12,168","21,330","25,437","26,249","24,298","24,565","23,461","22,540","20,578","18,778","16,575","15,038","14,238","13,328"
"329","[P]","    La Poste","8,306","8,316","9,217","10,322","9,752","8,795","8,705","8,889","9,521","9,045","9,968","10,614","10,467","12,183","13,322"
"330","[P]","    LIVEINTERNET.RU","9,842","10,793","11,185","11,529","11,735","11,203","11,746","10,912","11,578","11,216","11,037","10,495","11,006","12,620","13,269"
"331","[P]","    Gameforge Sites","22,897","20,332","15,697","16,255","18,182","13,316","13,972","13,334","13,902","13,622","15,207","18,837","19,846","16,758","13,205"
"332","[P]","    SkyCN","11,531","10,709","10,227","9,701","9,406","8,317","10,715","9,112","9,456","11,189","12,929","11,508","12,941","14,566","13,171"
"333","[P](U)","    Move, Inc. Real Estate Sites","13,246","11,802","11,674","12,330","13,126","11,841","14,664","14,241","15,597","15,373","16,549","15,770","14,257","12,471","13,138"
"334","[P](u)","    UGO Entertainment","37,155","40,520","39,956","41,805","42,999","38,700","38,712","36,999","37,551","32,209","24,499","14,773","12,626","13,866","13,117"
"335","[P]","    VistaPrint Sites","11,964","11,709","13,319","12,550","11,893","10,748","9,592","8,508","9,116","9,242","9,155","9,531","10,325","11,319","13,109"
"336","[P]","    Experian Interactive","15,545","16,878","14,758","14,882","15,411","14,339","14,714","13,360","13,747","13,622","13,862","14,040","14,819","15,663","13,079"
"337","[P]","    Sprint Nextel Corporation","12,460","12,756","13,637","15,416","12,325","11,510","12,762","11,027","12,395","14,410","13,428","12,199","11,186","14,222","13,052"
"338","[P]","    Reed Elsevier Group","10,544","11,392","11,026","8,562","10,818","9,759","10,973","11,144","12,284","11,735","11,318","10,787","12,412","13,557","12,927"
"339","[P]","    SNDA Sites","17,862","11,012","10,661","11,315","11,360","12,369","11,975","11,946","13,869","17,419","8,977","7,340","10,983","12,104","12,904"
