"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: May 2012 - July 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 8/20/2013","","","","","",""

"","","","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013"
"125","[P]","    UNIVERSALIS.FR","728","437","258","238","459","636","610","647","604","712","730","659","577","346","246"
"126","[P]","    JEWISHVIRTUALLIBRARY.ORG","621","394","283","367","521","472","511","528","518","482","644","514","520","329","245"
"127","[P]","    EXAMPLEESSAYS.COM","599","372","246","183","402","370","409","298","272","335","425","377","389","202","238"
"128","[P]","    OSZK.HU","356","314","249","287","365","439","435","418","482","426","471","411","395","320","235"
"129","[M]","    Informit Network","225","206","256","235","244","213","367","280","271","292","309","277","243","145","227"
"130","[C]","    Voila.fr Translation","328","348","259","257","319","292","305","315","449","371","447","273","340","377","215"
"131","[P]","    HOWTODOTHINGS.COM","924","810","661","637","833","727","724","541","484","477","602","378","423","282","204"
"132","[C]","    BOOKFINDER.COM","331","326","245","323","336","335","290","225","383","189","301","205","204","164","202"
"133","[P]","    THEOI.COM","360","211","234","256","299","237","263","171","261","316","303","234","285","202","192"
"134","[P]","    SPISHY.RU","1,612","282","125","259","2,970","2,899","2,773","2,955","2,549","2,576","2,013","2,544","1,853","462","190"
"135","[P]","    MEGAESSAYS.COM","641","310","224","199","491","511","430","413","396","425","555","471","318","187","189"
"136","[P]","    KWINTESSENTIAL.CO.UK","599","493","340","356","630","455","465","389","271","359","401","425","441","245","178"
"137","[P]","    INFORMATIONSARCHIV.NET","336","246","245","311","324","191","286","276","321","269","255","239","266","222","178"
"138","[P]","    DEFINICION.ORG","437","328","231","373","380","334","291","147","229","271","284","359","364","239","178"
"139","[P]","    EGO4U.DE","478","337","122","148","347","345","421","358","348","332","412","489","424","401","175"
"140","[P]","    YEMINLISOZLUK.COM","327","259","260","248","231","276","331","420","383","260","262","217","152","155","171"
"141","[P]","    NCIKU.COM","158","119","167","167","158","196","181","217","275","203","225","224","174","172","170"
"142","[P]","    MYDICT.COM","397","311","294","339","325","287","381","327","288","317","273","277","272","277","166"
"143","[P]","    NEWWORLDENCYCLOPEDIA.ORG","606","363","300","278","471","538","498","414","358","361","478","419","265","224","163"
"144","[P]","    IPL.ORG","253","148","173","98","221","211","251","187","240","249","269","184","360","132","162"
"145","[P]","    WORDWEBONLINE.COM","142","116","102","108","122","156","115","159","206","101","128","113","142","120","153"
"146","[P]","    GEOGRAPH.ORG.UK","353","421","364","432","398","532","430","447","264","189","207","275","185","192","152"
"147","[P]","    BrainyMedia Sites","212","153","165","130","154","137","134","104","142","138","202","160","132","106","150"
"148","[P]","    LIB.OH.US","249","282","263","261","279","239","176","164","186","178","142","98","100","86","148"
"149","[P]","    VISUALTHESAURUS.COM","196","180","164","285","178","213","224","200","217","206","215","283","178","105","139"
"150","[P]","    SLOVO.WS","966","142","64","143","1,776","1,739","1,466","1,542","1,388","1,385","1,374","1,567","1,136","288","138"
"151","[P]","    ARKITERA.COM","184","156","133","151","144","167","186","171","170","116","149","137","121","167","136"
"152","[P]","    LUMINARIUM.ORG","218","170","88","107","156","163","230","157","181","186","134","125","172","121","125"
"153","[P]","    QUOTELAND.COM","250","199","201","213","183","154","143","181","143","187","120","145","109","124","124"
"154","[P]","    PANTHEON.ORG","229","153","205","116","178","218","176","137","173","210","220","156","175","138","123"
"155","[P]","    FAMOUSPOETSANDPOEMS.COM","611","285","321","268","302","404","294","294","158","187","241","188","260","90","117"
"156","[P]","    POEMSOURCE.COM","660","385","233","267","219","251","354","375","258","349","184","151","205","229","116"
"157","[P]","    FOURMILAB.CH","216","161","149","166","293","207","228","173","157","166","170","196","152","97","115"
"158","[P]","    FREEDICT.COM","187","217","203","205","192","165","156","156","200","135","152","143","175","189","113"
"159","[P]","    MANAGEMENTHELP.ORG","272","277","129","158","198","228","202","154","162","207","295","220","148","115","110"
"160","[P]","    WEBSTERS-ONLINE-DICTIONARY.ORG","422","307","365","381","347","322","50","117","94","55","95","74","66","130","110"
"161","[P]","    TOPLUMDUSMANI.NET","658","259","218","197","453","584","766","720","514","388","561","630","405","196","105"
"162","[P]","    WWWW4.COM","477","250","87","119","298","304","304","459","315","290","308","364","295","210","103"
"163","[P]","    FRENCH-LINGUISTICS.CO.UK*","224","213","116","108","281","277","199","165","246","173","210","230","222","136","103"
"164","[P]","    EYEWITNESSTOHISTORY.COM","272","171","154","112","176","240","217","209","226","234","289","341","285","165","102"
"165","[P]","    BIYOGRAFI.INFO","187","89","73","85","78","113","125","130","166","97","158","211","214","118","100"
"166","[P]","    YOURCHILDLEARNS.COM","127","119","200","133","191","178","159","120","129","145","117","158","115","90","99"
"167","[P]","    ZENO.ORG","193","184","140","112","161","207","238","196","238","195","199","154","180","158","96"
"168","[P]","    FREELANG.NET","224","212","200","201","220","149","183","172","197","123","144","172","136","152","95"
"169","[M]","    POETRY.COM","106","99","95","85","95","123","87","136","143","122","173","137","126","120","94"
"170","[P]","    DICTS.INFO","268","271","252","223","323","233","216","198","187","110","144","128","114","88","94"
"171","[P]","    NATIVE-LANGUAGES.ORG","249","253","208","203","262","322","293","178","131","182","167","168","156","103","94"
"172","[P]","    ALLWORDS.COM","145","178","143","116","163","134","108","91","75","90","138","149","101","48","92"
"173","[P]","    VICTORIANWEB.ORG","351","224","187","152","238","253","274","200","222","207","263","213","251","131","90"
"174","[P]","    ILMAINENSANAKIRJA.FI","127","95","81","101","102","106","123","84","109","88","115","92","66","90","88"
"175","[P]","    INFOVISUAL.INFO","504","294","221","249","346","395","403","330","267","173","246","231","169","135","86"
"176","[P]","    MIRSLOVAREI.COM","753","390","219","208","574","852","633","594","331","295","280","422","523","407","85"
"177","[P]","    ALLGREATQUOTES.COM","581","357","190","298","378","303","330","246","172","181","249","200","254","97","82"
"178","[P]","    JURIS.DE","164","148","126","84","145","91","148","150","163","146","70","88","127","101","81"
"179","[P]","    ELITESKILLS.COM","343","237","175","230","243","275","271","195","182","207","250","214","193","100","80"
"180","[P]","    AMERICANRHETORIC.COM","188","142","88","137","219","150","193","113","260","143","168","144","143","162","76"
"181","[P]","    Antiqbook","77","55","44","64","65","76","67","89","62","82","93","58","69","47","65"
"182","[P]","    ARTCYCLOPEDIA.COM","212","125","96","167","171","232","181","158","182","129","158","175","98","97","62"
"183","[P]","    WISDOMQUOTES.COM","222","283","178","154","81","91","91","171","81","79","63","77","51","98","60"
"184","[P]","    EPNET.COM","106","98","67","70","148","85","98","71","101","88","87","103","54","57","60"
"185","[P]","    VITALREC.COM","181","96","143","137","72","110","74","112","71","107","79","86","74","63","58"
"186","[P]","    NOODLETOOLS.COM","475","199","61","114","419","446","500","404","365","423","505","634","597","207","57"
"187","[P]","    POEMOFQUOTES.COM","113","59","43","57","56","45","68","65","66","120","112","85","58","67","55"
"188","[P]","    PETS4YOU.COM","122","107","58","94","83","89","96","72","61","74","90","75","47","54","55"
"189","[P]","    ERUDITION.RU","511","209","76","91","300","488","448","588","390","345","364","477","592","283","53"
"190","[P]","    BEST-LOVE-POEMS.COM","252","280","215","147","116","138","119","107","86","65","80","67","86","43","50"
"191","[P]","    ABIPUR.DE","266","190","46","85","167","160","255","243","222","220","261","306","266","194","44"
"192","[P]","    U-S-HISTORY.COM","463","226","143","132","328","380","333","431","324","393","462","455","382","204","43"
"193","[P]","    ACADEMON.COM","171","74","86","53","83","132","129","86","56","65","89","48","58","50","42"
"194","[P]","    LEXINTER.NET","155","192","154","70","136","125","164","150","172","194","134","101","58","63","38"
"195","[P]","    LECTLAW.COM","183","147","99","110","102","102","127","87","86","107","98","76","117","78","37"
"196","[P]","    NETPOETS.COM","88","57","31","47","50","94","46","53","32","44","57","46","25","56","37"
"197","[P]","    NORTHPOLE.COM","30","46","31","46","50","85","401","1,165","88","28","34","34","32","27","36"
"198","[P]","    MOLWICK.COM","173","141","93","115","142","118","112","78","63","103","134","127","68","62","36"
"199","[P]","    ATLANTS.LV","163","86","37","43","97","118","110","123","119","101","131","127","143","58","36"
"200","[P]","    TOPPRODUCT.NL","139","104","120","97","92","113","103","80","121","86","112","73","64","59","34"
"201","[P]","    TRANSLATION-GUIDE.COM","85","71","61","30","81","59","39","31","52","28","41","58","28","21","33"
"202","[P]","    ECHEAT.COM","244","107","70","62","83","145","158","163","103","139","191","216","113","47","32"
"203","[P]","    LOTSOFESSAYS.COM","488","282","150","176","225","365","403","191","168","171","238","168","118","78","32"
"204","[P]","    CUMMINGSSTUDYGUIDES.NET","322","161","116","109","276","263","294","183","256","212","144","151","152","93","31"
"205","[P]","    ABCPEDIA.COM","273","192","101","148","155","186","136","79","64","52","49","36","66","40","30"
"206","[P]","    LEARNENGLISH.ORG.UK","55","36","20","34","50","69","77","45","44","29","35","31","44","17","29"
"207","[P]","    GLOSSARY.RU","262","170","67","53","161","197","178","240","175","112","113","135","126","85","28"
"208","[P]","    TDK.ORG.TR","55","34","39","28","51","65","52","79","108","85","85","56","60","91","27"
"209","[P]","    SEVGILIYE.COM","108","86","91","72","56","62","76","75","80","115","41","32","35","20","26"
"210","[P]","    MADSCI.ORG","124","80","67","50","94","114","128","99","111","104","131","90","64","43","24"
"211","[P]","    DICODUNET.COM","96","67","31","N/A","66","65","86","61","94","50","55","62","34","23","22"
"212","[P]","    SAIDWHAT.CO.UK","153","77","70","39","69","73","68","100","25","43","65","63","31","27","20"
"213","[P]","    NEDIR.NET","54","33","24","36","37","43","32","32","30","53","35","31","26","15","20"
"214","[P]","    PLANETADISSER.COM","245","129","19","26","42","73","91","107","48","65","81","124","126","89","19"
"215","[P]","    KNOWLEDGERUSH.COM","47","23","44","16","19","18","22","14","18","45","19","34","21","15","18"
"216","[P]","    SOBRESITES.COM","72","44","35","51","45","31","24","23","29","62","55","61","61","45","15"
"217","[P]","    LKWDPL.ORG","84","45","30","23","79","47","76","68","60","123","111","51","52","39","N/A"
