"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: August 2011 - October 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/19/2012","","","","","",""

"","","","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012"
"15","[C]","    Naver.com Knowledge iN","16,244","16,889","18,049","16,578","16,947","16,776","14,724","13,234","12,766","13,044","11,704","11,097","10,516","10,054","10,090"
"16","[P]","    ARCHIVE.ORG","8,000","7,948","7,742","9,133","10,331","11,491","10,531","8,243","7,502","8,583","7,476","8,247","8,813","9,510","9,527"
"17","[C]","    SCIENCEDIRECT.COM","3,218","3,407","3,903","4,165","4,134","4,211","4,844","6,355","7,261","7,198","4,893","4,291","4,135","5,675","7,343"
"18","[M](U)","    Demand Media Network","6,316","7,105","7,476","6,637","5,632","6,272","6,187","6,524","6,211","7,040","5,494","5,392","5,769","6,519","6,765"
"19","[M]","    ICIBA.COM","5,372","5,052","6,377","6,117","6,918","6,637","6,893","6,723","5,601","6,154","5,896","5,637","5,957","6,627","6,651"
"20","[C](U)","    Yahoo! Dictionary","9,239","9,018","9,533","9,190","8,613","8,595","7,985","8,024","7,370","7,457","6,826","6,825","6,478","6,424","6,519"
"21","[P]","    BIBLEGATEWAY.COM","4,398","4,709","4,896","4,830","4,561","5,280","5,429","5,238","5,334","5,572","5,202","4,804","5,110","5,698","5,778"
"22","[M]","    WER-WEISS-WAS.DE","4,944","4,830","4,968","5,042","4,536","5,053","4,889","5,198","5,130","5,687","5,155","5,186","4,904","4,439","4,850"
"23","[C]","    Naver.com Dictionary","6,081","6,685","7,565","7,275","6,897","6,069","5,082","5,100","5,294","5,709","5,393","5,145","4,746","4,981","4,367"
"24","[P]","    LEXILOGOS.COM","4,154","5,008","4,913","4,937","5,164","5,524","5,208","5,583","5,161","5,509","4,942","4,308","3,873","4,195","4,265"
"25","[C](U)","    ANSWERBAG.COM*","3,547","3,746","3,349","3,141","2,974","3,296","3,699","4,523","4,270","4,753","3,591","3,393","3,905","3,797","4,153"
"26","[P]","    LAWTIME.CN","2,168","2,496","2,475","2,633","2,846","2,584","3,111","2,384","2,358","1,204","1,517","2,523","3,352","3,527","3,698"
"27","[P]","    DEFINICION.DE","2,787","3,198","2,992","2,405","1,133","1,681","2,509","3,001","2,415","3,007","2,360","1,655","2,959","3,391","3,680"
"28","[P]","    TURNITIN.COM","994","1,833","2,392","2,281","1,722","1,734","2,240","2,949","2,564","2,427","1,387","932","1,551","2,852","3,660"
"29","[P]","    IXL.COM","2,296","3,027","4,515","4,540","2,973","4,572","4,634","4,533","3,552","3,133","2,545","2,451","2,317","3,075","3,658"
"30","[P]","    DICT.CC","3,208","3,688","3,649","4,056","3,941","4,153","4,052","3,814","3,992","4,432","3,969","3,872","3,807","3,960","3,635"
"31","[P]","    THINKEXIST.COM","6,014","6,332","6,156","5,651","5,388","5,716","5,809","5,457","5,079","5,355","4,694","3,721","3,577","3,728","3,457"
"32","[P](U)","    POEMHUNTER.COM","1,996","2,160","2,483","2,603","2,700","3,011","3,238","3,141","2,966","3,344","2,505","2,216","2,264","2,706","3,340"
"33","[P]","    CONSUMERREPORTS.ORG","2,021","2,011","2,234","2,949","2,520","2,413","2,302","2,448","2,163","2,411","2,288","2,300","2,770","2,918","3,141"
"34","[M]","    LAROUSSE.FR","1,079","1,609","1,779","1,794","1,980","2,098","2,394","2,346","2,366","2,465","2,167","1,744","1,793","2,512","3,120"
"35","[P]","    SPRINGERLINK.COM","2,723","3,394","3,896","3,861","3,360","3,629","3,748","4,057","4,312","4,326","3,222","2,512","2,639","2,968","3,036"
"36","[P]","    SPISHY.RU","120","1,498","1,455","1,450","1,542","1,362","1,534","1,524","1,845","1,612","282","125","259","2,970","2,899"
"37","[P]","    BIBLIOTEKAR.RU","974","1,806","2,335","2,467","2,222","2,130","1,900","2,131","2,039","2,442","1,851","1,152","1,078","2,135","2,727"
"38","[P]","    BIOGRAFIASYVIDAS.COM","2,225","2,628","2,880","2,471","1,206","1,829","2,266","2,740","2,420","2,898","2,102","1,512","2,056","2,663","2,684"
"39","[P]","    ITUSOZLUK.COM","2,785","3,104","3,072","3,263","3,543","3,892","3,216","3,418","3,422","3,611","3,033","2,661","2,931","2,842","2,652"
"40","[P]","    UN.ORG","1,517","2,299","2,457","2,773","1,949","1,931","2,502","2,805","2,187","2,699","2,159","1,688","1,821","2,578","2,629"
"41","[P]","    WORLDCAT.ORG","1,259","1,897","2,202","2,218","2,052","2,167","2,489","2,491","2,315","2,179","1,686","1,866","1,641","2,295","2,546"
"42","[P]","    WOXIKON.DE","1,652","1,842","2,288","2,244","2,094","2,253","2,108","2,123","2,140","2,305","2,349","2,101","2,133","2,459","2,543"
"43","[P]","    SCIELO.BR","1,942","2,736","2,858","3,141","2,150","2,100","2,344","3,522","2,342","2,482","1,864","1,261","1,934","2,217","2,354"
"44","[P]","    MIRSOVETOV.RU","1,771","1,894","2,275","2,390","2,479","2,630","2,474","2,704","2,242","2,338","2,173","2,049","2,083","1,980","2,304"
"45","[P]","    DUDEN.DE","874","1,125","1,205","1,346","1,222","1,543","1,433","1,618","1,406","1,568","1,722","1,585","1,619","2,005","2,181"
"46","[P]","    TURKCEBILGI.COM","2,065","2,623","3,206","2,689","2,655","2,310","2,243","2,643","2,616","2,312","1,407","1,313","1,249","1,660","2,175"
"47","[P]","    GUNS.RU","1,635","1,772","2,040","2,089","2,095","2,235","2,362","2,438","2,202","2,135","1,904","1,911","2,047","1,922","2,116"
"48","[P]","    5156EDU.COM","1,283","1,639","1,683","1,511","2,017","1,361","1,903","1,879","1,772","1,662","1,776","1,573","1,712","1,897","2,114"
"49","[P]","    COINMILL.COM","2,556","2,815","2,870","3,018","2,745","2,894","2,067","2,289","1,930","2,251","2,087","2,057","1,897","1,668","1,971"
"50","[P]","    ASKMEHELPDESK.COM","1,113","1,339","2,520","2,260","1,944","2,079","2,083","2,087","2,354","2,310","2,766","2,780","2,177","1,982","1,858"
"51","[P]","    123HELPME.COM","624","1,323","1,665","1,789","1,366","1,318","1,647","1,829","1,651","1,903","1,066","701","741","1,426","1,757"
"52","[P]","    SLOVO.WS","79","826","656","622","879","779","883","776","979","966","142","64","143","1,776","1,739"
"53","[P]","    SERIALSSOLUTIONS.COM","588","891","1,061","1,058","863","1,071","1,156","1,466","1,451","1,136","855","933","978","1,203","1,718"
"54","[P]","    TRANSLATED.NET","947","1,013","1,045","1,146","951","1,159","1,059","1,158","1,067","1,347","1,382","1,295","1,317","1,556","1,707"
"55","[P]","    ACRONYMFINDER.COM","1,140","1,253","1,538","1,474","1,473","1,738","1,715","1,731","1,852","1,869","1,788","1,560","1,882","1,873","1,683"
"56","[P]","    ONLINECONVERSION.COM","1,624","1,827","1,779","1,721","1,640","1,892","2,169","1,959","1,601","1,987","1,730","1,513","1,402","1,508","1,618"
"57","[M]","    WEBOPEDIA.COM","1,024","1,442","1,557","1,484","1,192","1,563","1,618","1,525","1,569","1,512","1,329","1,475","1,431","1,773","1,601"
"58","[P]","    CALEND.RU","972","1,279","1,272","1,626","1,221","1,351","1,524","1,347","1,768","1,475","1,349","1,048","1,187","1,528","1,577"
"59","[P]","    TRANSLIT.RU","1,290","1,160","1,196","1,232","1,322","1,417","1,490","1,468","1,408","1,322","1,203","1,205","1,159","1,374","1,500"
"60","[P]","    BrainPOP","607","1,138","1,438","1,305","925","1,275","1,482","1,284","1,071","1,122","578","336","697","1,205","1,489"
"61","[P]","    PEOPLES.RU","1,117","1,235","1,419","1,500","1,834","1,878","1,801","2,176","2,039","1,884","1,521","1,183","1,045","1,278","1,411"
"62","[P]","    ArticlesBase.com Sites","1,336","1,200","1,226","1,262","931","1,005","985","1,366","1,327","1,553","1,325","1,037","1,221","1,354","1,379"
"63","[P]","    BOOKZ.RU","1,240","1,429","1,661","1,719","1,624","1,635","1,401","1,299","1,066","1,252","1,255","1,169","1,154","1,313","1,375"
"64","[P]","    ANGLAISFACILE.COM","873","1,225","1,515","1,556","1,253","1,563","1,373","1,396","1,193","1,686","1,276","835","665","1,241","1,329"
"65","[P]","    SMARTDRAW.COM","923","1,153","1,197","1,386","1,086","1,428","1,247","1,320","1,115","1,184","1,070","1,051","1,056","972","1,250"
"66","[P]","    EMERALDINSIGHT.COM","556","731","966","1,019","1,011","836","899","1,086","1,162","982","670","577","718","903","1,213"
"67","[M]","    QUIBBLO.COM","441","378","488","652","472","793","984","1,176","1,296","1,511","1,370","1,479","1,341","1,414","1,211"
"68","[P]","    KLERK.RU","800","980","1,130","1,105","1,128","1,329","1,446","1,454","1,367","1,186","991","997","895","937","1,203"
"69","[P]","    ARABIC-KEYBOARD.ORG","1,305","1,440","1,605","1,433","1,533","1,531","1,414","1,386","1,297","1,413","1,305","1,148","1,065","1,008","1,185"
"70","[P]","    SLD.CU","1,140","1,408","1,531","1,416","955","1,059","1,356","1,515","1,316","1,592","1,156","894","971","988","1,181"
"71","[P]","    MIJNWOORDENBOEK.NL","947","1,219","1,434","1,371","1,342","1,321","1,316","1,394","1,246","1,205","1,105","914","781","1,141","1,165"
"72","[P]","    PWN.PL","550","898","1,033","1,084","954","1,183","1,034","1,064","947","1,106","954","592","573","933","1,112"
"73","[P]","    ENGLISCH-HILFEN.DE","511","999","1,244","1,224","1,084","1,046","1,002","1,229","1,066","1,318","964","598","603","1,008","1,106"
"74","[P]","    PHRASES.ORG.UK","844","956","1,125","1,063","1,555","1,210","1,156","1,114","976","979","984","854","944","913","1,080"
"75","[P]","    ALDEBARAN.RU","961","1,123","1,197","1,143","1,175","1,350","1,179","1,281","1,006","1,123","1,058","1,049","1,046","989","1,049"
"76","[P]","    ALC.CO.JP","1,230","1,190","1,210","1,110","1,052","1,244","1,159","1,075","1,194","1,230","1,215","1,205","984","1,039","1,025"
"77","[P](U)","    ALTALEX.COM","184","340","369","374","306","386","444","415","347","369","863","812","538","824","977"
"78","[P](u)","    QUESTIA.COM","699","904","1,365","1,517","1,053","1,118","1,320","1,370","1,386","1,102","751","587","563","812","910"
"79","[P]","    MOREWORDS.COM","665","916","983","864","911","1,164","1,110","1,104","963","825","698","657","567","784","909"
"80","[P]","    DEXONLINE.RO","543","741","841","887","804","892","859","821","656","822","728","601","583","757","897"
"81","[P]","    Farlex.com Sites","1,139","1,902","1,522","1,124","903","1,160","1,207","1,292","1,247","1,317","939","815","3,306","867","891"
"82","[P]","    BUSINESSBALLS.COM","944","1,228","1,142","1,053","1,079","1,043","1,086","978","869","1,065","842","676","673","778","877"
"83","[P]","    QUECHOISIR.ORG","327","323","596","421","522","995","724","632","520","512","637","593","507","628","861"
"84","[P]","    SO100.CN","432","275","103","262","367","303","603","251","144","293","724","703","873","943","861"
"85","[P]","    SCIELO.CL","707","992","1,014","1,080","641","684","913","987","919","1,084","759","635","668","829","861"
"86","[P]","    WEBELEMENTS.COM","290","509","634","534","441","548","402","438","345","345","364","168","245","675","858"
"87","[P]","    MIRSLOVAREI.COM","218","495","812","735","814","648","596","763","761","753","390","219","208","574","852"
"88","[P]","    NOLO.COM","564","458","599","625","520","670","748","846","572","735","648","742","614","692","844"
"89","[P]","    USHISTORY.ORG","240","695","806","516","453","462","516","479","499","452","436","291","355","597","840"
"90","[P]","    ENERGYGUIDE.COM","1,050","1,001","1,100","970","958","898","925","918","814","769","879","998","910","926","830"
"91","[P]","    BNF.FR","523","598","755","669","840","864","718","626","671","706","458","427","481","581","813"
"92","[P]","    HONEYWELL.COM","512","546","603","681","419","621","604","586","688","659","539","698","533","609","807"
"93","[P]","    ENGLISHPAGE.COM","461","758","827","805","646","672","722","766","593","723","684","408","439","673","805"
"94","[P]","    VDICT.COM","1,126","1,127","1,219","1,144","1,014","861","1,035","1,101","1,102","956","856","847","845","774","798"
"95","[P]","    VERTALEN.NU","781","902","921","895","821","968","884","891","766","811","785","627","632","720","797"
"96","[P]","    REPEC.ORG","353","430","591","533","574","592","500","632","709","508","430","431","428","494","783"
"97","[P]","    ZARGAN.COM","935","1,006","1,238","1,189","1,152","1,070","958","1,015","858","777","632","579","576","645","770"
"98","[P]","    TRADUCEGRATIS.COM","1,200","1,430","1,259","1,145","1,078","1,086","1,094","971","823","826","756","733","659","759","748"
"99","[P]","    SOZLUK.NET","910","971","1,048","1,016","1,121","1,098","886","868","873","820","644","572","547","678","732"
"100","[P]","    HOWTODOTHINGS.COM","996","1,098","1,065","902","858","699","785","796","957","924","810","661","637","833","727"
"101","[P]","    INGENTACONNECT.COM","478","508","627","657","480","527","648","729","810","579","511","616","516","556","714"
"102","[P]","    OMNIGLOT.COM","641","733","775","711","804","676","655","702","670","650","682","588","552","605","703"
"103","[P]","    THAIGOODVIEW.COM","1,739","1,986","1,237","1,488","1,621","1,782","1,139","850","523","910","1,136","1,246","1,038","1,159","690"
"104","[P]","    SYNONYMES.COM","460","655","753","728","606","690","827","884","690","856","641","473","453","697","684"
"105","[P]","    TRANSLATE.PL","684","790","847","915","851","961","775","763","665","804","629","502","468","587","639"
"106","[P]","    UNIVERSALIS.FR","276","402","521","516","427","511","515","609","728","728","437","258","238","459","636"
"107","[M]","    CODEGURU.COM","363","405","663","821","542","645","704","742","690","828","570","556","465","472","620"
"108","[P]","    GOGEN-ALLGUIDE.COM","492","610","636","527","620","745","570","666","575","575","600","644","640","667","596"
"109","[P]","    POETS.ORG","299","321","485","492","500","500","629","616","745","665","428","317","359","485","585"
"110","[P]","    STARS21.COM","624","550","507","616","637","636","613","545","507","519","486","463","375","417","584"
"111","[P]","    TOPLUMDUSMANI.NET","200","392","750","801","844","681","605","789","796","658","259","218","197","453","584"
"112","[P]","    SACRED-TEXTS.COM","454","548","537","556","414","561","604","544","563","483","429","482","485","503","552"
"113","[P]","    MANSIONINGLES.COM","521","615","705","767","390","580","666","692","488","545","505","385","360","432","539"
"114","[P]","    NEWWORLDENCYCLOPEDIA.ORG","452","712","751","527","510","517","529","622","515","606","363","300","278","471","538"
"115","[P]","    GEOGRAPH.ORG.UK","371","370","489","362","324","435","571","562","425","353","421","364","432","398","532"
"116","[P]","    DICOCITATIONS.COM","591","615","638","807","890","1,151","1,026","850","789","1,101","882","622","639","700","531"
"117","[C]","    LIBRARYTHING.COM","602","819","1,004","1,073","946","839","618","499","476","438","525","356","546","486","528"
"118","[P]","    MEGAESSAYS.COM","293","556","529","532","448","415","416","458","457","641","310","224","199","491","511"
"119","[P]","    ERUDITION.RU","50","277","368","385","507","355","298","402","419","511","209","76","91","300","488"
"120","[P]","    STROYPORTAL.RU","354","324","397","377","336","331","378","425","451","455","475","469","508","467","482"
"121","[P]","    JEWISHVIRTUALLIBRARY.ORG","296","416","530","495","468","490","495","512","445","621","394","283","367","521","472"
"122","[P]","    ACTUALICESE.COM","806","815","861","885","663","790","775","755","724","750","545","521","441","407","470"
"123","[P]","    KWINTESSENTIAL.CO.UK","265","427","457","531","427","508","594","700","498","599","493","340","356","630","455"
"124","[P]","    NOODLETOOLS.COM","61","232","328","459","351","422","482","579","437","475","199","61","114","419","446"
"125","[P]","    OSZK.HU","277","441","340","284","247","274","225","253","241","356","314","249","287","365","439"
"126","[P]","    ONELOOK.COM","321","426","478","380","402","482","512","461","438","420","306","382","300","459","430"
"127","[P]","    OCLC.ORG","129","299","376","388","249","226","377","376","346","325","259","336","342","441","422"
"128","[P]","    FAMOUSPOETSANDPOEMS.COM","347","431","553","583","410","457","514","570","562","611","285","321","268","302","404"
"129","[P]","    NOTAIRES.FR","241","460","384","343","259","301","331","459","309","262","295","305","243","392","400"
"130","[P]","    INFOVISUAL.INFO","270","393","441","442","234","307","386","350","386","504","294","221","249","346","395"
"131","[P]","    U-S-HISTORY.COM","97","420","451","463","343","462","478","466","357","463","226","143","132","328","380"
"132","[P]","    PSICOLOGIA-ONLINE.COM","380","461","604","475","338","387","548","470","392","466","416","261","313","353","374"
"133","[P]","    EXAMPLEESSAYS.COM","451","872","1,053","1,064","835","733","872","893","900","599","372","246","183","402","370"
"134","[P]","    LOTSOFESSAYS.COM","212","368","373","443","213","206","255","398","407","488","282","150","176","225","365"
"135","[P]","    WIKILEARNING.COM","977","690","685","572","296","343","428","496","440","532","382","243","307","343","360"
"136","[P]","    QURANEXPLORER.COM","928","489","501","387","440","493","491","488","451","526","539","682","565","341","358"
"137","[P]","    LEXICOOL.COM","312","407","429","437","402","425","370","471","426","394","342","304","265","336","354"
"138","[P]","    MORFIX.CO.IL","14","16","18","14","15","1","0","N/A","4","3","5","44","340","337","354"
"139","[P]","    WISSEN.DE","354","508","479","543","417","490","429","336","237","338","244","201","145","247","349"
"140","[P]","    EGO4U.DE","139","343","476","510","459","449","334","381","317","478","337","122","148","347","345"
"141","[C]","    BOOKFINDER.COM","423","375","365","343","433","352","379","406","356","331","326","245","323","336","335"
"142","[P]","    DEFINICION.ORG","269","333","350","326","140","209","375","477","387","437","328","231","373","380","334"
"143","[P]","    EVERYTHING2.COM","235","296","371","262","134","248","345","365","327","423","356","393","322","276","324"
"144","[P]","    WEBSTERS-ONLINE-DICTIONARY.ORG","555","495","523","457","470","463","454","458","426","422","307","365","381","347","322"
"145","[P]","    NATIVE-LANGUAGES.ORG","184","334","333","324","269","273","221","277","243","249","253","208","203","262","322"
"146","[P]","    BIREME.BR","346","407","408","440","237","212","236","317","304","364","261","169","242","309","314"
"147","[P](u)","    NYPL.ORG","255","258","334","264","314","322","315","356","320","334","254","367","273","312","306"
"148","[P]","    WWWW4.COM","131","243","197","276","303","278","319","335","375","477","250","87","119","298","304"
"149","[P]","    ALLGREATQUOTES.COM","648","497","450","367","368","470","316","476","349","581","357","190","298","378","303"
"150","[P]","    ALA.ORG","208","276","307","323","220","314","285","287","294","297","278","242","160","260","300"
"151","[C]","    Voila.fr Translation","364","588","512","537","381","449","413","441","226","328","348","259","257","319","292"
"152","[P]","    AIES.CN","125","223","168","198","296","307","278","N/A","151","185","162","207","234","274","292"
"153","[P]","    MYDICT.COM","373","355","415","529","562","390","362","347","336","397","311","294","339","325","287"
"154","[P]","    FRENCH-LINGUISTICS.CO.UK*","148","249","318","258","203","202","227","243","215","224","213","116","108","281","277"
"155","[P]","    YEMINLISOZLUK.COM","321","319","474","524","576","452","377","353","312","327","259","260","248","231","276"
"156","[P]","    ELITESKILLS.COM","168","276","323","290","230","305","320","401","452","343","237","175","230","243","275"
"157","[P]","    CUMMINGSSTUDYGUIDES.NET","192","326","433","388","250","314","315","250","278","322","161","116","109","276","263"
"158","[P]","    VICTORIANWEB.ORG","117","292","268","243","246","266","250","339","274","351","224","187","152","238","253"
"159","[P]","    POEMSOURCE.COM","490","464","524","496","610","482","788","358","363","660","385","233","267","219","251"
"160","[P]","    EYEWITNESSTOHISTORY.COM","109","197","240","245","204","215","234","269","230","272","171","154","112","176","240"
"161","[P](u)","    LIB.OH.US","255","227","280","304","262","303","251","217","230","249","282","263","261","279","239"
"162","[P]","    THEOI.COM","197","263","316","283","282","334","330","368","338","360","211","234","256","299","237"
"163","[P]","    DICTS.INFO","223","266","272","282","259","338","488","304","326","268","271","252","223","323","233"
"164","[P]","    ARTCYCLOPEDIA.COM","187","188","232","212","246","250","272","268","260","212","125","96","167","171","232"
"165","[P]","    MANAGEMENTHELP.ORG","204","307","295","302","278","280","257","262","178","272","277","129","158","198","228"
"166","[P]","    PANTHEON.ORG","122","222","269","231","177","183","228","215","243","229","153","205","116","178","218"
"167","[P]","    VISUALTHESAURUS.COM","213","329","299","243","218","228","273","283","246","196","180","164","285","178","213"
"168","[M]","    Informit Network","79","137","143","155","138","160","204","240","174","225","206","256","235","244","213"
"169","[P]","    IPL.ORG","106","164","273","232","185","185","264","339","290","253","148","173","98","221","211"
"170","[P]","    FOURMILAB.CH","691","695","430","223","228","240","182","240","117","216","161","149","166","293","207"
"171","[P]","    ZENO.ORG","187","241","225","248","194","199","147","170","191","193","184","140","112","161","207"
"172","[P]","    CALCULATOR.COM","513","751","847","852","766","711","215","209","213","230","121","133","106","129","203"
"173","[P]","    KDD.CC","279","170","106","249","221","144","83","203","237","208","245","205","229","244","199"
"174","[P]","    GLOSSARY.RU","99","249","311","328","349","245","169","214","222","262","170","67","53","161","197"
"175","[P]","    NCIKU.COM","247","241","242","267","299","193","150","237","235","158","119","167","167","158","196"
"176","[P]","    INFORMATIONSARCHIV.NET","425","423","540","385","444","463","424","406","354","336","246","245","311","324","191"
"177","[P]","    ABCPEDIA.COM","358","379","299","254","217","156","260","266","190","273","192","101","148","155","186"
"178","[P]","    CUCUMIS.ORG","185","218","268","227","248","213","209","213","168","167","175","206","150","149","180"
"179","[P]","    YOURCHILDLEARNS.COM","145","261","248","128","185","218","267","180","137","127","119","200","133","191","178"
"180","[C]","    Virgilio Sapere","87","142","166","159","112","140","155","156","142","164","90","90","90","155","172"
"181","[P]","    ARKITERA.COM","144","170","235","218","225","219","222","214","220","184","156","133","151","144","167"
"182","[P]","    FREEDICT.COM","325","342","378","348","358","300","224","241","234","187","217","203","205","192","165"
"183","[P]","    LUMINARIUM.ORG","111","181","210","233","183","296","175","232","181","218","170","88","107","156","163"
"184","[P]","    ABIPUR.DE","77","171","196","289","198","236","209","226","171","266","190","46","85","167","160"
"185","[P]","    WORDWEBONLINE.COM","169","262","165","132","129","143","129","198","149","142","116","102","108","122","156"
"186","[P]","    QUOTELAND.COM","126","187","266","226","203","205","215","244","227","250","199","201","213","183","154"
"187","[P]","    AMERICANRHETORIC.COM","162","255","161","174","137","308","179","308","264","188","142","88","137","219","150"
"188","[P]","    FREELANG.NET","234","249","266","259","272","321","200","180","186","224","212","200","201","220","149"
"189","[P]","    ECHEAT.COM","117","218","241","291","169","127","193","154","137","244","107","70","62","83","145"
"190","[P]","    BEST-LOVE-POEMS.COM","429","377","396","360","330","304","437","298","238","252","280","215","147","116","138"
"191","[P]","    BrainyMedia Sites","205","214","233","161","168","204","196","132","188","212","153","165","130","154","137"
"192","[P]","    ALLWORDS.COM","111","144","163","127","124","190","114","140","156","145","178","143","116","163","134"
"193","[P]","    ACADEMON.COM","80","295","159","186","113","82","118","187","194","171","74","86","53","83","132"
"194","[P]","    LEXINTER.NET","164","208","176","210","231","187","181","281","375","155","192","154","70","136","125"
"195","[M]","    POETRY.COM","70","58","113","47","70","63","88","153","147","106","99","95","85","95","123"
"196","[P]","    MOLWICK.COM","259","279","238","182","102","145","168","229","198","173","141","93","115","142","118"
"197","[P]","    ATLANTS.LV","64","184","178","199","200","177","179","160","166","163","86","37","43","97","118"
"198","[P]","    MADSCI.ORG","55","100","126","112","68","105","101","150","116","124","80","67","50","94","114"
"199","[P]","    BIYOGRAFI.INFO","166","212","282","285","282","252","214","250","285","187","89","73","85","78","113"
"200","[P]","    TOPPRODUCT.NL","189","161","193","155","153","203","149","139","129","139","104","120","97","92","113"
"201","[P]","    VITALREC.COM","181","109","175","182","139","180","185","202","96","181","96","143","137","72","110"
"202","[P]","    ILMAINENSANAKIRJA.FI","115","129","155","121","130","123","106","115","93","127","95","81","101","102","106"
"203","[P]","    LECTLAW.COM","157","176","226","142","143","184","146","148","158","183","147","99","110","102","102"
"204","[P]","    NETPOETS.COM","121","132","94","100","57","73","80","104","88","88","57","31","47","50","94"
"205","[P]","    JURIS.DE","148","101","110","179","87","85","120","99","96","164","148","126","84","145","91"
"206","[P]","    WISDOMQUOTES.COM","561","658","727","580","483","441","413","368","262","222","283","178","154","81","91"
"207","[P]","    PETS4YOU.COM","119","119","146","130","170","99","172","145","100","122","107","58","94","83","89"
"208","[P]","    EPNET.COM","297","334","362","250","188","151","103","138","77","106","98","67","70","148","85"
"209","[P]","    NORTHPOLE.COM","80","97","144","539","1,595","193","49","69","39","30","46","31","46","50","85"
"210","[P]","    Antiqbook","101","89","86","91","88","91","101","142","76","77","55","44","64","65","76"
"211","[P]","    PLANETADISSER.COM","40","107","146","169","192","101","104","120","154","245","129","19","26","42","73"
"212","[P]","    SAIDWHAT.CO.UK","103","120","144","139","123","113","100","85","82","153","77","70","39","69","73"
"213","[P]","    LEARNENGLISH.ORG.UK","36","44","70","51","46","62","60","45","40","55","36","20","34","50","69"
