"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: September 2011 - November 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 12/18/2012","","","","","",""

"","","","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012"
"62","[P]","    BOOKZ.RU","1,429","1,661","1,719","1,624","1,635","1,401","1,299","1,066","1,252","1,255","1,169","1,154","1,313","1,375","1,257"
"63","[P]","    BrainPOP","1,138","1,438","1,305","925","1,275","1,482","1,284","1,071","1,122","578","336","697","1,205","1,489","1,249"
"64","[P]","    ANGLAISFACILE.COM","1,225","1,515","1,556","1,253","1,563","1,373","1,396","1,193","1,686","1,276","835","665","1,241","1,329","1,247"
"65","[P]","    ENGLISCH-HILFEN.DE","999","1,244","1,224","1,084","1,046","1,002","1,229","1,066","1,318","964","598","603","1,008","1,106","1,221"
"66","[P]","    EMERALDINSIGHT.COM","731","966","1,019","1,011","836","899","1,086","1,162","982","670","577","718","903","1,213","1,217"
"67","[P]","    MIJNWOORDENBOEK.NL","1,219","1,434","1,371","1,342","1,321","1,316","1,394","1,246","1,205","1,105","914","781","1,141","1,165","1,187"
"68","[P]","    SMARTDRAW.COM","1,153","1,197","1,386","1,086","1,428","1,247","1,320","1,115","1,184","1,070","1,051","1,056","972","1,250","1,171"
"69","[P]","    ARABIC-KEYBOARD.ORG","1,440","1,605","1,433","1,533","1,531","1,414","1,386","1,297","1,413","1,305","1,148","1,065","1,008","1,185","1,151"
"70","[P]","    SLD.CU","1,408","1,531","1,416","955","1,059","1,356","1,515","1,316","1,592","1,156","894","971","988","1,181","1,112"
"71","[P]","    KLERK.RU","980","1,130","1,105","1,128","1,329","1,446","1,454","1,367","1,186","991","997","895","937","1,203","1,108"
"72","[M]","    QUIBBLO.COM","378","488","652","472","793","984","1,176","1,296","1,511","1,370","1,479","1,341","1,414","1,211","1,102"
"73","[P]","    PWN.PL","898","1,033","1,084","954","1,183","1,034","1,064","947","1,106","954","592","573","933","1,112","1,088"
"74","[P]","    SO100.CN","275","103","262","367","303","603","251","144","293","724","703","873","943","861","1,062"
"75","[P]","    THAIGOODVIEW.COM","1,986","1,237","1,488","1,621","1,782","1,139","850","523","910","1,136","1,246","1,038","1,159","690","1,002"
"76","[P]","    ALDEBARAN.RU","1,123","1,197","1,143","1,175","1,350","1,179","1,281","1,006","1,123","1,058","1,049","1,046","989","1,049","997"
"77","[P]","    ALC.CO.JP","1,190","1,210","1,110","1,052","1,244","1,159","1,075","1,194","1,230","1,215","1,205","984","1,039","1,025","970"
"78","[P](U)","    ALTALEX.COM","340","369","374","306","386","444","415","347","369","863","812","538","824","977","968"
"79","[P](u)","    QUESTIA.COM","904","1,365","1,517","1,053","1,118","1,320","1,370","1,386","1,102","751","587","563","812","910","935"
"80","[P]","    MOREWORDS.COM","916","983","864","911","1,164","1,110","1,104","963","825","698","657","567","784","909","920"
"81","[P]","    DEXONLINE.RO","741","841","887","804","892","859","821","656","822","728","601","583","757","897","886"
"82","[P]","    SCIELO.CL","992","1,014","1,080","641","684","913","987","919","1,084","759","635","668","829","861","877"
"83","[P]","    ENERGYGUIDE.COM","1,001","1,100","970","958","898","925","918","814","769","879","998","910","926","830","841"
"84","[P]","    ENGLISHPAGE.COM","758","827","805","646","672","722","766","593","723","684","408","439","673","805","837"
"85","[P]","    SYNONYMES.COM","655","753","728","606","690","827","884","690","856","641","473","453","697","684","823"
"86","[P]","    Farlex.com Sites","1,902","1,522","1,124","903","1,160","1,207","1,292","1,247","1,317","939","815","3,306","867","891","822"
"87","[P]","    WEBELEMENTS.COM","509","634","534","441","548","402","438","345","345","364","168","245","675","858","820"
"88","[P]","    TRADUCEGRATIS.COM","1,430","1,259","1,145","1,078","1,086","1,094","971","823","826","756","733","659","759","748","818"
"89","[P]","    BNF.FR","598","755","669","840","864","718","626","671","706","458","427","481","581","813","810"
"90","[P]","    ZARGAN.COM","1,006","1,238","1,189","1,152","1,070","958","1,015","858","777","632","579","576","645","770","782"
"91","[P]","    SOZLUK.NET","971","1,048","1,016","1,121","1,098","886","868","873","820","644","572","547","678","732","777"
"92","[P]","    BUSINESSBALLS.COM","1,228","1,142","1,053","1,079","1,043","1,086","978","869","1,065","842","676","673","778","877","774"
"93","[P]","    QUECHOISIR.ORG","323","596","421","522","995","724","632","520","512","637","593","507","628","861","774"
"94","[P]","    TOPLUMDUSMANI.NET","392","750","801","844","681","605","789","796","658","259","218","197","453","584","766"
"95","[P]","    VERTALEN.NU","902","921","895","821","968","884","891","766","811","785","627","632","720","797","752"
"96","[P]","    HOWTODOTHINGS.COM","1,098","1,065","902","858","699","785","796","957","924","810","661","637","833","727","724"
"97","[P]","    PHRASES.ORG.UK","956","1,125","1,063","1,555","1,210","1,156","1,114","976","979","984","854","944","913","1,080","698"
"98","[P]","    VDICT.COM","1,127","1,219","1,144","1,014","861","1,035","1,101","1,102","956","856","847","845","774","798","696"
"99","[P]","    NOLO.COM","458","599","625","520","670","748","846","572","735","648","742","614","692","844","695"
"100","[P]","    OMNIGLOT.COM","733","775","711","804","676","655","702","670","650","682","588","552","605","703","667"
"101","[P]","    USHISTORY.ORG","695","806","516","453","462","516","479","499","452","436","291","355","597","840","662"
"102","[P]","    REPEC.ORG","430","591","533","574","592","500","632","709","508","430","431","428","494","783","660"
"103","[P]","    MIRSLOVAREI.COM","495","812","735","814","648","596","763","761","753","390","219","208","574","852","633"
"104","[P]","    INGENTACONNECT.COM","508","627","657","480","527","648","729","810","579","511","616","516","556","714","617"
"105","[P]","    UNIVERSALIS.FR","402","521","516","427","511","515","609","728","728","437","258","238","459","636","610"
"106","[P]","    POETS.ORG","321","485","492","500","500","629","616","745","665","428","317","359","485","585","603"
"107","[P]","    GOGEN-ALLGUIDE.COM","610","636","527","620","745","570","666","575","575","600","644","640","667","596","601"
"108","[P]","    HONEYWELL.COM","546","603","681","419","621","604","586","688","659","539","698","533","609","807","553"
"109","[P]","    DICOCITATIONS.COM","615","638","807","890","1,151","1,026","850","789","1,101","882","622","639","700","531","552"
"110","[P]","    TRANSLATE.PL","790","847","915","851","961","775","763","665","804","629","502","468","587","639","532"
"111","[P]","    SACRED-TEXTS.COM","548","537","556","414","561","604","544","563","483","429","482","485","503","552","511"
"112","[P]","    JEWISHVIRTUALLIBRARY.ORG","416","530","495","468","490","495","512","445","621","394","283","367","521","472","511"
"113","[C]","    LIBRARYTHING.COM","819","1,004","1,073","946","839","618","499","476","438","525","356","546","486","528","502"
"114","[P]","    NOODLETOOLS.COM","232","328","459","351","422","482","579","437","475","199","61","114","419","446","500"
"115","[P]","    NEWWORLDENCYCLOPEDIA.ORG","712","751","527","510","517","529","622","515","606","363","300","278","471","538","498"
"116","[P]","    ONELOOK.COM","426","478","380","402","482","512","461","438","420","306","382","300","459","430","491"
"117","[P]","    MANSIONINGLES.COM","615","705","767","390","580","666","692","488","545","505","385","360","432","539","475"
"118","[M]","    CODEGURU.COM","405","663","821","542","645","704","742","690","828","570","556","465","472","620","468"
"119","[P]","    KWINTESSENTIAL.CO.UK","427","457","531","427","508","594","700","498","599","493","340","356","630","455","465"
"120","[P]","    STARS21.COM","550","507","616","637","636","613","545","507","519","486","463","375","417","584","457"
"121","[P]","    STROYPORTAL.RU","324","397","377","336","331","378","425","451","455","475","469","508","467","482","454"
"122","[P]","    ERUDITION.RU","277","368","385","507","355","298","402","419","511","209","76","91","300","488","448"
"123","[P]","    OSZK.HU","441","340","284","247","274","225","253","241","356","314","249","287","365","439","435"
"124","[P]","    MEGAESSAYS.COM","556","529","532","448","415","416","458","457","641","310","224","199","491","511","430"
"125","[P]","    GEOGRAPH.ORG.UK","370","489","362","324","435","571","562","425","353","421","364","432","398","532","430"
"126","[P]","    ACTUALICESE.COM","815","861","885","663","790","775","755","724","750","545","521","441","407","470","429"
"127","[P]","    EGO4U.DE","343","476","510","459","449","334","381","317","478","337","122","148","347","345","421"
"128","[P]","    EXAMPLEESSAYS.COM","872","1,053","1,064","835","733","872","893","900","599","372","246","183","402","370","409"
"129","[P]","    NOTAIRES.FR","460","384","343","259","301","331","459","309","262","295","305","243","392","400","406"
"130","[P]","    LOTSOFESSAYS.COM","368","373","443","213","206","255","398","407","488","282","150","176","225","365","403"
"131","[P]","    INFOVISUAL.INFO","393","441","442","234","307","386","350","386","504","294","221","249","346","395","403"
"132","[P]","    NORTHPOLE.COM","97","144","539","1,595","193","49","69","39","30","46","31","46","50","85","401"
"133","[P]","    WISSEN.DE","508","479","543","417","490","429","336","237","338","244","201","145","247","349","392"
"134","[P]","    MYDICT.COM","355","415","529","562","390","362","347","336","397","311","294","339","325","287","381"
"135","[P]","    OCLC.ORG","299","376","388","249","226","377","376","346","325","259","336","342","441","422","371"
"136","[M]","    Informit Network","137","143","155","138","160","204","240","174","225","206","256","235","244","213","367"
"137","[P]","    MORFIX.CO.IL","16","18","14","15","1","0","N/A","4","3","5","44","340","337","354","364"
"138","[P]","    POEMSOURCE.COM","464","524","496","610","482","788","358","363","660","385","233","267","219","251","354"
"139","[P]","    QURANEXPLORER.COM","489","501","387","440","493","491","488","451","526","539","682","565","341","358","351"
"140","[P]","    PSICOLOGIA-ONLINE.COM","461","604","475","338","387","548","470","392","466","416","261","313","353","374","341"
"141","[P]","    U-S-HISTORY.COM","420","451","463","343","462","478","466","357","463","226","143","132","328","380","333"
"142","[P]","    YEMINLISOZLUK.COM","319","474","524","576","452","377","353","312","327","259","260","248","231","276","331"
"143","[P]","    LEXICOOL.COM","407","429","437","402","425","370","471","426","394","342","304","265","336","354","331"
"144","[P]","    ALLGREATQUOTES.COM","497","450","367","368","470","316","476","349","581","357","190","298","378","303","330"
"145","[P]","    BIREME.BR","407","408","440","237","212","236","317","304","364","261","169","242","309","314","317"
"146","[C]","    Voila.fr Translation","588","512","537","381","449","413","441","226","328","348","259","257","319","292","305"
"147","[P]","    WWWW4.COM","243","197","276","303","278","319","335","375","477","250","87","119","298","304","304"
"148","[P]","    WIKILEARNING.COM","690","685","572","296","343","428","496","440","532","382","243","307","343","360","301"
"149","[P]","    CUMMINGSSTUDYGUIDES.NET","326","433","388","250","314","315","250","278","322","161","116","109","276","263","294"
"150","[P]","    FAMOUSPOETSANDPOEMS.COM","431","553","583","410","457","514","570","562","611","285","321","268","302","404","294"
"151","[P]","    AIES.CN","223","168","198","296","307","278","N/A","151","185","162","207","234","274","292","293"
"152","[P]","    NATIVE-LANGUAGES.ORG","334","333","324","269","273","221","277","243","249","253","208","203","262","322","293"
"153","[P]","    DEFINICION.ORG","333","350","326","140","209","375","477","387","437","328","231","373","380","334","291"
"154","[P]","    EVERYTHING2.COM","296","371","262","134","248","345","365","327","423","356","393","322","276","324","290"
"155","[C]","    BOOKFINDER.COM","375","365","343","433","352","379","406","356","331","326","245","323","336","335","290"
"156","[P]","    INFORMATIONSARCHIV.NET","423","540","385","444","463","424","406","354","336","246","245","311","324","191","286"
"157","[P]","    ALA.ORG","276","307","323","220","314","285","287","294","297","278","242","160","260","300","277"
"158","[P]","    VICTORIANWEB.ORG","292","268","243","246","266","250","339","274","351","224","187","152","238","253","274"
"159","[P]","    ELITESKILLS.COM","276","323","290","230","305","320","401","452","343","237","175","230","243","275","271"
"160","[P]","    NYPL.ORG","258","334","264","314","322","315","356","320","334","254","367","273","312","306","268"
"161","[P]","    THEOI.COM","263","316","283","282","334","330","368","338","360","211","234","256","299","237","263"
"162","[P]","    KDD.CC","170","106","249","221","144","83","203","237","208","245","205","229","244","199","259"
"163","[P]","    ABIPUR.DE","171","196","289","198","236","209","226","171","266","190","46","85","167","160","255"
"164","[P]","    IPL.ORG","164","273","232","185","185","264","339","290","253","148","173","98","221","211","251"
"165","[P]","    ZENO.ORG","241","225","248","194","199","147","170","191","193","184","140","112","161","207","238"
"166","[P]","    CALCULATOR.COM","751","847","852","766","711","215","209","213","230","121","133","106","129","203","234"
"167","[P]","    LUMINARIUM.ORG","181","210","233","183","296","175","232","181","218","170","88","107","156","163","230"
"168","[P]","    FOURMILAB.CH","695","430","223","228","240","182","240","117","216","161","149","166","293","207","228"
"169","[P]","    VISUALTHESAURUS.COM","329","299","243","218","228","273","283","246","196","180","164","285","178","213","224"
"170","[P]","    EYEWITNESSTOHISTORY.COM","197","240","245","204","215","234","269","230","272","171","154","112","176","240","217"
"171","[P]","    DICTS.INFO","266","272","282","259","338","488","304","326","268","271","252","223","323","233","216"
"172","[P]","    MANAGEMENTHELP.ORG","307","295","302","278","280","257","262","178","272","277","129","158","198","228","202"
"173","[P]","    FRENCH-LINGUISTICS.CO.UK*","249","318","258","203","202","227","243","215","224","213","116","108","281","277","199"
"174","[P]","    AMERICANRHETORIC.COM","255","161","174","137","308","179","308","264","188","142","88","137","219","150","193"
"175","[P]","    ARKITERA.COM","170","235","218","225","219","222","214","220","184","156","133","151","144","167","186"
"176","[P]","    FREELANG.NET","249","266","259","272","321","200","180","186","224","212","200","201","220","149","183"
"177","[P]","    NCIKU.COM","241","242","267","299","193","150","237","235","158","119","167","167","158","196","181"
"178","[P]","    ARTCYCLOPEDIA.COM","188","232","212","246","250","272","268","260","212","125","96","167","171","232","181"
"179","[P]","    CUCUMIS.ORG","218","268","227","248","213","209","213","168","167","175","206","150","149","180","179"
"180","[P]","    GLOSSARY.RU","249","311","328","349","245","169","214","222","262","170","67","53","161","197","178"
"181","[P]","    LIB.OH.US","227","280","304","262","303","251","217","230","249","282","263","261","279","239","176"
"182","[P]","    PANTHEON.ORG","222","269","231","177","183","228","215","243","229","153","205","116","178","218","176"
"183","[P]","    LEXINTER.NET","208","176","210","231","187","181","281","375","155","192","154","70","136","125","164"
"184","[C]","    Virgilio Sapere","142","166","159","112","140","155","156","142","164","90","90","90","155","172","163"
"185","[P]","    YOURCHILDLEARNS.COM","261","248","128","185","218","267","180","137","127","119","200","133","191","178","159"
"186","[P]","    ECHEAT.COM","218","241","291","169","127","193","154","137","244","107","70","62","83","145","158"
"187","[P]","    FREEDICT.COM","342","378","348","358","300","224","241","234","187","217","203","205","192","165","156"
"188","[P]","    JURIS.DE","101","110","179","87","85","120","99","96","164","148","126","84","145","91","148"
"189","[P]","    QUOTELAND.COM","187","266","226","203","205","215","244","227","250","199","201","213","183","154","143"
"190","[P]","    ABCPEDIA.COM","379","299","254","217","156","260","266","190","273","192","101","148","155","186","136"
"191","[P]","    BrainyMedia Sites","214","233","161","168","204","196","132","188","212","153","165","130","154","137","134"
"192","[P]","    ACADEMON.COM","295","159","186","113","82","118","187","194","171","74","86","53","83","132","129"
"193","[P]","    MADSCI.ORG","100","126","112","68","105","101","150","116","124","80","67","50","94","114","128"
"194","[P]","    LECTLAW.COM","176","226","142","143","184","146","148","158","183","147","99","110","102","102","127"
"195","[P]","    BIYOGRAFI.INFO","212","282","285","282","252","214","250","285","187","89","73","85","78","113","125"
"196","[P]","    ILMAINENSANAKIRJA.FI","129","155","121","130","123","106","115","93","127","95","81","101","102","106","123"
"197","[P]","    BEST-LOVE-POEMS.COM","377","396","360","330","304","437","298","238","252","280","215","147","116","138","119"
"198","[P]","    WORDWEBONLINE.COM","262","165","132","129","143","129","198","149","142","116","102","108","122","156","115"
"199","[P]","    MOLWICK.COM","279","238","182","102","145","168","229","198","173","141","93","115","142","118","112"
"200","[P]","    ATLANTS.LV","184","178","199","200","177","179","160","166","163","86","37","43","97","118","110"
"201","[P]","    ALLWORDS.COM","144","163","127","124","190","114","140","156","145","178","143","116","163","134","108"
"202","[P]","    TOPPRODUCT.NL","161","193","155","153","203","149","139","129","139","104","120","97","92","113","103"
"203","[M]","    5BALLOV.RU","2","4","N/A","N/A","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23","54","101"
"204","[P]","    EPNET.COM","334","362","250","188","151","103","138","77","106","98","67","70","148","85","98"
"205","[P]","    PETS4YOU.COM","119","146","130","170","99","172","145","100","122","107","58","94","83","89","96"
"206","[P]","    PLANETADISSER.COM","107","146","169","192","101","104","120","154","245","129","19","26","42","73","91"
"207","[P]","    WISDOMQUOTES.COM","658","727","580","483","441","413","368","262","222","283","178","154","81","91","91"
"208","[M]","    POETRY.COM","58","113","47","70","63","88","153","147","106","99","95","85","95","123","87"
"209","[P]","    DICODUNET.COM","73","83","43","86","107","110","74","123","96","67","31","N/A","66","65","86"
"210","[P]","    LEARNENGLISH.ORG.UK","44","70","51","46","62","60","45","40","55","36","20","34","50","69","77"
"211","[P]","    SEVGILIYE.COM","186","184","217","248","200","377","121","91","108","86","91","72","56","62","76"
"212","[P]","    LKWDPL.ORG","146","129","104","87","101","273","115","76","84","45","30","23","79","47","76"
"213","[P]","    VITALREC.COM","109","175","182","139","180","185","202","96","181","96","143","137","72","110","74"
