"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: January 2013 - March 2014","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 4/23/2014","","","","","",""

"","","","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013","Jan-2014","Feb-2014","Mar-2014"
"22","[M](U)","    Demand Media Network","5,741","5,334","5,551","5,381","4,800","4,594","4,396","4,119","4,354","4,538","4,213","3,650","3,576","3,684","4,246"
"23","[P]","    TURNITIN.COM","2,370","2,941","3,668","3,882","3,391","1,653","1,007","1,693","3,742","4,702","4,439","3,850","2,603","3,375","4,176"
"24","[P]","    LEXILOGOS.COM","4,343","3,908","4,105","3,817","4,117","3,706","3,901","3,557","3,864","3,669","4,041","4,044","3,937","3,607","4,080"
"25","[C]","    Naver.com Knowledge iN","9,424","3,095","2,995","2,757","3,132","2,827","2,449","2,743","2,572","2,971","3,286","3,418","3,887","4,341","4,036"
"26","[P]","    DICT.CC","4,325","4,427","4,726","4,583","4,525","4,379","4,153","3,944","4,187","4,575","4,597","4,026","4,600","4,139","3,872"
"27","[P]","    DEFINICION.DE","2,099","2,845","2,771","3,113","3,040","2,387","1,701","3,169","3,680","3,968","3,241","1,693","2,562","3,397","3,367"
"28","[P]","    IXL.COM","3,601","3,424","3,386","3,277","3,045","2,326","2,286","2,618","4,327","4,630","5,020","3,101","4,194","3,752","3,365"
"29","[P]","    UN.ORG","2,354","2,184","2,993","2,750","2,720","2,195","1,933","1,973","2,850","3,024","5,085","2,568","2,511","2,537","3,328"
"30","[P]","    SCIELO.BR","1,410","2,151","3,343","3,361","3,168","3,001","2,161","2,577","2,913","3,395","3,823","2,210","1,871","2,588","3,327"
"31","[C]","    Naver.com Dictionary","3,807","1,375","1,941","1,915","2,082","1,841","1,563","1,802","1,739","2,263","2,151","2,668","2,471","2,564","3,179"
"32","[P](U)","    POEMHUNTER.COM","3,417","3,672","3,609","3,791","3,640","2,724","2,344","2,134","2,567","2,658","2,909","2,426","2,338","2,501","2,714"
"33","[P]","    WORLDCAT.ORG","2,448","2,512","2,763","2,486","2,187","1,934","1,917","2,027","2,318","2,533","2,353","2,161","2,340","2,226","2,526"
"34","[P]","    ITUSOZLUK.COM","2,552","1,863","1,996","1,979","1,956","1,706","1,914","1,971","1,943","1,898","2,918","2,876","2,899","2,377","2,509"
"35","[C](U)","    Yahoo Dictionary","4,988","4,327","4,643","3,768","3,795","3,805","4,097","3,847","3,743","3,685","3,455","2,983","2,770","2,468","2,475"
"36","[P]","    CONSUMERREPORTS.ORG","3,281","3,015","2,710","2,742","2,817","2,780","3,093","2,752","2,794","2,832","3,015","2,594","2,656","2,150","2,416"
"37","[P]","    BIBLIOTEKAR.RU","2,436","2,313","2,581","2,674","2,559","2,069","1,143","1,054","1,935","2,292","2,654","2,822","2,488","2,357","2,392"
"38","[P]","    COINMILL.COM","2,433","2,473","2,570","2,544","2,717","2,931","3,079","3,262","2,786","2,616","2,786","2,705","3,091","2,288","2,274"
"39","[P]","    BIOGRAFIASYVIDAS.COM","1,379","1,556","1,914","2,116","2,125","1,459","1,154","1,654","2,245","2,239","1,907","915","1,384","1,860","2,190"
"40","[M]","    WER-WEISS-WAS.DE","5,104","4,273","4,495","3,564","3,316","3,075","2,964","2,975","2,879","2,715","2,780","2,420","2,770","2,408","2,066"
"41","[P]","    TURKCEBILGI.COM","1,819","1,584","1,915","2,037","1,943","1,228","1,070","960","1,194","1,394","2,191","2,410","2,223","1,507","2,032"
"42","[P]","    SLOVO.WS","1,388","1,385","1,374","1,567","1,136","288","138","212","2,647","2,173","2,410","2,273","1,759","1,960","1,801"
"43","[P]","    KLERK.RU","1,429","1,311","1,362","1,423","1,137","1,058","991","901","1,033","1,333","1,436","1,551","1,738","1,628","1,746"
"44","[P]","    SO100.CN","1,226","546","1,026","1,572","1,841","1,991","1,180","804","1,391","1,527","1,983","2,614","1,655","1,193","1,742"
"45","[C](U)","    ANSWERBAG.COM*","4,405","4,090","4,365","4,170","3,140","2,436","2,364","2,262","2,200","2,308","1,962","1,707","1,778","1,572","1,615"
"46","[P]","    NOLO.COM","1,016","998","1,216","1,075","1,170","1,158","1,514","1,397","1,313","1,706","1,457","1,056","1,475","1,392","1,591"
"47","[P]","    PEOPLES.RU","1,254","1,209","1,260","1,300","1,303","1,092","1,067","1,058","1,323","1,435","1,674","1,750","2,144","1,848","1,576"
"48","[P]","    GUNS.RU","2,148","1,808","1,710","691","1,045","1,041","1,136","1,136","1,169","1,178","1,461","1,452","1,471","1,423","1,550"
"49","[P]","    SERIALSSOLUTIONS.COM","1,212","1,460","1,536","1,645","1,200","881","1,072","1,048","1,460","2,054","1,835","1,186","1,343","1,418","1,537"
"50","[P]","    MIRSOVETOV.RU","2,288","2,094","2,267","1,937","1,837","1,751","1,634","1,555","1,679","1,555","1,790","1,649","1,671","1,509","1,458"
"51","[P]","    QUECHOISIR.ORG","648","862","786","702","647","663","865","979","1,068","1,447","1,089","1,505","1,169","1,347","1,413"
"52","[P]","    ONLINECONVERSION.COM","1,660","1,621","1,764","1,993","1,677","1,433","1,629","1,552","1,806","1,832","1,779","1,591","1,909","1,644","1,340"
"53","[P]","    TRANSLATED.NET","2,145","1,821","2,144","2,036","1,967","1,795","1,869","1,921","1,974","2,251","2,282","1,500","1,212","1,139","1,324"
"54","[P]","    CALEND.RU","1,155","1,169","1,186","1,219","1,280","1,222","1,009","1,105","1,323","1,484","1,647","1,173","1,159","1,202","1,211"
"55","[P]","    BrainPOP","1,179","1,349","1,335","1,347","1,357","578","331","882","1,698","1,913","1,466","1,182","1,149","1,375","1,176"
"56","[P]","    ANGLAISFACILE.COM","1,366","1,281","1,116","1,129","1,104","1,023","614","704","1,131","1,227","1,275","1,145","1,099","917","1,169"
"57","[P]","    ENGLISCH-HILFEN.DE","1,054","1,115","1,194","1,213","1,304","1,008","665","542","1,165","1,292","1,343","1,139","1,122","1,029","1,143"
"58","[P]","    EMERALDINSIGHT.COM","926","853","1,211","1,030","989","764","823","780","862","1,314","1,341","928","805","783","1,129"
"59","[P]","    TRANSLIT.RU","1,364","1,177","1,280","1,148","1,219","1,105","1,141","1,325","1,238","1,261","1,264","1,128","1,192","1,136","1,107"
"60","[P]","    PWN.PL","1,250","1,004","1,056","1,060","1,106","1,054","682","762","992","1,111","1,207","1,024","1,170","893","1,064"
"61","[P](u)","    QUESTIA.COM","736","1,007","1,081","1,116","839","623","603","602","813","951","845","663","845","804","1,009"
"62","[P]","    MIJNWOORDENBOEK.NL","1,266","1,032","1,174","1,091","1,239","1,160","730","1,033","1,140","1,287","1,458","1,377","1,249","1,226","1,002"
"63","[P]","    Farlex.com Sites","892","1,220","1,545","1,780","1,180","768","863","947","1,057","1,110","806","449","878","870","994"
"64","[P]","    SMARTDRAW.COM","1,023","998","1,136","1,041","1,093","965","1,015","942","1,113","1,198","1,049","818","967","900","989"
"65","[P]","    DEXONLINE.RO","950","948","1,017","950","948","884","739","728","897","1,145","1,012","899","1,093","950","968"
"66","[P]","    ARABIC-KEYBOARD.ORG","1,241","1,391","1,117","1,239","1,182","1,105","1,083","919","989","1,064","1,072","1,042","1,007","1,008","966"
"67","[P]","    BOOKZ.RU","1,378","1,327","1,331","1,239","1,125","1,017","958","916","1,073","985","1,165","1,084","1,141","1,045","953"
"68","[P]","    SLD.CU","736","859","928","1,059","1,025","808","653","837","883","1,013","878","571","743","823","952"
"69","[P]","    ACRONYMFINDER.COM","1,571","1,342","1,528","1,585","1,334","1,223","1,440","1,169","1,297","1,129","1,204","1,065","1,037","1,050","950"
"70","[P]","    ALC.CO.JP","1,059","890","888","870","1,027","911","964","844","924","1,027","1,146","1,126","1,214","1,024","936"
"71","[P]","    BNF.FR","866","740","812","768","808","639","566","566","633","868","1,092","940","1,185","959","935"
"72","[P]","    SOZLUK.NET","879","685","806","683","773","521","530","520","568","754","1,051","995","871","705","929"
"73","[P]","    SPISHY.RU","2,549","2,576","2,013","2,544","1,853","462","190","175","3,087","3,329","2,732","3,246","2,809","2,710","913"
"74","[P]","    ArticlesBase.com Sites","1,086","1,222","1,593","1,464","1,226","956","857","976","927","930","1,014","816","874","898","907"
"75","[P]","    BUSINESSBALLS.COM","975","700","840","771","817","733","787","705","805","870","643","791","731","702","897"
"76","[P]","    ALTALEX.COM","984","864","902","874","861","823","996","644","1,077","1,274","1,250","1,039","1,249","946","889"
"77","[P]","    SYNONYMES.COM","697","841","839","805","797","726","411","411","597","793","766","742","816","766","856"
"78","[P]","    123HELPME.COM","1,282","1,522","1,901","1,744","1,556","864","760","619","1,161","1,096","1,009","870","766","754","797"
"79","[P]","    POETS.ORG","583","639","768","829","671","439","469","482","764","723","865","585","760","748","777"
"80","[P]","    ENGLISHPAGE.COM","639","751","755","855","764","614","426","435","805","890","929","723","815","646","762"
"81","[P]","    THINKEXIST.COM","2,353","2,206","2,286","2,007","1,698","1,316","976","1,129","1,378","1,270","854","631","900","829","739"
"82","[P]","    VERTALEN.NU","791","688","827","718","766","820","598","820","1,005","910","895","829","840","782","734"
"83","[P]","    OMNIGLOT.COM","740","655","816","760","675","674","621","726","767","905","644","628","749","678","700"
"84","[P]","    REPEC.ORG","691","563","704","775","734","567","541","549","505","747","693","532","551","554","689"
"85","[P]","    PHRASES.ORG.UK","1,055","1,075","1,010","1,070","988","918","915","755","864","832","863","786","644","711","677"
"86","[P]","    SCIELO.CL","505","463","607","721","729","607","469","520","664","733","679","462","451","532","668"
"87","[P]","    ASKMEHELPDESK.COM","1,478","1,194","1,389","1,190","1,137","1,073","1,196","953","1,115","1,010","786","757","926","878","658"
"88","[P]","    HONEYWELL.COM","771","720","757","625","728","702","709","648","706","673","620","527","648","627","643"
"89","[P]","    VDICT.COM","689","500","710","661","643","595","682","696","639","767","694","607","520","678","641"
"90","[P]","    NOODLETOOLS.COM","365","423","505","634","597","207","57","96","347","575","562","475","446","454","641"
"91","[P]","    AIES.CN","337","250","330","468","529","483","641","710","548","515","541","583","458","376","617"
"92","[P]","    MOREWORDS.COM","1,120","979","1,126","1,091","981","869","853","959","839","1,084","882","697","899","835","615"
"93","[P]","    ZARGAN.COM","745","627","710","660","697","632","401","383","387","499","678","614","599","534","611"
"94","[P]","    UNIVERSALIS.FR","604","712","730","659","577","346","246","247","442","493","534","601","505","703","605"
"95","[P]","    NOTAIRES.FR","358","344","448","293","598","339","492","480","561","538","584","509","566","502","603"
"96","[P]","    DICOCITATIONS.COM","630","530","515","439","427","405","376","319","514","567","623","634","748","637","591"
"97","[P]","    USHISTORY.ORG","625","609","572","612","597","410","351","323","952","1,173","975","708","727","768","583"
"98","[P]","    BIREME.BR","166","264","402","527","574","528","406","565","589","584","622","270","277","495","577"
"99","[P]","    BIYOGRAFI.INFO","166","97","158","211","214","118","100","105","113","160","338","418","450","359","558"
"100","[P]","    INGENTACONNECT.COM","569","792","863","815","651","574","569","568","505","710","496","460","480","391","512"
"101","[C]","    LIBRARYTHING.COM","497","552","624","628","553","591","637","652","641","628","563","401","732","555","496"
"102","[P]","    ACTUALICESE.COM","446","478","503","583","574","397","418","475","477","462","434","268","433","508","495"
"103","[M]","    QUIBBLO.COM","992","754","1,043","1,862","802","662","789","594","490","573","600","506","525","429","494"
"104","[P]","    WISSEN.DE","562","521","499","532","508","504","278","247","385","358","463","376","562","386","490"
"105","[P]","    WEBELEMENTS.COM","665","604","575","531","480","437","302","297","963","1,043","803","526","534","412","486"
"106","[P]","    LEXICOOL.COM","342","265","318","278","322","290","377","376","399","551","424","433","521","543","469"
"107","[P]","    OSZK.HU","482","426","471","411","395","320","235","240","336","402","446","331","481","420","467"
"108","[P]","    ALDEBARAN.RU","1,140","861","815","703","669","594","566","498","578","536","645","558","529","423","452"
"109","[P]","    OCLC.ORG","504","631","711","510","538","511","442","434","375","592","469","487","418","561","447"
"110","[P]","    MANSIONINGLES.COM","349","463","351","419","534","418","426","449","504","572","516","280","417","448","438"
"111","[P]","    PSICOLOGIA-ONLINE.COM","267","300","365","392","335","262","256","305","298","392","333","206","250","339","437"
"112","[P]","    SACRED-TEXTS.COM","499","509","491","521","521","485","481","439","489","621","563","582","566","375","422"
"113","[P]","    YEMINLISOZLUK.COM","383","260","262","217","152","155","171","164","217","250","519","368","452","246","402"
"114","[P]","    GOGEN-ALLGUIDE.COM","706","498","583","517","508","637","478","470","481","445","476","427","495","442","396"
"115","[P]","    MIRSLOVAREI.COM","331","295","280","422","523","407","85","85","342","401","496","617","421","374","391"
"116","[P]","    TOPLUMDUSMANI.NET","514","388","561","630","405","196","105","69","261","278","422","334","366","269","373"
"117","[P]","    STROYPORTAL.RU","431","468","470","415","368","332","422","403","453","464","432","347","334","345","371"
"118","[P]","    ALA.ORG","373","299","376","372","229","217","338","350","478","310","247","308","377","410","363"
"119","[P]","    EGO4U.DE","348","332","412","489","424","401","175","140","332","330","445","372","393","239","357"
"120","[P]","    NYPL.ORG","353","240","265","321","269","328","346","321","328","421","296","295","377","374","353"
"121","[P]","    JEWISHVIRTUALLIBRARY.ORG","518","482","644","514","520","329","245","339","467","418","409","402","296","366","353"
"122","[P]","    TRANSLATE.PL","532","481","472","420","380","384","317","330","388","482","458","364","423","354","349"
"123","[P]","    ERUDITION.RU","390","345","364","477","592","283","53","45","335","373","369","402","282","264","323"
"124","[P]","    MORFIX.CO.IL","309","230","265","297","253","271","281","270","271","350","301","308","290","270","320"
"125","[P]","    ENERGYGUIDE.COM","934","587","418","472","409","304","425","312","313","341","259","327","397","385","319"
"126","[P]","    STARS21.COM","439","360","395","342","354","338","352","305","320","351","352","392","372","305","319"
"127","[P]","    TRADUCEGRATIS.COM","655","514","652","589","556","454","369","408","409","470","393","374","402","316","305"
"128","[P]","    ONELOOK.COM","395","342","414","312","447","450","419","367","420","425","362","311","348","296","288"
"129","[P]","    KDD.CC","229","154","265","318","401","352","317","312","289","279","284","215","229","185","269"
"130","[P]","    THAIGOODVIEW.COM","1,139","880","488","325","513","709","692","711","681","348","550","480","554","560","266"
"131","[P]","    THEOI.COM","261","316","303","234","285","202","192","252","245","400","383","262","320","203","262"
"132","[M]","    Informit Network","271","292","309","277","243","145","227","183","169","189","207","133","139","130","255"
"133","[P]","    ABIPUR.DE","222","220","261","306","266","194","44","84","136","199","227","165","220","187","251"
"134","[P]","    NEWWORLDENCYCLOPEDIA.ORG","358","361","478","419","265","224","163","179","342","320","274","182","200","223","246"
"135","[P]","    MEGAESSAYS.COM","396","425","555","471","318","187","189","134","318","427","485","275","266","259","245"
"136","[P]","    EPNET.COM","101","88","87","103","54","57","60","54","61","148","145","82","118","84","240"
"137","[C]","    Voila.fr Translation","449","371","447","273","340","377","215","214","236","265","267","219","259","160","231"
"138","[P]","    QURANEXPLORER.COM","420","358","423","431","395","363","684","407","319","371","313","319","276","271","228"
"139","[P]","    HOWTODOTHINGS.COM","484","477","602","378","423","282","204","228","260","219","264","199","231","245","211"
"140","[P]","    ZENO.ORG","238","195","199","154","180","158","96","85","147","159","180","170","146","169","203"
"141","[P]","    EXAMPLEESSAYS.COM","272","335","425","377","389","202","238","167","274","357","375","270","261","186","201"
"142","[P]","    ARKITERA.COM","170","116","149","137","121","167","136","90","95","117","198","191","293","156","198"
"143","[P]","    AMERICANRHETORIC.COM","260","143","168","144","143","162","76","203","183","150","215","173","348","193","187"
"144","[P]","    LIB.OH.US","186","178","142","98","100","86","148","104","98","90","155","91","166","86","181"
"145","[P]","    NATIVE-LANGUAGES.ORG","131","182","167","168","156","103","94","88","255","262","158","113","154","160","180"
"146","[P]","    EVERYTHING2.COM","380","348","429","455","305","287","291","231","233","286","296","229","252","192","179"
"147","[C]","    BOOKFINDER.COM","383","189","301","205","204","164","202","194","172","250","176","203","164","113","179"
"148","[P]","    CUCUMIS.ORG","158","157","160","176","149","156","250","143","186","161","212","199","142","119","175"
"149","[P]","    VICTORIANWEB.ORG","222","207","263","213","251","131","90","122","177","264","267","162","206","232","174"
"150","[P]","    INFOVISUAL.INFO","267","173","246","231","169","135","86","102","182","220","273","145","199","190","168"
"151","[P]","    U-S-HISTORY.COM","324","393","462","455","382","204","43","158","296","349","306","232","164","268","168"
"152","[P]","    WWWW4.COM","315","290","308","364","295","210","103","117","232","244","326","344","271","197","159"
"153","[P]","    DEFINICION.ORG","229","271","284","359","364","239","178","253","181","163","128","55","108","146","158"
"154","[P]","    INFORMATIONSARCHIV.NET","321","269","255","239","266","222","178","189","177","153","172","106","144","136","156"
"155","[P]","    CALCULATOR.COM","307","260","293","295","378","191","278","198","257","346","225","241","236","186","155"
"156","[P]","    MYDICT.COM","288","317","273","277","272","277","166","153","170","210","167","177","175","161","154"
"157","[P]","    FAMOUSPOETSANDPOEMS.COM","158","187","241","188","260","90","117","106","131","125","149","139","207","134","153"
"158","[P]","    JURIS.DE","163","146","70","88","127","101","81","163","90","109","125","40","115","102","149"
"159","[P]","    MADSCI.ORG","111","104","131","90","64","43","24","39","82","98","106","47","87","105","139"
"160","[P]","    ELITESKILLS.COM","182","207","250","214","193","100","80","73","127","140","162","133","212","96","135"
"161","[P]","    FOURMILAB.CH","157","166","170","196","152","97","115","152","106","116","148","147","100","157","135"
"162","[P]","    KWINTESSENTIAL.CO.UK","271","359","401","425","441","245","178","83","197","185","249","161","147","210","131"
"163","[P]","    YOURCHILDLEARNS.COM","129","145","117","158","115","90","99","174","211","232","244","60","115","112","125"
"164","[P]","    NCIKU.COM","275","203","225","224","174","172","170","205","179","153","151","134","205","164","124"
"165","[P]","    IPL.ORG","240","249","269","184","360","132","162","194","187","217","221","171","170","141","124"
"166","[P]","    GEOGRAPH.ORG.UK","264","189","207","275","185","192","152","244","215","194","144","139","116","112","123"
"167","[P]","    PANTHEON.ORG","173","210","220","156","175","138","123","142","178","177","141","96","131","134","123"
"168","[P]","    LUMINARIUM.ORG","181","186","134","125","172","121","125","117","145","193","154","159","326","97","120"
"169","[P]","    POEMSOURCE.COM","258","349","184","151","205","229","116","105","143","99","217","129","76","211","118"
"170","[P]","    FRENCH-LINGUISTICS.CO.UK*","246","173","210","230","222","136","103","80","218","256","150","139","135","80","115"
"171","[P]","    QUOTELAND.COM","143","187","120","145","109","124","124","72","89","96","182","86","87","231","108"
"172","[P]","    ATLANTS.LV","119","101","131","127","143","58","36","33","88","90","160","121","118","98","107"
"173","[P]","    CUMMINGSSTUDYGUIDES.NET","256","212","144","151","152","93","31","67","165","179","161","142","155","114","105"
"174","[P]","    EYEWITNESSTOHISTORY.COM","226","234","289","341","285","165","102","139","168","189","223","141","217","127","102"
"175","[P]","    FREELANG.NET","197","123","144","172","136","152","95","122","147","91","69","118","80","61","92"
"176","[P]","    ARTCYCLOPEDIA.COM","182","129","158","175","98","97","62","85","133","150","105","95","109","71","87"
"177","[P]","    TDK.ORG.TR","108","85","85","56","60","91","27","N/A","34","27","46","N/A","58","N/A","82"
"178","[P]","    MANAGEMENTHELP.ORG","162","207","295","220","148","115","110","50","119","130","88","46","106","79","81"
"179","[P]","    GLOSSARY.RU","175","112","113","135","126","85","28","25","75","83","144","146","59","125","78"
"180","[P]","    WAPEDIA.MOBI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","85","72","68","53","74"
"181","[P]","    PETS4YOU.COM","61","74","90","75","47","54","55","72","46","49","83","N/A","95","72","74"
"182","[P]","    WORDWEBONLINE.COM","206","101","128","113","142","120","153","102","115","109","81","80","106","134","67"
"183","[P]","    ECHEAT.COM","103","139","191","216","113","47","32","37","78","116","97","97","88","57","64"
"184","[P]","    POEMOFQUOTES.COM","66","120","112","85","58","67","55","27","28","33","33","28","58","48","62"
"185","[P]","    ALLGREATQUOTES.COM","172","181","249","200","254","97","82","58","60","124","94","83","56","40","55"
"186","[P]","    BrainyMedia Sites","142","138","202","160","132","106","150","108","41","42","60","48","62","49","54"
"187","[P]","    Antiqbook","62","82","93","58","69","47","65","112","73","82","175","82","97","127","53"
"188","[P]","    LOTSOFESSAYS.COM","168","171","238","168","118","78","32","40","36","61","42","36","34","43","49"
"189","[P]","    LEARNENGLISH.ORG.UK","44","29","35","31","44","17","29","21","65","101","66","44","43","38","49"
"190","[P]","    FREEDICT.COM","200","135","152","143","175","189","113","150","97","88","125","93","98","31","49"
"191","[P]","    LECTLAW.COM","86","107","98","76","117","78","37","18","64","68","31","37","12","15","48"
"192","[P]","    VISUALTHESAURUS.COM","217","206","215","283","178","105","139","190","206","353","302","175","255","99","46"
"193","[P]","    LEXINTER.NET","172","194","134","101","58","63","38","38","80","378","84","82","94","94","41"
"194","[P]","    TOPPRODUCT.NL","121","86","112","73","64","59","34","124","32","55","28","37","48","29","40"
"195","[P]","    MOLWICK.COM","63","103","134","127","68","62","36","53","44","40","48","28","26","27","35"
"196","[P]","    DICTS.INFO","187","110","144","128","114","88","94","91","74","79","41","83","93","42","35"
"197","[P]","    ALLWORDS.COM","75","90","138","149","101","48","92","82","52","88","64","85","44","31","34"
"198","[P]","    NORTHPOLE.COM","88","28","34","34","32","27","36","66","74","114","202","559","47","19","31"
"199","[P]","    ACADEMON.COM","56","65","89","48","58","50","42","14","42","59","73","27","34","40","31"
"200","[P]","    DICODUNET.COM","94","50","55","62","34","23","22","N/A","37","43","27","N/A","N/A","N/A","28"
"201","[P]","    TRANSLATION-GUIDE.COM","52","28","41","58","28","21","33","25","35","37","36","35","38","44","27"
"202","[P]","    NETPOETS.COM","32","44","57","46","25","56","37","29","16","20","22","18","18","14","27"
"203","[P]","    ABCPEDIA.COM","64","52","49","36","66","40","30","31","39","33","41","18","30","29","23"
"204","[P]","    BEST-LOVE-POEMS.COM","86","65","80","67","86","43","50","44","34","34","35","18","51","26","19"
"205","[P]","    SOBRESITES.COM","29","62","55","61","61","45","15","46","41","28","36","26","N/A","43","17"
"206","[P]","    FOREIGNWORD.COM","20","29","31","26","N/A","N/A","N/A","N/A","N/A","11","N/A","N/A","10","N/A","12"
"207","[P]","    SAIDWHAT.CO.UK","25","43","65","63","31","27","20","19","22","21","49","7","13","N/A","N/A"
"208","[P]","    SPRINGERLINK.COM","57","64","82","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"209","[P]","    WIKILEARNING.COM","194","221","216","237","239","15","N/A","N/A","14","12","N/A","N/A","N/A","20","N/A"
"210","[P]","    WISDOMQUOTES.COM","81","79","63","77","51","98","60","60","49","47","N/A","21","16","N/A","N/A"
"211","[P]","    WEBSTERS-ONLINE-DICTIONARY.ORG","94","55","95","74","66","130","110","78","72","25","N/A","N/A","N/A","N/A","N/A"
"212","[P]","    ESSAYFINDER.COM","10","N/A","18","N/A","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"213","[P]","    KNOWLEDGERUSH.COM","18","45","19","34","21","15","18","21","28","9","18","N/A","37","N/A","N/A"
"214","[P]","    LKWDPL.ORG","60","123","111","51","52","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
