"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2011 comScore, Inc"
"","","","Time Period :: August 2010 - October 2011","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/28/2011","","","","","",""

"","","","Aug-2010","Sep-2010","Oct-2010","Nov-2010","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011"
"85","[P]","    MIH Limited","40,258","40,839","41,170","41,213","40,443","40,092","38,164","39,537","39,869","42,619","41,006","40,098","41,226","42,249","45,151"
"86","[P](u)","    Conde Nast Digital","37,420","39,742","42,710","44,893","43,160","37,318","37,913","38,360","37,970","40,588","37,490","36,864","40,361","40,502","45,134"
"87","[M](U)","    AuFeminin (w/ history)","35,937","37,891","39,379","44,336","42,182","44,358","41,987","43,358","40,411","31,107","39,345","39,135","40,230","41,160","44,875"
"88","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","26,236","27,609","39,103","40,373","37,140","41,773","39,991","42,334","40,491","42,472","40,678","40,241","42,120","44,108","44,860"
"89","[P](u)","    Fox Interactive Media","149,145","149,645","123,007","113,413","110,651","107,900","95,278","99,059","104,867","106,234","97,266","95,943","37,407","41,502","44,630"
"90","[P](u)","    Groupe Lagardere","41,297","42,486","44,313","46,414","44,101","45,416","41,843","45,039","46,473","46,521","47,076","46,413","43,618","44,540","44,618"
"91","[P](U)","    Wikia Sites","26,135","27,087","29,777","32,686","33,638","37,097","35,118","39,459","37,488","39,512","39,021","39,524","40,031","40,340","44,585"
"92","[P](u)","    BUZZMEDIA","41,891","38,367","45,121","47,766","50,811","51,934","48,368","51,750","48,188","39,034","41,796","41,757","43,993","41,886","44,168"
"93","[M]","    Livedoor Co.,Ltd. (w/ history)","32,510","32,478","32,396","32,396","32,460","33,537","32,390","34,349","33,157","36,511","37,017","38,202","40,285","43,195","43,851"
"94","[P](u)","    Shopzilla.com Sites","29,639","31,064","34,683","37,737","39,287","37,642","34,785","33,857","30,522","32,293","31,499","36,605","38,783","38,741","43,104"
"95","[P]","    RapidShare AG","68,708","67,339","64,792","60,768","57,790","57,364","51,591","52,396","47,485","46,578","43,961","41,874","41,593","40,554","42,854"
"96","[P]","    NTT Group","39,738","38,957","38,920","39,332","38,555","39,398","37,059","38,176","36,443","39,409","39,214","40,345","41,125","42,199","42,712"
"97","[P]","    THEPIRATEBAY.ORG","26,144","26,353","27,756","28,794","27,926","28,908","27,252","28,646","29,152","32,895","34,931","36,111","36,073","39,166","42,492"
"98","[P](U)","    Tribune Interactive","32,840","33,861","34,093","35,973","35,122","39,973","39,085","44,407","42,033","45,478","41,581","41,521","43,111","42,658","42,038"
"99","[P](U)","    Internet Brands, Inc.","22,614","22,348","22,219","22,033","22,832","26,253","23,576","24,743","23,527","28,409","35,308","38,046","39,182","41,188","41,806"
"100","[P](u)","    WebMD Health","32,268","33,247","33,084","32,714","30,494","32,498","28,954","32,555","30,137","35,601","35,420","37,629","38,912","38,761","41,091"
"101","[P]","    56.COM","42,097","39,564","35,702","32,593","30,996","32,579","32,068","33,134","33,098","33,588","33,523","35,657","34,338","39,178","40,994"
"102","[P](U)","    DEVIANTART.COM","24,684","25,565","27,604","31,443","32,874","32,783","31,405","34,753","34,539","35,408","36,003","37,592","38,775","37,879","40,757"
"103","[P](u)","    Geeknet","36,796","38,635","41,215","41,987","41,486","43,137","37,140","39,755","36,951","37,397","37,428","36,067","36,823","37,653","40,645"
"104","[P](u)","    Discovery Digital Media Sites","32,399","34,400","35,518","36,456","34,677","37,264","34,376","37,845","37,568","40,058","37,700","36,578","37,442","39,100","40,587"
"105","[P]","    Lycos Global Search And Media","35,900","39,896","40,244","39,927","34,089","34,464","32,199","34,700","33,239","37,032","34,867","33,202","36,410","37,407","40,406"
"106","[P]","    Qihoo.com Sites","46,889","43,950","46,787","49,802","40,184","44,417","43,091","50,452","44,091","31,558","31,320","34,446","37,397","35,697","40,387"
"107","[P]","    GSN Games","46,632","42,247","43,940","47,105","50,447","40,504","35,409","35,710","34,555","39,743","42,472","45,795","45,340","40,645","40,375"
"108","[P](u)","    iVillage.com: The Womens Network","46,906","45,569","46,427","45,748","42,841","43,696","39,364","43,727","40,678","41,091","44,209","42,190","42,231","42,028","40,358"
"109","[P]","    AVG Technologies","18,304","19,662","34,068","58,760","45,625","22,147","19,879","19,463","21,051","33,812","35,374","34,400","33,435","33,860","40,205"
"110","[P]","    KuGou Inc.","32,298","32,562","33,631","32,701","33,983","39,702","39,959","44,818","43,509","47,424","48,141","49,539","45,198","41,019","40,017"
"111","[P](u)","    Metacafe","47,241","46,296","47,561","48,609","49,214","49,035","44,864","47,043","45,853","47,078","44,154","42,062","38,272","40,707","39,860"
"112","[P]","    CyberAgent","32,733","32,852","32,380","33,166","33,345","35,024","33,088","34,536","32,455","36,007","35,381","36,532","38,155","38,714","39,681"
"113","[P](u)","    Time Warner (Excl. Turner/WB)","40,873","35,515","41,359","41,996","42,993","47,935","43,106","49,503","41,910","47,814","40,699","41,270","38,369","39,730","39,341"
"114","[P](U)","    CraveOnline (Evolve Media Corp.)","33,092","33,015","34,885","34,270","32,782","33,642","27,280","28,329","31,484","34,450","35,710","31,189","32,946","37,051","38,756"
"115","[M]","    360.CN","44,044","42,382","44,412","43,474","39,136","43,516","42,184","49,276","43,496","30,647","30,551","33,806","36,599","34,248","38,326"
"116","[P]","    MercadoLibre","33,863","33,900","35,667","35,078","34,448","34,308","31,564","33,047","31,416","33,447","33,481","35,707","38,421","36,904","38,175"
"117","[P]","    58.COM","17,218","16,708","13,958","12,680","13,558","15,193","16,039","20,774","17,584","21,053","23,319","28,898","28,293","31,272","38,028"
"118","[P]","    United-Internet Sites","31,325","30,242","29,849","30,249","30,868","32,073","29,390","29,392","29,038","30,369","31,306","31,002","36,480","37,131","37,913"
"119","[P]","    Grupo Intercom","33,385","34,855","36,313","37,229","31,980","36,316","33,887","36,694","33,047","36,439","35,582","34,373","35,681","35,778","37,544"
"120","[P](u)","    AT&T Interactive Network","29,899","28,924","29,778","30,277","31,079","33,967","31,327","32,004","31,031","34,381","34,274","40,519","39,919","38,871","37,369"
"121","[P]","    Steam (App)","21,899","22,785","23,542","25,033","24,899","24,930","23,491","24,739","25,037","26,666","29,916","32,068","32,682","35,053","37,360"
"122","[P]","    Liberty Media Holding Corporation","12,421","15,462","19,861","13,254","13,195","12,602","11,051","11,456","11,041","11,488","12,331","22,555","27,668","30,097","36,669"
"123","[P]","    Otto Gruppe","35,843","34,053","33,512","38,368","34,406","32,873","31,576","32,805","32,143","33,500","31,779","30,702","30,445","33,087","36,481"
"124","[P]","    Hubert Burda Media","29,599","29,255","29,384","29,551","29,636","31,140","28,708","29,590","28,817","32,213","32,646","33,034","33,645","33,664","36,336"
"125","[P]","    BADOO.COM","18,088","21,326","22,038","23,079","25,916","25,175","24,076","26,204","24,361","28,715","29,113","28,249","32,526","33,884","36,217"
"126","[P]","    Samsung Group","24,035","25,980","23,613","26,555","27,720","24,046","20,766","22,300","22,161","26,231","26,862","28,672","29,487","33,067","35,730"
"127","[P](u)","    Prisa","20,396","19,932","21,356","21,805","20,184","20,601","19,610","21,036","22,395","24,703","23,160","21,636","26,226","34,113","35,676"
"128","[P](u)","    Opera Software","34,122","34,227","34,657","30,298","34,392","33,530","31,005","29,356","36,546","31,327","29,844","32,838","33,462","36,033","35,314"
"129","[P]","    2345.COM","24,813","20,142","20,697","22,570","22,101","24,888","27,464","31,816","31,156","32,877","31,230","34,477","35,807","34,434","35,204"
"130","[P]","    BEARSHARE.COM","16,765","17,164","19,803","29,798","30,022","31,108","30,516","34,602","34,208","33,702","31,981","30,129","30,686","37,481","34,927"
"131","[P](u)","    Everyday Health","32,004","32,293","33,102","32,682","33,167","33,918","29,320","33,072","32,901","32,041","32,213","34,217","34,243","35,044","34,819"
"132","[P]","    Groupe PPR","35,107","36,467","35,337","39,226","35,884","35,330","30,733","30,680","29,689","32,566","31,686","30,485","31,620","34,230","34,792"
"133","[P](u)","    Dow Jones & Company","25,188","23,278","25,805","25,661","26,388","30,171","26,120","32,397","30,562","29,981","31,430","31,208","35,494","34,281","34,704"
"134","[P](u)","    Guardian Media Group","12,319","25,057","26,127","29,202","26,970","26,857","25,686","31,424","28,287","33,372","28,757","29,901","32,018","30,267","34,614"
"135","[P]","    WildTangent Media","28,237","25,341","33,948","28,826","33,400","31,946","29,667","29,657","30,021","31,905","37,061","36,226","34,759","32,115","34,468"
"136","[P]","    Groupe Pages Jaunes","35,812","34,229","35,155","36,425","35,251","38,582","36,485","37,566","34,908","36,573","36,058","34,636","33,521","32,931","34,464"
"137","[P](u)","    NBC Universal","31,351","35,751","32,940","32,061","33,502","36,375","33,505","35,125","33,173","37,484","34,314","31,221","33,738","34,656","34,070"
"138","[P]","    PCPOP Sites","25,381","25,411","23,229","20,929","18,752","21,922","15,439","20,137","16,672","21,927","19,974","28,946","26,192","29,025","33,820"
"139","[P]","    RosBusinessConsulting","30,062","29,816","31,336","30,304","30,812","30,966","28,947","31,176","31,116","32,411","31,211","31,412","31,522","32,341","33,463"
"140","[P](U)","    YELP.COM","24,734","24,334","24,845","25,140","25,452","27,576","26,958","30,088","30,596","31,270","32,712","35,005","35,256","33,470","33,189"
"141","[P]","    Symantec","37,448","29,649","26,329","27,044","30,084","31,426","28,294","31,052","28,243","30,222","28,485","28,704","30,475","31,778","33,160"
"142","[P](u)","    Superpages.com Network","30,804","29,400","29,184","30,091","35,368","35,413","33,476","35,488","30,422","30,080","30,856","32,518","31,840","30,526","33,019"
"143","[P](u)","    Gawker Media","31,360","32,187","37,445","34,725","34,239","35,458","25,436","25,883","24,931","29,105","29,763","27,667","28,194","29,727","32,936"
"144","[P]","    HotChalk","11,089","15,373","17,524","19,193","16,394","21,318","20,220","27,518","25,943","26,594","23,021","19,855","23,188","29,947","32,767"
"145","[P](u)","    The Washington Post Company","29,674","27,774","28,955","28,561","26,790","29,778","28,072","31,198","26,372","34,693","27,854","27,816","30,633","29,392","32,765"
"146","[P]","    TARINGA.NET","29,370","30,263","32,215","30,253","27,880","29,126","28,281","30,373","29,895","30,207","29,231","29,845","31,484","32,743","32,683"
"147","[P]","    GMO Internet Group","25,837","26,400","25,702","25,071","24,691","25,540","24,227","26,804","24,203","26,511","25,713","28,510","30,780","31,599","32,616"
"148","[P]","    Dwango Co., Ltd.","19,542","20,470","19,993","20,499","20,856","21,228","19,978","22,195","21,638","23,745","25,692","27,261","29,490","30,647","32,263"
"149","[P](U)","    Indeed","21,136","22,626","23,902","24,620","22,587","28,886","28,883","33,185","31,806","33,544","35,520","29,007","26,672","31,889","32,229"
"150","[P]","    Ebuzzing","7,466","7,862","27,267","27,279","27,075","27,520","24,369","26,285","27,849","29,614","28,256","28,464","30,830","30,753","32,143"
"151","[P]","    DEPOSITFILES.COM","30,852","31,770","32,622","32,646","30,102","30,946","27,369","28,822","27,358","26,094","27,788","27,662","27,652","29,040","32,118"
"152","[P]","    Sun Microsystems, Inc.","27,016","24,020","25,197","25,235","23,109","24,949","21,821","33,164","26,767","26,150","27,224","31,415","26,685","26,683","32,088"
"153","[P]","    KAIXIN001.COM","21,382","19,189","18,056","17,758","13,993","17,212","16,596","19,079","21,268","20,107","20,621","24,334","24,396","29,830","31,595"
"154","[P](u)","    Big Lead Sports By FSV","24,260","25,718","27,298","28,571","29,021","30,923","27,928","26,226","26,561","26,910","26,707","27,624","29,981","31,063","31,496"
"155","[P]","    Nokia","31,753","30,067","31,215","32,519","34,267","29,835","26,160","32,037","27,244","25,990","27,825","26,952","28,430","30,033","31,404"
"156","[P]","    MEGAVIDEO.COM","34,809","33,973","34,627","34,936","50,873","42,854","30,618","32,611","30,951","34,015","32,341","33,282","31,434","29,740","31,272"
"157","[P](u)","    Scripps Networks Interactive Inc.","16,615","16,702","21,102","34,692","34,013","33,966","27,947","30,591","31,223","31,907","26,665","28,873","29,274","28,918","31,267"
"158","[P](u)","    Reuters Sites","20,151","20,800","21,514","21,962","18,809","23,658","24,089","32,244","25,169","31,089","25,233","27,649","29,016","28,123","31,209"
"159","[P](u)","    ABCNEWS DIGITAL","11,594","11,907","19,321","21,917","22,002","25,079","21,951","26,449","26,043","33,008","22,852","26,004","29,082","27,095","31,187"
"160","[P]","    Seesaa","17,919","19,615","19,277","20,172","23,262","24,515","21,896","23,095","22,673","25,575","26,288","27,649","28,896","29,964","31,181"
"161","[P](u)","    Reader's Digest Digital Network","22,826","23,234","26,542","30,815","32,238","27,292","26,602","25,835","25,683","24,198","23,747","25,644","26,548","27,905","31,026"
