"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: October 2010 - December 2011","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 1/20/2012","","","","","",""

"","","","Oct-2010","Nov-2010","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011"
"167","[P]","    ProSiebenSat1 Sites","33,622","34,869","34,293","31,890","29,064","30,318","30,352","31,678","31,158","30,024","30,248","29,683","29,747","28,667","28,289"
"168","[P]","    MINICLIP.COM","23,418","26,172","29,721","28,346","24,369","23,526","23,959","25,135","27,633","28,094","28,995","26,220","27,431","26,029","27,643"
"169","[P]","    RTL Group Sites","30,187","30,341","30,073","29,298","26,214","28,563","27,971","30,173","27,872","27,269","26,453","27,348","29,182","27,229","27,548"
"170","[P](u)","    Network 18","21,671","23,413","23,899","24,943","28,936","33,442","38,209","38,948","34,534","34,034","30,367","27,221","25,937","25,829","27,428"
"171","[P](u)","    Ticketmaster","20,902","19,360","18,629","18,953","20,659","21,797","19,141","20,188","20,016","21,374","21,338","22,963","27,873","27,995","27,338"
"172","[P](u)","    Big Lead Sports By FSV","27,298","28,571","29,021","30,923","27,928","26,226","26,561","26,910","26,707","27,624","29,981","31,063","31,496","28,966","27,174"
"173","[P]","    HotChalk","17,524","19,193","16,394","21,318","20,220","27,518","25,943","26,594","23,021","19,855","23,188","29,947","32,767","31,002","27,133"
"174","[P]","    Xinhua News Agency","20,288","19,620","18,472","18,600","17,839","23,197","19,802","22,534","23,917","26,215","24,855","26,168","26,575","26,550","27,043"
"175","[P](U)","    AlloCine Sites","15,595","15,379","15,202","16,311","15,419","15,321","14,652","17,020","18,450","20,124","22,752","19,191","20,905","25,971","27,027"
"176","[P](U)","    Indeed","23,902","24,620","22,587","28,886","28,883","33,185","31,806","33,544","35,520","29,007","26,672","31,889","32,229","31,909","27,023"
"177","[P](u)","    RCS Media Group","22,531","22,685","20,489","21,835","20,431","21,363","20,757","22,080","19,863","19,084","19,728","21,610","28,869","29,309","26,949"
"178","[P]","    China Central Television Sites","5,405","5,874","13,636","16,154","15,908","17,865","16,868","20,147","21,143","22,191","20,938","24,378","24,480","23,458","26,758"
"179","[P]","    Verizon Communications Corporation","26,295","25,824","26,943","25,257","23,135","23,440","22,048","22,165","23,792","25,927","25,121","24,950","26,895","27,468","26,598"
"180","[P](U)","    Times Internet Limited","20,091","19,243","19,257","20,206","19,869","22,483","23,044","24,424","21,247","22,782","23,403","24,159","23,393","25,425","26,513"
"181","[P]","    DANGDANG.COM","11,002","9,904","9,264","12,207","10,849","12,456","11,625","13,267","13,404","16,002","19,075","22,207","25,849","29,079","26,060"
"182","[P](u)","    Hi-Media Group","27,350","29,431","27,964","27,050","24,250","24,831","22,772","23,643","23,887","22,983","24,433","24,423","26,440","24,958","25,971"
"183","[P](u)","    Reuters Sites","21,514","21,962","18,809","23,658","24,089","32,244","25,169","31,089","25,233","27,649","29,016","28,123","31,209","26,399","25,908"
"184","[P]","    Gruner+Jahr Sites","22,283","22,388","22,971","23,367","20,664","22,016","20,505","21,854","21,544","21,511","21,736","22,393","24,917","23,949","25,751"
"185","[P]","    Dell","25,934","28,071","23,384","23,660","20,685","22,231","20,128","20,624","21,679","23,891","23,722","24,135","25,226","28,578","25,693"
"186","[P]","    GANJI.COM","10,563","9,214","7,759","10,080","11,529","15,387","13,067","18,137","25,013","26,797","28,394","24,063","26,674","25,197","25,463"
"187","[P]","    UPS Sites","15,858","16,146","21,746","16,358","16,014","15,980","13,701","15,320","16,264","16,414","16,925","17,630","18,247","19,575","24,924"
"188","[P]","    IKEA","21,297","21,600","19,955","24,342","19,110","19,896","17,822","18,929","19,311","21,616","24,279","23,915","24,555","25,428","24,911"
"189","[P]","    People's Daily online","14,412","14,611","13,353","15,393","13,200","16,280","14,016","16,493","18,630","20,674","21,084","19,474","20,196","22,932","24,832"
"190","[P]","    Bank of America","23,461","24,374","27,609","27,065","25,153","25,222","23,861","24,613","26,320","26,843","26,220","25,151","26,377","25,412","24,831"
"191","[P](u)","    Cox Enterprises Inc.","21,604","20,364","21,862","22,944","21,057","24,298","23,408","24,631","24,423","23,920","24,355","23,684","23,577","22,078","24,524"
"192","[P](u)","    Groupe TF1","22,142","21,614","22,435","24,639","21,349","24,052","21,460","24,041","21,093","22,455","23,183","24,320","25,517","23,818","24,218"
"193","[P]","    BEEMP3.COM","21,374","22,718","23,017","22,421","20,917","21,426","19,762","20,176","19,594","18,974","19,029","20,448","21,546","22,024","24,210"
"194","[P]","    Kakaku.com Inc.","21,182","21,477","20,642","21,689","19,850","18,902","18,291","20,515","20,400","21,432","21,909","22,576","23,563","23,314","24,143"
"195","[P](u)","    Hearst Corporation","21,026","21,735","18,929","20,697","18,720","20,856","20,537","24,382","22,725","22,488","25,997","27,414","26,833","25,427","24,057"
"196","[P]","    ARTISTdirect Network","26,327","25,568","24,818","22,231","19,648","20,031","19,771","22,210","22,489","22,324","22,682","23,386","24,360","24,025","24,046"
"197","[P]","    Toysrus Sites","13,289","21,828","23,169","10,078","8,155","8,513","8,150","8,045","8,658","9,961","9,817","10,966","13,633","23,373","23,975"
"198","[P]","    Samurai Factory Inc.","16,399","17,141","17,548","18,206","16,829","17,294","16,768","18,199","19,732","22,658","24,325","28,931","25,841","25,297","23,941"
"199","[P]","    AT&T, Inc.","23,229","23,256","24,039","22,975","21,853","22,916","20,208","21,990","23,140","23,720","24,951","24,310","25,171","24,333","23,800"
"200","[P](U)","    WhitePages","19,761","20,083","23,766","21,833","19,604","20,293","19,309","19,568","21,024","21,618","23,366","22,717","22,337","20,642","23,584"
"201","[P]","    NIH","20,491","21,019","16,960","18,497","19,723","22,764","20,790","22,676","20,718","19,858","21,437","24,523","27,073","26,790","23,558"
"202","[P](u)","    ValueClick Sites","26,683","23,527","24,921","23,122","21,861","22,351","21,092","21,752","18,886","17,994","19,623","21,266","23,679","24,461","23,488"
"203","[P]","    PICNIK.COM","18,230","18,993","21,599","23,231","19,944","20,656","21,123","22,698","22,767","23,430","23,018","21,737","21,847","21,933","23,368"
"204","[P](u)","    CafeMom Network","23,835","31,210","24,503","21,465","22,314","24,226","23,588","23,959","24,277","25,245","28,464","26,305","21,880","24,056","23,356"
"205","[P]","    Hatena","15,655","18,129","16,867","18,045","15,998","17,300","16,737","18,619","18,689","19,449","20,616","22,060","23,706","23,254","22,901"
"206","[P](U)","    PANDORA.COM","15,431","17,484","21,606","20,529","16,829","18,006","18,040","17,213","16,763","17,111","17,708","18,863","20,200","20,840","22,829"
"207","[P](u)","    Hulu","22,921","22,117","21,672","22,339","21,009","21,396","20,915","21,162","18,750","19,384","20,784","19,622","20,718","21,573","22,814"
"208","[P](u)","    Populis","18,416","20,803","18,100","21,996","23,133","23,461","22,492","19,804","16,599","15,891","13,632","20,228","21,623","21,368","22,576"
"209","[P](u)","    WorldNow Sites","17,592","14,659","14,835","16,905","20,937","19,342","19,713","20,311","19,389","19,943","23,451","21,749","22,171","23,880","22,501"
"210","[P](U)","    CareerBuilder LLC","26,429","28,164","23,545","30,764","27,205","30,222","29,858","29,886","26,465","28,893","29,640","29,158","28,941","25,176","22,440"
"211","[P](u)","    SLIDESHARE.NET","25,010","20,202","12,823","13,792","16,658","18,516","15,866","19,383","17,259","15,186","20,817","26,981","30,514","31,093","22,377"
"212","[P](U)","    CityGrid Media","14,386","22,135","22,538","23,867","24,736","26,181","24,756","24,974","24,783","25,984","25,973","23,466","23,013","22,623","22,338"
"213","[P]","    HEXUN.COM","11,684","13,920","11,924","12,808","12,471","13,590","13,393","15,393","16,935","19,380","17,426","15,827","18,082","18,450","22,136"
"214","[P]","    JPMorgan Chase Property","19,118","19,521","21,967","21,039","19,513","19,273","18,867","19,140","20,350","21,677","21,687","21,646","23,432","22,994","22,111"
"215","[P]","    LETITBIT.NET","19,541","19,346","18,690","19,200","17,768","17,341","17,015","18,542","18,233","18,618","18,551","19,133","21,881","22,344","21,951"
"216","[P]","    NEC Corporation","22,795","21,850","21,221","21,008","20,346","20,112","19,479","20,928","20,089","21,179","22,964","22,299","23,209","22,554","21,930"
"217","[P]","    SK Group","22,203","21,608","21,553","21,379","19,756","20,503","19,603","20,602","20,210","20,712","22,134","22,469","22,805","22,007","21,696"
"218","[P]","    KAIXIN001.COM","18,056","17,758","13,993","17,212","16,596","19,079","21,268","20,107","20,621","24,334","24,396","29,830","31,595","29,915","21,393"
"219","[P]","    Groupe M6","17,613","18,938","17,846","17,380","16,190","16,690","15,636","15,723","17,793","16,694","16,858","17,933","19,150","20,016","21,391"
"220","[P]","    McAfee.com Sites","25,222","25,903","37,839","24,843","21,934","15,024","12,545","11,828","11,533","11,668","12,045","14,870","15,437","20,265","21,377"
"221","[P]","    United Online, Inc","31,355","33,093","27,096","26,422","22,986","20,845","18,913","20,959","21,362","23,731","24,742","22,842","21,530","22,271","21,286"
"222","[P](u)","    Meredith Women's Network","12,864","11,499","11,852","11,745","10,871","15,181","16,667","17,859","18,007","18,080","16,440","16,234","19,147","19,840","21,239"
"223","[P]","    WeatherBug Property","29,510","27,817","32,353","31,120","29,301","28,219","27,996","27,058","26,525","26,502","23,734","21,925","21,767","21,693","21,225"
"224","[P]","    Valve Corporation","11,283","11,493","11,406","11,217","10,072","11,041","11,627","12,459","14,540","15,431","16,482","17,390","19,165","20,379","21,216"
"225","[P]","    Vivendi","19,534","19,985","18,995","20,126","18,633","20,169","19,653","20,038","19,838","18,683","19,446","22,108","24,222","20,832","21,198"
"226","[P]","    SHOUTMIX.COM","17,709","16,510","15,505","16,211","14,967","16,129","15,355","16,348","15,922","17,170","18,683","19,021","21,492","21,660","20,787"
"227","[P]","    Verlagsgruppe Georg von Holtzbrinck","29,167","27,947","25,962","26,259","24,648","25,320","22,454","22,899","21,280","19,380","19,862","21,416","22,634","22,381","20,480"
"228","[P]","    BitComet (App)","15,281","15,421","15,400","14,958","15,418","15,358","15,074","16,328","16,817","17,854","18,448","18,922","20,328","20,086","20,385"
"229","[P](u)","    Pearson Education","17,902","18,562","16,627","20,841","20,198","21,891","19,647","20,461","16,211","12,030","16,266","23,916","24,220","23,324","20,353"
"230","[P](U)","    Advance Digital","19,397","19,213","17,783","19,750","18,551","20,279","20,263","20,674","19,513","18,935","21,411","20,017","20,080","20,739","20,333"
"231","[P]","    Citigroup","18,394","17,626","18,413","17,948","17,400","17,628","17,271","17,891","19,003","19,484","19,732","19,971","19,893","20,102","20,246"
"232","[P]","    Macy's Inc.","11,606","16,143","17,150","11,453","10,623","10,846","10,469","10,815","10,782","11,450","12,036","13,121","13,220","19,878","20,095"
"233","[P]","    Research In Motion Limited","15,700","16,313","15,355","15,608","14,641","14,000","13,322","16,689","15,869","16,338","19,190","18,525","22,535","20,246","19,958"
"234","[P](u)","    Rediff.com India Ltd","13,239","12,758","17,514","18,236","17,111","19,103","18,351","18,458","18,331","19,675","19,022","19,003","19,024","20,059","19,838"
"235","[P]","    HSBC","18,354","18,217","18,881","18,948","17,458","17,710","17,141","18,216","18,589","19,320","19,495","19,329","19,633","19,236","19,714"
"236","[P]","    IncrediMail Ltd","8,520","8,290","8,552","8,652","7,901","8,377","7,990","7,693","7,980","6,901","6,782","8,996","10,894","14,938","19,682"
"237","[P]","    SOFTPEDIA.COM","18,664","17,195","16,138","17,068","14,453","15,411","15,020","16,263","15,919","15,942","17,336","18,189","21,451","19,277","19,679"
"238","[P]","    METRO Group","12,069","13,453","15,368","13,591","10,045","10,432","9,889","11,243","12,440","12,177","12,070","12,648","16,628","16,915","19,609"
"239","[P]","    Cyworld","18,389","17,663","16,817","17,587","15,843","16,114","15,750","16,917","17,349","17,924","19,686","21,714","20,184","18,910","19,455"
"240","[P](u)","    BuscaPe.com Inc.","10,935","11,486","11,410","11,387","11,249","12,201","11,857","12,911","13,187","12,962","13,617","19,956","19,882","21,039","19,148"
"241","[P]","    Volkswagen","15,249","15,246","13,476","14,372","13,792","15,437","13,550","13,870","13,450","14,254","14,160","16,787","17,652","17,935","19,137"
"242","[P]","    Kingfisher","13,776","15,497","14,544","13,747","12,213","12,707","13,066","13,433","13,613","13,970","13,635","14,598","15,365","18,653","19,070"
"243","[P]","    Excite Japan Sites","19,187","18,265","16,914","17,840","16,319","17,474","17,663","19,177","18,703","18,542","19,106","19,974","20,706","20,187","19,057"
"244","[P]","    JCPenney Sites","12,851","18,345","18,254","12,685","11,316","11,283","10,843","10,455","11,199","12,467","12,950","13,077","14,693","20,113","18,907"
"245","[P]","    UPLOADED.TO","7,950","8,413","7,211","7,811","7,650","9,275","9,883","12,875","14,468","13,698","13,968","14,872","17,470","17,787","18,865"
"246","[P]","    CONDUIT.COM","101,037","101,412","102,566","90,964","62,081","64,469","29,629","31,678","35,022","17,246","18,191","23,656","26,160","28,168","18,814"
"247","[P](u)","    Healthline","8,164","8,088","7,374","8,439","9,084","14,352","13,924","15,836","16,161","15,444","15,146","16,146","17,374","19,145","18,772"
"248","[P](U)","    Forbes Digital","15,628","17,596","13,811","14,230","13,467","15,724","15,195","14,382","16,280","15,762","18,021","18,190","18,657","17,748","18,769"
"249","[P]","    Wells Fargo","16,758","17,162","19,281","19,168","18,442","18,124","17,493","18,242","19,386","19,617","19,355","19,362","19,333","18,664","18,712"
"250","[P](U)","    BabyCenter Network","12,622","13,914","14,660","15,973","14,595","15,741","15,803","16,532","16,026","16,291","17,300","17,686","17,898","17,629","18,677"
"251","[P](U)","    LeGuide.com Sites","14,290","16,476","15,493","15,687","13,995","14,221","12,980","16,507","17,201","17,225","15,387","14,877","15,833","17,379","18,599"
"252","[P]","    Procter & Gamble","13,586","14,118","14,426","13,070","12,380","12,607","11,810","13,213","14,661","13,192","15,456","16,902","16,363","18,212","18,572"
"253","[P](U)","    Sugar, Inc - PopSugar Network","14,794","14,836","16,291","16,726","16,021","16,928","18,124","19,813","18,984","18,730","18,729","18,400","18,671","18,840","18,547"
"254","[P]","    GiantRealm","21,973","22,814","22,261","21,113","17,332","19,120","21,054","19,445","20,816","20,795","19,906","18,144","19,568","18,028","18,543"
"255","[P]","    CT10000.COM","9,065","9,390","9,161","9,872","8,824","11,358","10,399","10,131","11,869","12,813","9,524","14,563","15,694","16,220","18,496"
"256","[P]","    Recruit Co., Ltd.","18,167","17,736","16,249","17,037","17,876","18,676","16,681","17,314","17,266","18,847","19,772","21,286","19,430","21,879","18,368"
"257","[P]","    BTJUNKIE.ORG","15,615","15,586","15,899","15,832","14,511","15,312","14,873","15,853","16,407","17,842","18,052","19,212","20,139","18,058","18,357"
"258","[P]","    NextRadio TV","15,341","15,817","14,699","15,709","13,375","14,204","13,251","14,168","14,556","14,382","15,996","16,075","17,168","18,315","18,347"
"259","[P]","    eMule (App)","27,190","26,675","24,761","24,131","20,278","20,708","19,726","19,593","19,013","18,475","18,095","17,745","17,973","17,295","18,059"
"260","[P](U)","    Skyrock","18,006","18,274","17,609","16,803","15,841","16,552","15,674","15,047","15,095","14,664","14,712","14,972","15,688","16,143","17,964"
"261","[P](u)","    TOM.COM Limited","16,756","15,335","14,583","14,512","14,883","16,094","14,089","14,680","15,561","15,199","16,857","17,042","17,257","17,026","17,937"
"262","[P]","    NK.PL","16,913","17,000","17,502","17,354","16,498","16,674","17,340","18,192","18,135","18,168","18,546","18,599","19,120","18,778","17,929"
"263","[P]","    QIANQIAN.COM","12,862","12,303","12,655","12,759","11,954","14,435","13,481","13,238","12,928","14,236","13,419","14,700","16,653","15,685","17,780"
"264","[P](u)","    Clear Channel Online","13,556","14,175","13,569","13,011","12,649","13,602","14,300","14,565","14,213","15,599","15,920","17,011","16,135","15,991","17,753"
"265","[P]","    SouFun.com Limited","14,808","14,007","12,971","12,706","13,632","15,908","13,467","14,668","13,846","16,139","14,575","18,574","18,349","19,343","17,708"
"266","[P]","    SOFTBANK Group","15,806","15,413","15,252","15,943","14,439","15,388","14,381","16,089","15,222","15,148","16,127","17,324","19,262","19,185","17,689"
"267","[P]","    MUSICA.COM","15,665","15,891","15,200","15,347","14,456","15,684","15,105","16,894","16,999","17,432","18,367","18,198","18,522","18,393","17,532"
"268","[P]","    China Construction Bank","9,219","9,433","7,999","9,370","7,486","9,921","9,153","9,946","10,536","9,648","10,514","13,032","14,046","14,597","17,410"
"269","[P](u)","    Encyclopaedia Britannica","18,817","18,472","17,498","18,650","15,603","18,127","16,765","17,298","15,640","13,696","14,344","18,622","20,490","19,269","17,262"
"270","[P](U)","    MANTA.COM","17,986","18,814","19,027","23,346","22,163","21,195","19,002","18,611","18,962","18,952","20,864","19,519","19,078","18,203","17,238"
"271","[P]","    SWEETIM.COM","9,602","9,436","9,451","10,724","11,197","11,099","12,510","13,924","11,231","13,850","19,461","17,219","22,134","17,119","17,225"
"272","[P]","    WIND Telecomunicazioni","12,294","17,703","17,050","17,573","16,297","16,950","16,717","17,056","16,932","15,945","15,721","18,085","18,387","19,094","17,113"
"273","[P]","    Travian Games","7,615","7,114","7,148","6,753","11,500","10,148","13,924","11,387","11,904","10,846","7,049","7,992","8,687","7,676","17,089"
"274","[P]","    General Motors","15,676","16,153","17,113","13,499","13,841","14,366","12,800","13,205","14,924","14,459","14,021","14,756","17,349","16,901","17,062"
"275","[P]","    Hispavista Sites","17,784","17,733","15,568","16,562","15,901","17,823","16,788","17,713","16,726","16,284","15,568","15,488","15,930","15,251","16,846"
"276","[P]","    KOOWO.COM","1,248","1,769","3,120","2,101","1,165","1,389","1,271","1,561","1,402","1,347","3,276","10,532","19,140","17,076","16,824"
"277","[P]","    Vocento","17,939","17,476","17,506","17,848","16,787","18,107","16,492","17,789","17,075","16,777","17,384","17,868","19,349","18,723","16,760"
"278","[P]","    Telecom Italia","17,350","17,621","17,138","17,944","17,313","18,049","16,154","16,974","15,450","13,702","13,873","14,755","16,133","15,828","16,459"
"279","[P]","    Kingsoft Corp","17,759","19,574","15,315","11,424","10,187","21,889","10,912","14,653","18,774","18,049","19,298","14,710","20,633","20,313","16,341"
"280","[P]","    Bigpoint","12,654","13,212","13,058","13,182","12,012","11,922","11,777","11,036","11,649","13,771","15,108","14,251","14,669","14,494","16,325"
"281","[P]","    Xacti Corporation","7,706","8,017","8,650","9,660","11,196","13,748","15,033","16,296","16,083","17,704","19,918","20,901","18,718","15,641","16,314"
"282","[P]","    WIKIHOW.COM","18,013","17,863","19,250","17,634","13,942","14,066","14,800","17,680","15,846","14,077","14,934","15,336","17,025","15,437","16,236"
"283","[P]","    VeryCD","12,669","11,718","11,895","13,050","9,844","11,774","10,183","11,103","12,779","13,004","13,738","13,272","14,598","15,233","16,113"
"284","[P]","    Kohls Corporation","8,599","13,747","14,175","8,667","7,107","8,096","7,883","7,566","7,720","8,282","9,627","9,824","10,201","16,628","15,999"
"285","[P]","    Capital One","12,110","12,182","13,580","13,117","12,416","12,662","12,532","13,211","14,701","15,241","15,102","15,493","16,699","16,401","15,882"
"286","[P]","    LG Group","13,668","13,614","13,579","12,560","10,714","10,901","11,455","13,591","12,946","12,255","12,220","13,972","15,186","14,355","15,849"
"287","[P]","    CDC Corporation Sites","11,339","10,223","9,893","10,048","8,138","12,238","10,279","11,253","12,828","14,576","13,820","14,647","14,237","14,915","15,812"
"288","[P]","    Canon Inc.","9,819","10,834","11,756","8,518","7,237","8,094","7,473","7,670","8,831","8,165","9,471","10,464","11,719","12,386","15,752"
"289","[P]","    Reed Business Information","24,653","23,438","21,682","25,902","23,986","25,440","21,812","23,320","21,762","19,596","18,802","17,637","18,029","18,138","15,710"
"290","[P](u)","    Sky Sites","14,275","14,341","13,795","14,932","12,863","12,793","14,485","15,717","14,347","16,061","18,427","17,039","16,443","16,196","15,636"
"291","[P]","    Chosun Ilbo","10,927","9,836","10,161","11,564","9,596","10,667","11,205","11,694","11,090","11,981","13,443","13,570","15,488","14,117","15,616"
"292","[P]","    Groupe Casino","11,255","13,627","15,126","14,889","11,065","11,153","10,775","12,092","12,265","11,428","12,409","11,440","12,476","13,798","15,462"
"293","[P]","    Limitedbrands","8,876","12,072","13,936","10,884","8,772","8,550","7,955","8,712","9,525","8,654","8,498","8,688","9,176","13,476","15,200"
"294","[P](u)","    Barnes & Noble","8,737","9,820","11,803","10,676","7,544","7,634","6,578","7,196","7,622","9,216","10,757","9,013","8,712","11,461","15,183"
"295","[P](u)","    Grupo Clarin","11,719","11,567","8,259","8,424","8,535","10,520","8,873","9,425","12,931","13,654","13,849","14,381","16,254","15,869","15,057"
"296","[P]","    Corel Corporation","11,624","12,539","12,441","12,411","11,240","12,381","11,336","12,701","11,873","11,884","12,607","12,858","13,992","15,871","14,993"
"297","[P]","    Sprint Nextel Corporation","12,756","13,637","15,416","12,325","11,510","12,762","11,027","12,395","14,410","13,428","12,199","11,186","14,222","13,052","14,847"
"298","[P]","    DUOWAN.COM","9,057","7,125","7,867","9,976","9,390","8,980","8,940","9,680","10,848","13,346","12,248","11,454","14,500","13,878","14,820"
"299","[P]","    Ford Motor Company","13,508","13,834","14,061","11,921","12,557","15,242","13,543","14,190","13,283","13,597","12,976","15,899","15,494","16,094","14,809"
"300","[P]","    SkyCN","10,709","10,227","9,701","9,406","8,317","10,715","9,112","9,456","11,189","12,929","11,508","12,941","14,566","13,171","14,792"
"301","[P]","    Nintendo Co.","9,300","10,414","12,090","10,307","8,078","9,392","8,142","7,797","9,644","10,205","9,929","9,290","11,030","14,045","14,792"
"302","[P](U)","    Mattel Sites","11,741","13,746","14,054","10,503","8,909","9,924","9,643","9,003","9,018","10,322","11,049","11,153","12,579","14,680","14,768"
"303","[P](u)","    McClatchy Corporation","15,867","15,201","14,843","15,523","13,821","15,523","14,370","16,186","15,699","15,096","16,702","15,849","14,513","14,674","14,726"
"304","[P]","    FedEx","10,724","10,536","13,810","11,019","10,438","10,510","9,064","10,351","10,436","10,851","16,281","21,133","16,277","12,234","14,722"
"305","[P]","    LVMH Sites","10,119","11,269","12,530","10,288","9,082","9,468","8,716","9,940","9,797","10,102","9,678","10,720","11,834","12,303","14,719"
"306","[P]","    Groupe Figaro","11,070","11,658","11,928","11,797","11,321","11,683","11,976","13,585","12,650","12,828","13,118","13,863","15,276","14,869","14,668"
"307","[P]","    URBANDICTIONARY.COM","11,226","11,407","11,912","11,735","9,030","9,211","9,445","10,648","11,439","11,742","12,734","12,676","14,089","14,566","14,666"
"308","[P]","    Yum! Brands Inc.","10,042","8,370","10,537","11,970","10,781","9,726","9,012","9,489","9,547","12,185","10,789","10,910","11,193","10,199","14,628"
"309","[P]","    Globe7","16,935","14,386","13,375","12,523","11,995","12,430","12,202","13,321","12,871","14,210","14,281","15,961","16,975","15,360","14,562"
"310","[P]","    Grupo Abril","12,762","13,226","12,098","13,270","12,472","13,950","12,865","13,317","13,494","13,046","14,679","15,322","16,416","15,807","14,525"
"311","[P]","    ING Group","12,959","13,435","12,536","13,861","12,577","12,792","12,089","13,749","13,618","13,971","13,886","13,893","15,397","15,680","14,452"
"312","[P]","    BITCOMET.COM","9,169","9,199","9,656","10,030","9,751","9,436","9,087","10,299","10,869","12,010","12,532","13,525","14,806","14,201","14,445"
"313","[P](u)","    Orbitz Worldwide","15,390","16,028","12,708","17,016","15,605","16,548","14,756","15,174","16,221","18,689","17,005","15,624","15,680","15,455","14,389"
"314","[P]","    American Express","13,042","12,985","13,463","13,414","12,064","11,623","10,577","11,273","14,254","12,502","12,764","14,096","15,206","15,236","14,380"
"315","[P]","    Fotovista Group","14,304","16,528","18,304","13,639","10,273","9,520","7,277","8,260","8,608","8,921","8,672","8,386","9,595","11,698","14,345"
"316","[P]","    MIXI, Inc.","13,832","13,180","13,823","16,558","15,167","18,715","18,263","12,856","12,518","13,251","13,866","14,045","14,600","14,080","14,330"
"317","[P]","    WORDREFERENCE.COM","14,796","15,017","12,130","13,525","12,349","14,274","12,447","14,625","13,376","11,473","13,716","16,344","17,806","17,349","14,229"
"318","[P]","    Telegraph Media Group","11,483","10,979","9,672","9,772","10,619","11,860","12,053","13,669","11,557","12,222","13,187","12,319","14,894","14,275","14,220"
"319","[P](u)","    MediaNews Group","12,666","15,062","13,214","13,874","13,262","15,774","13,892","13,357","12,770","12,496","13,312","13,749","14,623","12,764","14,153"
"320","[P]","    Seat Pagine Gialle","11,595","11,536","10,471","11,914","11,360","12,258","10,737","12,020","11,884","12,352","12,418","13,232","14,207","13,543","14,139"
"321","[P](u)","    UGO Entertainment","40,520","39,956","41,805","42,999","38,700","38,712","36,999","37,551","32,209","24,499","14,773","12,626","13,866","13,117","14,096"
"322","[P](u)","    National Geographic Sites","12,675","13,477","12,770","15,043","13,513","16,476","13,589","14,925","12,820","10,498","11,558","13,464","14,815","14,650","13,976"
"323","[P](u)","    Canoe Network","13,180","13,528","12,937","13,733","12,357","13,362","11,859","13,850","13,655","14,125","13,562","13,460","13,674","13,680","13,879"
"324","[P]","    Gameforge Sites","20,332","15,697","16,255","18,182","13,316","13,972","13,334","13,902","13,622","15,207","18,837","19,846","16,758","13,205","13,801"
"325","[P](u)","    Michelin Group","11,571","11,241","9,752","13,816","13,599","14,964","15,478","16,407","17,501","18,422","16,951","16,272","16,055","14,946","13,714"
"326","[P]","    Toyota","11,617","12,675","12,246","12,836","12,202","13,846","10,313","10,241","10,196","12,263","12,207","15,899","17,050","14,807","13,694"
"327","[P]","    7K7K.COM","11,450","10,732","10,979","14,808","16,135","11,756","13,023","13,222","14,447","19,337","17,138","13,562","16,634","13,486","13,667"
"328","[P]","    KT Group","8,998","9,900","11,372","10,580","6,995","6,694","6,739","8,862","8,983","9,124","8,966","8,347","9,097","10,825","13,645"
"329","[P]","    Deutsche Post AG Sites","9,290","10,046","10,835","9,827","8,595","9,178","9,182","10,719","11,048","10,123","10,389","10,985","11,753","12,778","13,642"
"330","[P]","    Carrefour Group","11,041","10,853","11,374","10,363","8,796","10,146","9,586","10,813","10,487","11,189","11,138","12,290","11,959","11,701","13,630"
"331","[P](u)","    Trinity Mirror Group","13,017","13,859","11,827","13,648","11,853","12,897","13,538","14,943","13,555","14,041","13,768","12,205","13,276","13,723","13,623"
"332","[P]","    VistaPrint Sites","11,709","13,319","12,550","11,893","10,748","9,592","8,508","9,116","9,242","9,155","9,531","10,325","11,319","13,109","13,519"
"333","[P]","    The Home Depot, Inc.","11,154","12,764","11,608","9,904","9,516","10,019","10,437","11,920","11,855","11,679","12,032","13,247","13,673","15,258","13,427"
"334","[P]","    Oracle Corporation","10,354","10,058","8,270","10,737","10,664","11,624","10,027","12,481","12,351","10,471","11,429","13,909","15,908","15,129","13,400"
"335","[P](u)","    DMGT (exc Mail Online)","12,078","12,815","10,637","12,982","11,658","13,005","12,317","14,256","14,847","13,771","13,640","13,627","13,464","13,764","13,336"
"336","[P](U)","    COOKS.COM","10,970","13,190","14,998","11,673","9,883","10,260","10,394","10,194","9,646","10,234","10,192","9,727","10,126","11,905","13,279"
"337","[P]","    Seiko Epson Corp","10,386","11,280","11,742","11,032","10,770","11,395","9,786","10,753","10,646","10,465","10,502","12,510","13,214","13,345","13,199"
"338","[P]","    Nike","11,238","11,546","11,628","10,256","9,846","11,901","11,858","11,883","11,987","11,766","13,263","10,775","11,557","12,623","13,108"
"339","[P]","    Home Retail Group","10,122","11,719","13,142","10,546","7,954","8,138","8,668","8,292","8,493","8,986","9,339","9,174","10,264","11,801","13,037"
