"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: August 2012 - October 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/22/2013","","","","","",""

"","","","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013"
"168","[P]","    PriceGrabber","10,640","9,452","10,755","10,597","9,405","15,119","13,570","14,761","15,640","13,497","13,352","13,798","14,236","18,024","24,538"
"169","[P](u)","    Groupe TF1","26,172","25,555","25,881","25,562","25,091","26,836","25,093","27,380","25,453","24,210","24,048","23,807","23,241","23,748","24,293"
"170","[P](u)","    Encyclopaedia Britannica","14,706","17,690","20,648","19,831","18,527","22,007","22,394","23,714","23,254","22,339","18,437","17,614","17,564","20,878","23,976"
"171","[P]","    Bank of America","26,668","26,714","27,284","26,488","27,261","27,078","25,680","25,670","26,028","25,601","24,179","23,381","22,552","23,574","23,701"
"172","[P](u)","    WorldNow Sites","24,258","21,011","25,355","21,589","22,099","23,975","23,577","22,633","22,463","23,391","20,142","21,168","22,156","21,558","23,629"
"173","[P]","    General Motors","17,429","21,520","21,218","21,151","16,412","17,150","18,581","24,634","23,923","21,261","23,831","24,116","22,359","24,152","23,620"
"174","[P](u)","    Cox Enterprises Inc.","24,549","21,924","22,732","22,246","22,151","24,513","24,262","24,741","25,013","24,062","23,159","24,751","23,959","22,334","23,174"
"175","[P]","    METRO Group","14,669","16,035","18,114","20,484","26,058","21,257","17,345","18,148","17,003","18,607","18,864","18,622","19,405","21,730","23,055"
"176","[P]","    Solocal Group","30,351","30,813","31,037","29,387","28,766","30,217","26,083","27,636","26,963","26,839","25,367","25,094","22,775","22,422","23,047"
"177","[P](U)","    PANDORA.COM","20,966","22,233","23,325","23,879","25,476","22,466","22,591","23,883","23,605","23,566","21,232","21,352","22,227","23,113","22,966"
"178","[P]","    Xacti Corporation","20,319","22,482","22,991","24,539","18,988","24,619","22,687","26,780","24,940","23,001","22,551","23,186","17,689","20,591","22,960"
"179","[P](u)","    CafeMom Network","24,897","22,713","24,762","22,493","23,783","23,956","22,072","21,711","21,312","24,482","20,888","24,582","23,918","22,313","22,793"
"180","[P](U)","    BabyCenter","19,712","19,302","20,689","19,863","18,288","20,884","19,234","21,269","21,507","22,050","21,254","22,565","22,755","21,334","22,746"
"181","[P]","    Chinabyte Technology Co.","12,093","17,135","12,404","15,391","16,919","13,925","9,763","13,801","20,221","24,231","21,477","23,261","25,405","23,607","22,632"
"182","[P](U)","    WhitePages","23,231","20,094","22,560","21,185","23,419","24,137","21,777","23,886","22,175","21,809","19,961","20,649","23,204","21,402","22,594"
"183","[P]","    Volkswagen Group","18,862","21,281","21,069","24,112","24,051","21,558","19,586","23,586","24,405","25,098","24,227","22,168","19,723","23,493","22,436"
"184","[P]","    Kakaku.com Inc.","24,311","24,037","23,895","23,899","24,678","24,874","22,739","24,687","23,086","23,923","23,531","23,729","24,030","23,386","22,184"
"185","[P]","    Verizon Communications Corporation","24,782","25,649","25,198","24,970","25,531","23,346","21,076","23,316","23,308","22,587","22,446","23,705","23,148","24,609","22,072"
"186","[P]","    Citigroup","22,043","20,341","20,272","19,730","20,871","20,422","19,327","19,890","20,429","20,036","20,006","19,439","19,395","21,932","22,007"
"187","[P](U)","    Buscape Company","20,979","19,864","21,152","21,192","19,477","20,306","20,656","22,520","22,735","22,013","21,696","22,443","22,558","20,473","21,905"
"188","[P]","    Seesaa","31,200","30,798","27,432","26,861","26,774","26,341","23,456","24,989","24,584","25,320","25,140","25,334","23,290","23,093","21,894"
"189","[P]","    Opera Software","29,337","29,607","29,444","30,165","28,963","28,020","26,924","27,749","25,797","23,711","22,476","22,500","21,242","21,101","21,657"
"190","[P](u)","    Lycos Global Search And Media","36,380","33,889","34,196","31,062","28,941","29,543","27,799","31,912","29,237","29,615","25,147","25,018","24,020","20,931","21,542"
"191","[P](U)","    LeGuide.com Sites","28,074","27,742","30,168","32,196","31,739","31,724","26,799","28,490","26,206","24,398","21,427","20,590","19,824","20,468","21,467"
"192","[P]","    Sears Sites","22,857","22,512","24,170","33,373","32,498","23,810","22,118","23,857","22,236","22,713","21,530","22,080","21,844","21,644","21,457"
"193","[P](u)","    Reuters Sites","26,439","26,126","28,860","25,465","23,971","24,422","25,696","27,733","28,060","24,025","23,957","24,073","20,834","22,429","21,407"
"194","[P](U)","    Vocento","20,143","21,006","23,573","22,445","21,311","22,361","20,894","21,179","22,624","22,216","20,214","19,372","18,687","19,160","21,322"
"195","[P]","    ProSiebenSat1 Sites","26,789","25,485","25,145","24,342","25,639","25,192","24,400","27,221","27,027","28,052","25,760","23,400","23,558","21,643","21,205"
"196","[P]","    Lojas Americanas","9,788","9,820","10,461","11,683","11,515","10,791","15,705","17,668","17,474","18,041","18,090","19,345","19,239","20,697","21,190"
"197","[P]","    Nokia","26,415","30,351","23,048","22,762","25,631","22,651","21,510","21,426","19,477","22,711","20,356","21,321","19,706","22,066","21,150"
"198","[P]","    Dell","22,612","23,292","22,625","24,763","22,916","22,839","19,515","23,939","23,511","20,863","22,443","24,115","20,583","19,901","21,121"
"199","[P]","    Trovit Sites","12,451","13,696","13,424","12,685","10,775","14,782","13,662","13,579","12,040","17,441","17,111","19,093","19,428","20,585","21,079"
"200","[P]","    JPMorgan Chase Property","22,749","22,586","23,198","22,858","23,848","23,801","22,152","22,968","22,540","21,774","21,630","20,053","18,701","21,185","20,953"
"201","[P](u)","    ValueClick Sites","25,515","25,054","28,598","25,795","24,851","27,600","25,950","27,694","25,333","26,937","21,037","22,932","21,492","18,437","20,949"
"202","[P](u)","    Clear Channel Online","18,840","19,175","20,537","20,785","18,875","19,140","19,474","19,313","21,841","19,697","20,922","23,174","24,247","24,042","20,879"
"203","[P]","    Vivendi","17,824","19,278","19,923","19,270","19,486","19,773","18,160","18,645","17,897","18,446","17,075","17,183","16,794","19,222","20,663"
"204","[P]","    Corel Corporation","13,754","14,146","14,398","14,754","14,602","14,246","13,292","15,199","16,231","16,938","16,333","16,595","17,581","19,474","20,590"
"205","[P]","    TIEXUE.NET","11,900","13,825","11,230","11,589","12,321","12,295","10,332","12,854","24,275","23,813","21,215","20,130","20,160","17,781","20,203"
"206","[P](u)","    Pearson Education","16,791","23,075","24,098","22,894","19,349","21,325","20,858","20,890","20,752","19,887","11,814","10,321","13,618","19,668","19,905"
"207","[P]","    IncrediMail Ltd","40,400","44,805","46,148","46,303","46,679","46,128","38,818","34,374","31,165","21,594","19,722","17,167","14,801","24,274","19,581"
"208","[P]","    Nifty Corporation","29,158","28,504","26,980","26,547","25,782","25,920","22,890","23,948","22,374","22,668","21,944","21,918","21,490","20,263","19,532"
"209","[P]","    21CN Corporation Limited","17,225","18,388","17,188","17,826","19,758","18,769","12,799","15,515","24,634","28,879","23,715","21,964","22,050","18,020","19,450"
"210","[P](u)","    Trinity Mirror Group","14,228","13,523","13,961","13,395","14,294","16,892","13,865","13,734","16,463","16,526","17,447","17,290","18,941","17,252","19,250"
"211","[P](U)","    Grupo Clarin","17,344","16,792","17,618","16,875","16,426","16,130","16,333","17,018","17,032","16,879","16,337","17,971","19,705","18,534","19,228"
"212","[P]","    7K7K.COM","23,622","17,685","19,606","18,998","19,078","20,887","22,700","17,502","23,329","22,256","24,134","30,821","30,514","20,699","19,097"
"213","[P]","    Wells Fargo","19,694","20,424","20,707","19,652","25,307","20,308","19,999","20,400","20,443","20,308","19,818","18,360","18,077","18,919","19,005"
"214","[P](U)","    Advance Digital","19,940","17,406","22,340","22,291","19,186","19,045","16,254","17,844","17,802","18,401","16,014","17,640","17,401","18,655","18,933"
"215","[P](u)","    Yellowbook Network","30,784","29,421","27,612","24,062","26,715","28,914","25,720","26,721","24,004","27,783","23,745","26,508","19,874","18,161","18,825"
"216","[P]","    Seat Pagine Gialle","13,372","14,894","15,881","14,511","12,983","14,502","13,107","14,233","14,546","14,287","13,579","17,294","15,690","16,954","18,652"
"217","[P]","    United Online, Inc","24,926","29,545","27,162","20,395","21,325","23,919","15,957","17,084","18,615","18,377","15,964","15,312","18,162","18,459","18,486"
"218","[P]","    Toyota Group","16,059","15,437","16,479","15,031","13,806","16,657","15,013","17,546","16,404","15,678","16,336","17,691","16,111","17,942","18,478"
"219","[P](u)","    Shopzilla/Aisle A Sites","27,524","27,468","29,687","32,387","35,419","29,063","24,155","25,452","22,419","20,687","18,190","19,044","17,740","16,671","18,448"
"220","[P]","    KAIXIN001.COM","18,116","16,282","15,291","14,641","14,033","13,710","11,130","13,269","21,781","22,493","17,635","19,207","18,400","16,807","18,214"
"221","[P]","    LVMH Sites","10,285","11,635","13,821","15,418","18,485","14,960","13,049","14,940","16,020","17,083","17,767","19,101","16,525","19,426","18,123"
"222","[P](U)","    AccuWeather Sites","16,413","14,784","19,278","14,311","16,840","18,178","17,445","18,403","17,919","20,339","23,378","23,822","25,795","18,879","17,951"
"223","[P]","    UPS Sites","20,132","19,353","19,793","21,175","27,201","21,334","17,719","19,139","18,565","18,575","17,043","17,940","18,055","17,186","17,931"
"224","[P](u)","    Source Interlink Companies","10,896","10,434","12,951","12,783","12,246","13,739","10,266","11,129","11,092","11,011","11,805","13,531","16,377","16,103","17,585"
"225","[P]","    Take 2 Interactive","7,184","5,814","6,516","7,557","6,802","7,057","5,954","6,928","7,322","7,721","7,181","9,393","10,062","15,004","17,522"
"226","[P](u)","    Grupo Intercom","48,629","49,061","21,832","21,265","17,363","21,037","18,865","20,192","20,049","19,236","16,455","16,419","15,842","17,092","17,292"
"227","[P]","    Indian Railways","12,169","12,236","13,772","14,066","14,526","14,277","13,143","14,088","14,723","16,412","15,052","13,972","14,701","16,344","17,203"
"228","[P]","    ZHAOPIN.COM","8,078","7,299","7,589","7,937","7,194","6,534","7,637","14,060","18,900","20,065","16,293","18,335","15,366","15,136","17,158"
"229","[P](U)","    Hulu","19,981","19,769","22,365","21,324","21,147","21,611","19,399","19,935","19,389","19,004","17,348","17,114","16,501","15,973","17,074"
"230","[P]","    ING Group","15,886","15,986","16,875","16,429","15,099","16,899","13,870","14,986","14,313","14,664","14,439","14,810","13,721","15,616","17,060"
"231","[P]","    SOFTBANK Group","19,148","20,554","18,680","18,747","18,656","19,148","17,303","18,679","17,109","17,642","17,151","17,913","17,285","17,758","17,031"
"232","[P](u)","    National Geographic Sites","13,793","14,630","17,054","16,158","14,797","16,558","15,659","15,571","15,880","16,005","13,754","12,961","13,532","14,735","16,882"
"233","[P]","    Hatena","24,923","24,393","23,787","23,426","22,987","23,202","20,372","21,126","19,424","19,013","18,477","18,761","17,940","17,659","16,711"
"234","[P](U)","    Sky Sites","16,132","14,357","16,245","16,131","15,907","17,523","15,278","17,512","18,379","19,009","16,873","16,736","18,540","17,541","16,645"
"235","[P]","    BitComet (App)","20,566","20,783","19,083","18,977","19,196","19,185","18,148","18,124","17,991","18,072","17,383","17,331","16,936","16,726","16,603"
"236","[P]","    L'Oreal Sites","11,448","12,087","13,341","12,351","13,826","12,255","11,758","16,836","19,092","15,742","16,323","16,437","13,769","13,395","16,348"
"237","[P]","    Seiko Epson Corp","12,685","13,759","14,160","14,660","15,676","14,931","13,608","15,367","15,531","16,135","15,699","14,686","14,963","16,889","16,312"
"238","[P]","    Gruppo Fiat","13,627","13,484","11,968","12,273","11,995","10,772","12,792","14,821","15,738","17,386","15,278","16,718","17,123","16,593","16,197"
"239","[P]","    Grupo Santander","11,422","11,527","11,690","11,352","11,806","12,308","12,797","14,039","13,898","14,114","14,111","14,109","14,829","15,579","16,147"
"240","[P](u)","    Batanga Sites","10,572","10,858","12,894","12,583","13,008","10,958","8,970","10,015","9,922","10,803","13,907","13,266","13,599","13,491","16,071"
"241","[P]","    Ford Motor Company","11,955","11,794","12,578","12,386","13,822","13,109","13,867","18,017","15,458","16,408","15,694","15,602","16,632","16,733","16,047"
"242","[P]","    WildTangent Media","23,819","19,745","19,978","19,027","20,148","19,096","16,634","17,929","18,408","18,087","18,247","19,232","18,495","16,400","15,993"
"243","[P]","    The Home Depot, Inc.","17,338","16,861","17,490","18,609","17,257","17,379","15,615","18,482","20,571","21,391","20,345","21,793","19,285","17,138","15,990"
"244","[P]","    NEC Corporation","23,213","22,176","22,073","20,622","21,500","22,137","19,308","20,513","19,007","19,565","19,260","19,519","18,944","16,966","15,978"
"245","[P](u)","    RCS Media Group","25,266","26,966","29,353","28,994","9,102","8,689","8,593","9,120","15,122","16,552","13,364","13,335","11,846","14,405","15,940"
"246","[P]","    Capital One","15,696","15,776","15,175","15,259","15,985","15,032","14,502","15,784","15,494","16,069","15,370","16,203","15,955","16,236","15,912"
"247","[P](u)","    MeetIC - Match","4,647","4,804","5,186","4,901","4,306","5,633","5,482","5,486","5,185","5,380","5,097","6,988","16,558","15,845","15,780"
"248","[P]","    American Express","17,026","17,987","17,212","19,217","20,611","18,655","16,761","17,993","17,077","17,550","18,816","17,911","17,621","17,984","15,778"
"249","[P]","    Groupe M6","15,365","15,299","16,722","17,343","19,103","19,422","17,131","18,243","15,902","15,900","14,763","16,279","15,547","15,772","15,765"
"250","[P](u)","    Michelin Group","24,213","21,678","16,823","15,830","14,194","16,309","15,079","15,034","16,056","16,931","16,876","18,490","18,568","15,781","15,746"
"251","[P]","    Macy's Inc.","14,990","15,331","15,268","21,890","21,939","15,112","14,312","15,654","14,927","14,585","14,136","14,014","16,042","14,707","15,716"
"252","[P]","    Recruit Co., Ltd.","18,287","18,051","16,299","60,658","55,625","74,523","69,197","72,780","17,325","16,937","16,499","17,327","17,765","17,380","15,643"
"253","[P]","    NextRadio TV","14,148","14,352","15,125","15,536","15,589","15,497","13,787","16,610","15,351","15,891","14,390","14,763","13,714","14,631","15,613"
"254","[P]","    URBANDICTIONARY.COM","13,917","14,118","14,129","14,034","13,979","15,056","14,227","16,382","15,735","15,660","14,774","15,595","14,701","14,221","15,433"
"255","[P]","    CRI Online Sites","9,357","9,618","8,372","7,570","7,761","7,592","6,195","10,501","20,292","24,247","22,388","27,243","15,865","13,588","15,367"
"256","[P]","    Excite Japan Sites","21,040","22,026","19,431","18,955","19,044","19,292","16,590","17,524","16,515","17,485","16,715","17,266","16,594","16,308","15,367"
"257","[P](u)","    Rediff.com India Ltd","17,202","16,751","17,959","16,962","19,820","19,740","17,101","16,666","17,211","17,695","17,090","17,906","18,005","16,252","15,312"
"258","[P]","    SCRIBD.COM","15,269","17,801","21,414","19,332","12,972","14,930","16,539","18,830","30,161","31,593","27,099","22,916","25,055","28,092","15,262"
"259","[P]","    Nissan","9,951","14,052","11,174","13,068","11,043","12,200","11,353","12,871","14,504","17,013","12,605","15,491","13,078","19,185","15,257"
"260","[P](U)","    CityGrid Media","22,133","19,264","21,458","19,000","17,309","19,888","18,103","20,282","18,312","16,804","15,863","16,571","16,787","15,026","15,238"
"261","[P]","    Samurai Factory Inc.","22,755","22,633","20,826","19,530","19,162","19,319","17,314","18,319","16,837","17,938","16,394","16,631","16,789","15,864","15,015"
"262","[P](U)","    PBS","9,152","11,309","14,570","13,362","11,965","17,351","16,551","14,965","15,458","14,896","10,910","10,438","9,784","13,021","14,881"
"263","[P]","    MUSICA.COM","14,844","15,037","15,336","15,130","14,838","14,189","13,568","15,262","15,406","15,761","14,607","15,054","15,283","14,526","14,850"
"264","[P]","    51JOB.COM","8,438","9,093","9,142","9,997","10,289","9,959","10,512","15,708","18,338","20,712","19,070","19,311","17,315","15,540","14,815"
"265","[P]","    Canon Inc.","12,190","13,132","13,412","15,385","17,498","11,742","9,070","10,515","15,307","14,277","13,690","12,510","11,706","17,339","14,752"
"266","[P]","    Reed Elsevier Group","13,560","12,563","14,908","14,324","12,830","13,830","13,530","15,038","15,009","13,648","11,637","11,642","11,401","13,140","14,717"
"267","[P]","    Groupe Figaro","14,769","14,205","15,302","14,240","14,880","15,315","14,081","15,201","14,725","15,376","14,725","14,686","13,415","14,458","14,699"
"268","[P]","    HSBC","16,689","16,781","16,835","16,226","16,562","16,293","15,934","16,675","16,924","16,565","17,267","16,955","15,370","14,865","14,504"
"269","[P]","    TGBUS.COM","10,842","10,520","12,386","11,862","12,228","12,804","11,357","11,280","14,593","14,935","17,110","17,741","17,711","15,432","14,452"
"270","[P]","    LG Group","12,239","12,465","12,306","13,659","13,972","12,491","8,603","10,609","9,734","11,284","10,225","10,167","11,437","13,206","14,404"
"271","[P](U)","    Metacafe","19,820","18,214","19,075","18,383","18,450","17,600","14,638","15,565","14,806","14,750","15,182","15,080","15,807","15,066","14,404"
"272","[P](U)","    McClatchy Corporation","15,991","15,622","16,681","16,012","13,288","14,513","12,834","13,878","14,327","14,177","13,137","14,303","14,523","13,741","14,397"
"273","[P]","    Nintendo Co.","11,326","9,588","9,981","13,075","13,152","10,224","8,498","11,258","9,367","8,835","11,315","10,308","10,720","10,635","14,292"
"274","[P]","    Viva street Classifieds","13,301","13,202","13,996","13,367","10,826","13,288","14,589","14,049","13,112","13,573","14,142","15,306","14,531","13,669","14,233"
"275","[P]","    FILESTUBE.COM","46,514","39,741","39,408","43,155","36,570","30,201","16,068","21,385","22,575","21,425","19,109","15,596","15,297","15,013","14,232"
"276","[P](U)","    Hi-Media Group","17,234","15,063","16,108","16,676","16,579","16,438","14,637","16,431","15,303","14,625","13,768","13,667","13,820","14,246","14,212"
"277","[P]","    DEEZER.COM","8,240","8,165","8,592","8,927","9,675","8,604","9,270","10,296","10,465","11,109","11,323","12,183","14,626","14,072","14,183"
"278","[P]","    Travelocity","18,223","15,446","15,464","11,990","11,888","16,966","15,191","16,097","15,523","16,258","16,074","18,023","18,343","14,780","14,181"
"279","[P]","    Nestle","9,861","9,842","10,111","11,172","12,305","9,877","8,915","10,913","10,221","11,034","10,468","10,286","10,111","11,892","14,090"
"280","[P](u)","    Canoe Network","15,725","15,341","16,255","15,549","15,000","15,517","14,289","15,625","15,661","14,605","13,716","14,071","13,961","13,576","14,081"
"281","[P]","    Softissimo","8,687","10,935","12,082","12,216","11,476","11,976","11,483","12,591","11,902","11,895","10,514","10,247","9,845","11,932","13,986"
"282","[P]","    XICI.NET","8,662","9,271","8,644","8,338","8,460","8,566","6,182","8,148","13,421","14,356","13,762","15,441","15,213","14,175","13,931"
"283","[P](u)","    Sanoma Group","11,115","11,236","11,385","14,575","14,003","14,372","13,523","14,062","13,876","14,034","13,761","14,603","14,158","13,340","13,925"
"284","[P]","    Carrefour Group","12,098","13,271","13,462","13,409","13,570","10,264","9,077","10,207","10,174","11,173","10,171","11,583","11,369","12,967","13,903"
"285","[P](u)","    Weblogs SL Sites","14,817","15,275","16,367","15,725","13,879","14,314","12,745","13,865","13,604","13,797","12,813","11,829","11,835","12,583","13,746"
"286","[P](U)","    HealthGrades","12,849","11,940","13,489","12,632","11,946","14,653","13,269","14,204","14,592","13,810","12,932","13,980","13,578","12,013","13,601"
"287","[P]","    NIC.IN","11,820","10,892","10,717","11,098","11,928","12,097","12,253","13,762","13,803","18,127","17,020","17,290","15,545","13,789","13,586"
"288","[P]","    HC International Inc.","10,348","8,982","9,167","9,670","9,386","8,916","6,402","10,219","17,096","18,166","13,794","15,139","14,364","14,607","13,509"
"289","[P]","    FedEx","13,926","13,323","13,572","14,517","18,316","14,567","13,320","14,499","14,039","14,115","11,605","12,474","13,956","13,349","13,425"
"290","[P](U)","    Nextag.com Sites","23,642","22,418","23,164","24,608","23,807","22,413","16,616","16,839","14,834","13,609","12,046","11,965","12,144","11,842","13,409"
"291","[P]","    Intuit","13,068","13,747","15,204","13,274","13,827","25,651","31,220","25,299","24,347","13,545","12,102","14,151","12,479","12,582","13,343"
"292","[P]","    WeatherBug Property","16,171","14,644","14,362","14,575","14,317","13,192","12,534","12,545","11,955","12,131","12,038","12,247","11,489","11,306","13,332"
"293","[P]","    Onlinedown Sites","11,912","11,258","11,855","13,159","10,810","11,700","9,205","12,399","17,357","17,801","14,573","16,163","18,117","14,377","13,265"
"294","[P](u)","    PopSugar","21,207","18,925","21,683","19,441","19,732","19,406","16,045","18,403","15,237","14,284","13,183","13,459","14,026","11,855","13,191"
"295","[P](U)","    Ancestry.com, Inc.","10,479","12,690","12,986","12,472","11,961","13,924","12,729","13,318","12,311","11,684","11,152","14,146","14,928","12,969","13,117"
"296","[P]","    WIKIMAPIA.ORG","10,435","10,155","11,436","12,076","11,959","12,822","12,664","14,483","13,757","13,651","13,283","14,315","14,972","13,100","13,076"
"297","[P](u)","    Groupe SNCF","10,810","10,821","10,691","10,260","10,046","11,002","12,527","10,926","13,085","12,519","12,774","13,234","11,659","12,469","13,051"
"298","[P]","    Groupe Casino","11,270","9,957","10,283","11,818","13,947","15,841","10,373","12,526","10,831","10,940","11,933","13,490","12,416","11,763","13,014"
"299","[P]","    Groupe Credit Agricole","11,824","11,747","11,487","11,917","11,929","12,365","11,564","11,836","11,406","11,354","11,196","12,199","11,530","12,385","12,933"
"300","[P]","    DUOTE.COM","10,607","10,702","11,416","12,791","12,346","11,666","8,540","11,225","15,030","15,817","14,447","16,161","15,299","12,821","12,891"
"301","[P]","    Hispavista Sites","15,637","15,625","16,193","15,598","13,779","13,338","11,949","13,320","13,066","12,307","11,662","11,394","13,453","13,193","12,882"
"302","[P]","    Yum! Brands Inc.","12,617","11,896","12,357","12,625","14,151","13,894","12,916","15,623","13,066","13,224","14,555","13,706","14,507","13,263","12,831"
"303","[P]","    Asahi Shimbun","12,088","10,548","9,886","9,247","9,903","10,891","8,261","8,365","6,959","10,830","11,776","12,869","12,123","10,987","12,829"
"304","[P]","    Nike","15,275","12,054","11,705","13,276","13,333","11,983","11,090","13,443","13,771","13,319","11,536","14,239","14,973","13,521","12,826"
"305","[P]","    Verlagsgruppe Georg von Holtzbrinck","11,030","12,460","13,086","12,863","11,773","13,242","12,028","12,980","12,256","12,141","11,090","11,208","11,183","13,345","12,791"
"306","[P]","    Honda","11,380","11,482","10,702","13,016","10,891","9,885","10,351","12,605","12,348","11,834","12,475","12,640","12,468","13,204","12,773"
"307","[P]","    Toysrus Sites","10,789","11,572","13,454","20,649","22,724","9,935","7,975","9,746","8,519","9,078","8,795","9,689","10,178","10,117","12,754"
"308","[P]","    Grupo Carso","12,092","11,153","11,008","10,745","10,478","9,372","9,993","10,124","11,948","12,662","11,180","12,260","13,228","12,124","12,533"
"309","[P]","    Travian Games","10,152","9,065","13,729","9,647","13,116","14,816","13,692","13,826","16,322","16,361","12,235","11,427","9,624","13,349","12,487"
"310","[P]","    Ubisoft Entertainment","8,387","6,017","8,936","10,583","11,081","8,200","8,230","12,381","10,291","7,194","8,627","10,960","14,270","12,616","12,429"
"311","[P]","    QIDIAN.COM","11,728","9,436","10,237","10,197","10,385","10,393","8,204","9,511","13,825","14,392","13,790","15,508","15,146","13,280","12,405"
"312","[P]","    Telecom Italia","15,268","15,617","15,878","15,847","15,764","15,911","20,879","10,031","9,801","10,594","10,161","12,204","11,143","11,311","12,370"
"313","[P]","    Unister GmbH","12,324","11,734","13,172","13,696","13,131","15,792","12,987","13,268","12,405","13,729","13,974","15,099","15,212","12,836","12,328"
"314","[P](U)","    Move, Inc. Real Estate Sites","12,660","12,345","12,783","11,576","11,148","14,292","13,128","14,392","14,601","14,244","13,511","14,783","14,138","12,705","12,108"
"315","[P]","    SOFTPEDIA.COM","16,948","16,758","17,434","17,451","18,533","18,796","16,490","18,871","16,229","15,786","15,489","15,554","14,357","13,244","12,062"
"316","[P]","    TIMEANDDATE.COM","10,408","9,640","10,957","9,802","9,657","10,005","8,821","11,531","10,224","10,374","9,974","10,124","10,499","10,208","12,004"
"317","[P](u)","    Reader's Digest Digital Network","9,859","9,788","12,788","12,926","13,971","11,854","11,093","12,348","10,869","10,547","10,390","10,660","8,765","10,250","11,957"
"318","[P]","    La Poste","11,337","11,464","11,537","11,357","12,051","11,536","10,147","10,650","10,183","10,719","10,438","11,791","10,583","11,641","11,922"
"319","[P]","    DEPOSITFILES.COM","53,636","53,151","51,335","49,626","48,330","42,348","35,535","25,501","21,566","20,203","16,181","12,755","13,766","12,252","11,793"
"320","[P]","    Sparkassen-Finanzgruppe","9,571","9,840","10,590","10,688","10,571","10,079","9,988","10,259","10,120","10,519","10,320","8,945","7,568","10,621","11,791"
"321","[P]","    The Royal Bank Of Scotland","10,042","10,717","11,276","10,830","10,836","11,205","10,688","11,685","10,873","10,597","11,107","11,315","11,268","11,758","11,718"
"322","[P](U)","    CBC-Radio Canada Sites","10,377","11,295","13,329","11,569","11,297","12,660","12,047","12,330","14,286","12,959","12,340","12,618","11,446","11,496","11,626"
"323","[P](U)","    MANTA.COM","18,337","16,844","18,349","15,670","14,465","17,740","16,363","16,481","16,580","14,582","12,921","13,327","13,632","12,112","11,609"
"324","[P]","    Kingsoft Corp","17,828","16,016","15,822","16,109","18,036","21,035","17,243","16,904","19,954","18,497","14,375","14,300","12,767","12,033","11,574"
"325","[P]","    McDonald's","12,892","12,287","14,079","11,543","9,630","12,865","11,752","13,915","13,132","12,569","16,006","14,250","13,374","11,453","11,565"
"326","[P]","    Groupe Amaury","11,277","10,557","10,665","10,132","9,960","11,700","10,066","10,384","10,413","10,851","10,600","12,247","10,535","11,868","11,521"
"327","[P]","    ARCHIVE.ORG","8,813","9,510","9,527","10,258","9,938","11,655","10,617","11,441","11,811","11,677","11,728","11,905","11,344","11,130","11,506"
"328","[P]","    Cisco Systems, Inc.","10,589","10,854","11,402","10,915","11,026","12,981","10,619","11,934","12,348","11,639","11,400","10,977","10,746","10,636","11,483"
"329","[P](u)","    Toshiba Corp","12,088","12,556","12,511","11,380","11,441","13,503","11,118","12,184","11,252","11,072","11,927","11,022","11,387","11,592","11,471"
"330","[P]","    Staples.com Sites","12,336","10,988","10,844","13,129","13,390","12,933","11,028","11,113","10,574","9,855","10,038","10,892","12,780","11,122","11,467"
"331","[P](u)","    DMGT (exc Mail Online)","13,758","13,412","12,159","11,947","9,187","11,422","9,910","11,417","12,389","11,344","9,132","8,888","9,116","10,227","11,466"
"332","[P]","    Deutsche Post AG Sites","11,223","12,119","13,480","13,799","12,240","11,440","9,252","10,536","10,244","10,609","9,789","10,942","10,626","11,343","11,451"
"333","[P]","    Orbitz Worldwide","17,496","15,038","15,248","14,503","11,947","16,595","14,573","16,747","14,209","14,035","14,002","14,847","12,780","11,394","11,389"
"334","[P]","    Kohls Corporation","11,517","11,690","11,190","17,202","16,027","10,321","9,221","11,148","9,407","9,220","9,748","9,656","10,782","10,101","11,376"
"335","[P](u)","    Mattel Sites","11,433","10,896","12,395","13,022","14,013","10,911","10,377","12,275","10,109","10,908","10,831","11,458","10,423","9,757","11,224"
"336","[P]","    Home Retail Group","10,545","9,444","10,323","11,716","13,793","10,828","8,808","10,274","9,858","10,103","10,215","11,114","10,618","10,163","11,192"
"337","[P]","    ARD Sites","11,676","10,846","10,797","10,534","10,583","11,379","10,833","11,362","10,680","10,768","11,793","10,023","10,313","11,262","11,142"
"338","[P](U)","    Skyrock","13,608","14,571","15,342","15,269","14,746","14,796","12,816","13,725","12,834","13,206","11,753","10,908","10,907","10,569","11,128"
"339","[P](u)","    Gruppo Mediaset","3,937","5,134","5,619","5,594","6,219","6,765","6,944","7,033","10,141","10,542","8,809","9,741","8,507","9,872","11,089"
"340","[P]","    Tesco Stores","9,853","9,414","10,225","11,446","12,932","10,742","9,432","10,631","10,408","11,015","10,999","10,772","10,896","10,341","11,009"
