"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: December 2012 - February 2014","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 3/21/2014","","","","","",""

"","","","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013","Jan-2014","Feb-2014"
"14","[P]","    eBay","252,154","246,959","226,441","244,653","240,874","242,756","240,614","251,910","251,606","256,028","258,417","270,276","269,474","260,230","244,700"
"15","[P](u)","    CBS Interactive","279,517","275,358","245,140","270,899","287,474","291,450","281,473","281,778","285,689","285,899","284,796","284,489","282,530","259,803","243,019"
"16","[P](u)","    BitTorrent Network","238,517","240,352","236,761","247,655","243,892","244,956","244,552","246,771","245,764","246,119","246,212","246,943","249,046","250,053","240,460"
"17","[P](U)","    AOL, Inc.","220,331","226,026","213,157","221,865","217,725","223,081","211,573","218,890","220,277","221,908","236,671","241,978","240,178","238,932","231,887"
"18","[P](u)","    Glam Media","296,810","318,758","276,802","294,231","297,215","296,276","283,805","252,706","244,225","242,480","251,881","252,107","250,234","241,612","226,983"
"19","[P]","    SINA Corporation","185,155","179,539","161,851","181,686","243,762","238,654","241,203","247,144","244,181","243,307","241,634","240,883","242,626","221,628","219,449"
"20","[P]","    TWITTER.COM","189,780","189,819","175,485","185,095","174,401","186,089","182,990","166,785","172,674","183,792","183,187","191,236","196,468","204,351","195,417"
"21","[P]","    NetEase.com Inc.","135,638","130,688","108,546","124,012","180,625","187,975","181,573","195,503","185,371","196,162","187,607","189,469","192,397","170,514","169,141"
"22","[P]","    Adobe Sites","135,321","144,067","165,798","169,791","151,617","149,192","139,420","159,219","142,068","142,884","150,298","155,296","142,538","151,461","136,103"
"23","[P](u)","    Turner Digital","127,077","125,134","120,602","127,780","139,383","130,310","122,339","125,426","124,626","123,008","129,659","128,503","127,778","125,036","119,057"
"24","[P](U)","    IDG Network","44,197","46,450","43,500","48,012","102,144","105,833","109,595","113,940","117,925","123,207","121,138","119,138","119,226","114,561","115,187"
"25","[P]","    Axel Springer SE","101,773","109,402","101,822","107,857","105,601","109,436","108,488","113,161","113,880","115,371","119,465","119,115","114,293","118,707","108,288"
"26","[P]","    Wal-Mart","74,017","58,168","59,730","63,182","60,238","60,673","61,996","67,546","67,246","61,508","64,799","85,225","151,483","124,008","105,258"
"27","[P]","    Yandex Sites","89,965","90,359","89,862","94,719","93,050","93,120","92,978","94,247","92,146","92,308","92,423","98,811","101,533","102,075","99,571"
"28","[P]","    KuGou Inc.","97,476","96,191","85,285","92,858","111,190","112,584","104,359","105,185","100,137","98,584","97,821","95,427","95,354","98,860","95,127"
"29","[P]","    PPStream, Inc.","83,214","85,886","77,423","74,352","87,773","89,924","93,394","99,835","103,604","91,669","90,848","93,906","98,329","107,595","92,500"
"30","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","58,175","65,927","62,938","66,863","67,713","69,212","67,283","74,901","74,541","76,872","79,692","77,359","73,961","91,630","90,314"
"31","[P](U)","    Answers.com Sites","91,098","93,216","89,943","101,728","105,285","102,123","88,239","83,207","84,651","86,668","87,438","74,879","79,089","76,259","80,695"
"32","[P](U)","    Demand Media","116,938","125,465","125,721","126,716","125,412","121,316","103,002","102,707","98,156","96,171","96,920","90,061","80,049","88,170","80,427"
"33","[P](U)","    Terra - Telefonica","101,322","99,094","92,219","99,161","100,255","104,950","98,075","96,611","97,452","95,314","100,374","95,672","92,263","85,032","80,363"
"34","[P]","    Xinhua News Agency","36,584","32,132","26,851","45,624","63,225","64,977","74,903","85,370","85,158","88,714","89,606","84,048","92,349","80,837","79,939"
"35","[P](u)","    Ziff Davis Tech","92,161","94,962","83,625","89,515","83,905","85,522","85,848","85,655","87,450","84,817","85,667","82,610","77,779","76,385","78,460"
"36","[P]","    Priceline.com Incorporated","56,709","69,034","66,184","72,758","72,318","74,522","80,805","92,597","88,263","74,752","71,329","68,397","63,767","74,919","71,635"
"37","[P](u)","    Gannett Sites","64,832","69,496","65,784","70,239","71,754","68,747","67,461","76,683","76,533","76,446","80,535","79,994","76,748","76,994","70,982"
"38","[P]","    People's Daily online","48,532","47,588","40,441","49,726","68,887","75,224","68,560","78,773","78,953","72,925","69,664","73,256","78,839","72,764","70,780"
"39","[P]","    PPLive Inc.","76,109","72,518","65,113","69,737","88,367","90,681","87,128","83,306","80,433","72,290","70,331","70,886","72,444","72,464","70,068"
"40","[P]","    BBC Sites","74,472","79,513","74,792","80,076","80,454","80,011","79,842","81,412","77,342","78,476","78,588","79,920","75,615","77,538","69,804"
"41","[P]","    PCPOP Sites","58,662","52,464","39,892","51,284","76,071","73,465","72,590","75,764","77,692","85,492","75,494","77,436","78,442","68,815","69,680"
"42","[P]","    China Central Television Sites","43,483","46,465","45,102","48,484","70,354","73,637","87,856","77,388","76,139","71,197","66,409","71,223","86,755","80,874","69,615"
"43","[P](u)","    Federated Media Publishing","235,818","99,503","85,459","88,858","91,244","87,511","79,076","82,243","86,629","91,401","91,124","91,222","81,293","80,223","69,096"
"44","[P](u)","    Hearst Corporation","29,313","79,836","74,290","76,390","69,433","66,219","63,211","68,339","64,840","68,651","74,128","72,579","71,655","71,867","67,297"
"45","[P]","    Oak Pacific Interactive Sites","78,264","71,822","56,873","62,432","89,896","89,689","95,576","97,465","85,124","78,222","81,152","83,804","84,609","72,896","66,988"
"46","[P]","    NHN Corporation","77,174","77,634","60,053","61,397","60,836","62,144","60,478","61,679","62,457","60,908","62,291","60,944","69,445","69,057","66,805"
"47","[P]","    58.COM","39,725","38,688","34,931","45,622","58,666","62,428","56,906","63,261","61,712","60,186","63,739","65,309","64,294","55,078","66,125"
"48","[P]","    56.COM","62,688","57,232","44,299","56,119","79,282","81,514","65,661","68,047","67,076","58,779","47,725","64,323","68,026","60,961","62,979"
"49","[P]","    Valve Corporation","59,898","60,197","59,480","60,069","58,708","59,911","61,651","67,843","67,910","66,805","65,464","66,395","71,834","67,948","62,607"
"50","[P]","    The Mozilla Organization","76,297","79,174","75,467","80,737","86,060","78,595","70,713","64,097","68,392","74,795","76,024","70,624","67,711","66,925","62,592"
"51","[P](U)","    Viacom Digital","191,739","189,425","183,334","187,104","187,388","192,496","187,231","191,503","198,404","78,874","82,818","83,745","78,488","67,929","61,682"
"52","[P]","    AVG Technologies","71,550","82,247","91,561","95,792","68,515","70,140","74,941","68,662","76,272","83,094","75,749","70,183","62,967","58,550","61,313"
"53","[P]","    CHINA.COM.CN","19,425","18,182","14,264","28,292","48,537","50,143","44,854","47,927","71,109","66,242","63,966","58,689","58,677","59,531","60,475"
"54","[P]","    Infospace Network","18,407","24,483","26,433","26,370","28,828","25,039","33,308","46,191","60,924","65,279","69,289","65,570","61,032","66,598","60,445"
"55","[P](U)","    Wikia Sites","59,631","62,446","54,423","57,337","58,647","60,192","58,364","60,141","61,440","62,069","68,656","69,796","64,367","64,592","59,321"
"56","[P]","    Ctrip.com International","22,694","27,214","23,357","26,778","41,707","42,200","43,826","50,372","51,458","48,249","45,233","46,226","52,697","58,964","59,227"
"57","[P]","    Conde Nast Digital","45,399","50,071","44,332","49,570","49,897","50,090","46,762","48,135","50,452","53,171","56,035","55,706","56,706","57,962","58,058"
"58","[P]","    Rakuten Inc","68,153","65,981","60,216","62,335","59,493","62,648","60,311","62,876","61,709","61,683","61,221","63,955","63,910","58,964","56,754"
"59","[P]","    Sun Microsystems, Inc.","36,477","43,215","48,467","57,413","83,117","76,855","88,660","77,868","55,209","51,214","90,927","66,302","48,169","86,874","56,284"
"60","[P]","    Expedia Inc","42,402","51,724","47,707","55,846","60,049","62,090","66,093","77,886","74,075","64,590","69,560","62,458","57,103","60,390","56,112"
"61","[P](u)","    Orange Sites","74,936","75,136","72,925","76,789","76,145","75,295","70,805","69,203","68,362","73,115","76,410","74,861","66,265","57,600","55,734"
"62","[P]","    EA Websites","66,161","66,782","67,246","72,114","67,704","65,533","68,445","69,323","69,360","63,729","59,883","62,821","63,961","60,484","55,673"
"63","[P](U)","    UOL","48,787","48,753","56,759","59,130","58,003","60,699","61,216","64,093","63,846","57,934","61,811","60,150","57,929","56,570","54,499"
"64","[P]","    2345.COM","45,377","40,365","33,055","38,305","60,079","64,421","58,523","61,292","62,265","71,596","70,798","60,395","62,928","56,299","54,272"
"65","[P]","    WIKIHOW.COM","25,544","27,953","28,634","36,439","40,712","45,624","47,653","50,917","53,117","53,089","56,140","56,046","53,232","56,977","53,756"
"66","[P]","    Sony Online","74,744","69,013","64,828","76,260","65,989","67,345","76,335","71,038","70,383","75,336","67,594","70,124","72,746","61,475","53,402"
"67","[P](U)","    CCM-Benchmark","48,099","50,486","47,847","53,570","59,596","58,677","56,936","54,728","52,800","55,941","59,767","56,812","53,280","55,368","53,256"
"68","[P](u)","    Spil Games","63,945","62,802","60,309","66,097","63,641","63,472","64,544","65,741","61,779","55,798","58,518","59,827","60,841","58,027","53,223"
"69","[P]","    FC2 inc.","58,424","58,985","55,463","57,491","56,861","57,425","57,092","57,538","57,217","56,801","56,873","55,632","55,099","54,901","52,367"
"70","[P](U)","    ESPN","59,913","62,688","50,606","63,194","59,818","57,120","65,417","58,980","60,759","67,777","67,462","65,217","63,048","57,754","51,466"
"71","[P]","    GANJI.COM","25,733","25,607","19,091","33,858","42,229","43,446","41,843","46,962","43,985","40,670","40,927","39,448","42,050","34,058","50,152"
"72","[P](U)","    Globo","43,688","46,368","46,919","50,997","50,646","51,073","51,081","52,107","52,386","50,013","52,347","51,149","48,921","50,570","49,703"
"73","[P]","    MercadoLibre","41,243","42,603","45,938","50,092","50,008","51,016","50,170","51,906","55,582","54,167","55,022","54,688","52,083","53,149","49,489"
"74","[P]","    Deutsche Telekom","56,252","56,510","51,080","53,621","55,371","56,382","53,060","53,713","55,532","57,410","55,857","55,570","52,427","52,515","49,375"
"75","[P]","    China Mobile Sites","45,498","40,976","32,505","37,375","50,727","60,436","55,686","54,248","55,102","59,137","52,239","55,132","63,461","52,515","48,933"
"76","[P](u)","    WebMD Health","44,643","52,723","48,101","51,304","51,632","48,736","45,304","48,403","50,658","49,933","55,559","52,957","48,340","51,115","48,134"
"77","[P]","    FUNSHION.COM","31,611","33,369","24,340","27,515","37,993","39,042","35,786","37,675","39,646","32,517","33,975","36,638","39,100","46,213","44,788"
"78","[P]","    GSN Games","38,876","44,203","42,106","48,824","46,887","59,967","59,800","60,839","57,762","50,178","48,182","49,370","52,449","50,179","44,644"
"79","[P]","    NETFLIX.COM","40,653","40,912","39,718","45,163","42,470","42,593","43,984","43,816","44,229","43,662","43,127","43,323","47,346","46,128","44,080"
"80","[P]","    craigslist, inc.","48,901","51,921","50,757","53,948","53,983","52,515","52,852","56,610","55,142","52,100","50,105","48,097","44,696","46,866","42,743"
"81","[P](U)","    New York Times Digital","47,412","51,127","47,797","52,018","59,253","51,278","46,027","47,938","43,606","48,767","50,853","48,801","45,149","42,225","42,438"
"82","[P](U)","    Gawker Media","39,472","43,325","38,450","38,628","39,753","42,259","41,137","42,030","42,472","48,000","45,892","47,008","42,072","43,500","41,452"
"83","[P](u)","    Disney Online","44,451","42,331","40,327","48,469","43,980","44,509","46,771","49,931","48,296","43,254","48,087","46,101","45,149","43,971","41,263"
"84","[P](U)","    Meredith Digital","59,585","52,518","47,036","51,994","43,059","44,988","44,481","46,756","46,605","46,394","49,789","50,738","53,387","46,136","41,035"
"85","[P]","    United-Internet Sites","36,604","37,544","35,756","38,716","38,624","38,748","38,837","42,657","40,473","37,895","38,331","37,712","41,860","48,511","40,623"
"86","[P]","    Gretech Corp.","54,619","55,639","46,799","43,780","42,921","44,780","44,109","44,236","44,718","42,752","40,738","41,159","42,608","42,574","40,295"
"87","[P]","    6.CN","12,077","15,630","16,008","18,903","23,566","27,166","27,674","32,764","35,274","30,783","32,912","36,864","34,887","43,830","40,104"
"88","[P]","    MEDIAFIRE.COM","70,131","69,192","62,623","70,616","66,827","64,631","54,769","54,326","51,359","47,152","44,369","43,140","42,471","42,710","39,161"
"89","[P]","    MIH Limited","55,357","60,331","53,494","54,000","50,732","49,614","45,823","47,280","47,223","45,708","46,342","47,824","48,718","47,430","38,939"
"90","[P]","    China Construction Bank","30,794","31,335","24,127","27,718","39,557","42,237","40,699","43,504","43,347","44,502","43,172","46,465","46,986","44,160","38,895"
"91","[P](u)","    OLX Inc.","47,010","50,245","44,185","51,306","47,173","42,996","44,498","48,878","48,967","47,787","47,541","44,442","38,644","42,271","38,820"
"92","[P]","    Samsung Group","51,359","41,136","36,211","44,438","46,158","52,604","45,472","46,564","49,212","46,979","47,551","51,574","53,119","42,428","38,479"
"93","[P](u)","    Time Warner (Excl. Turner/WB)","27,652","38,565","37,039","38,466","39,238","38,053","38,529","38,060","38,744","40,920","43,943","42,206","41,458","41,746","38,381"
"94","[P]","    China Telecom Sites","41,582","47,982","25,300","34,974","67,360","68,622","62,489","61,837","60,731","59,270","58,437","53,118","56,077","44,069","37,111"
"95","[P]","    HEXUN.COM","33,434","30,802","16,420","26,816","40,685","42,043","37,922","42,482","38,980","41,681","42,445","47,109","47,156","37,243","37,028"
"96","[P](U)","    AlloCine Sites","34,512","35,202","34,013","35,536","39,696","40,144","36,639","38,609","39,220","33,019","37,508","38,844","40,990","37,691","36,705"
"97","[P](U)","    YELP.COM","38,856","43,025","41,155","44,259","42,620","43,692","43,285","46,829","45,888","42,311","43,421","41,128","39,329","39,075","36,277"
"98","[P]","    Hewlett Packard","37,728","40,566","34,408","40,217","42,779","39,334","39,489","41,830","40,884","41,740","43,015","39,891","41,345","43,280","36,182"
"99","[P](U)","    TARINGA.NET","27,358","26,922","23,755","25,564","25,108","26,885","25,918","24,991","26,707","28,422","29,072","27,695","24,268","35,598","35,702"
"100","[P](U)","    T365 - Tribune","42,470","41,095","40,299","37,147","39,300","39,052","33,905","35,051","34,407","35,090","36,749","36,507","37,624","36,576","35,476"
"101","[P](u)","    CraveOnline (Evolve Media LLC.)","61,794","62,598","54,858","57,268","53,860","50,549","49,104","49,434","49,250","47,799","47,479","45,625","46,018","43,994","35,453"
"102","[P]","    Intuit","13,827","25,651","31,220","25,299","24,347","13,545","12,102","14,151","12,479","12,582","13,343","12,231","12,997","24,853","35,179"
"103","[P](u)","    Times Internet Limited","35,723","36,160","32,919","35,096","35,467","36,747","37,789","36,872","37,160","34,888","37,804","38,091","39,802","40,390","35,087"
"104","[P]","    DANGDANG.COM","30,134","26,241","18,602","27,190","36,036","41,699","42,231","49,968","41,958","46,354","43,239","51,497","46,294","33,592","34,982"
"105","[P]","    51JOB.COM","10,289","9,959","10,512","15,708","18,338","20,712","19,070","19,311","17,315","15,540","14,815","11,171","11,938","21,368","33,478"
"106","[P](u)","    SpinMedia","81,988","81,160","62,276","63,476","61,151","56,693","54,327","55,416","55,893","49,957","52,076","45,550","44,238","41,845","33,279"
"107","[P]","    NTT Group","39,816","40,920","37,672","39,032","37,352","38,162","37,683","38,886","38,084","37,614","37,035","35,376","35,096","35,926","33,277"
"108","[P](u)","    Slashdot Media","42,956","44,156","40,330","43,450","38,152","36,937","35,138","36,111","34,423","34,957","37,599","35,328","34,133","35,523","33,243"
"109","[P]","    Otto Gruppe","36,708","36,970","33,935","39,220","35,087","33,411","32,355","33,879","32,224","34,280","36,065","39,155","35,904","36,249","33,206"
"110","[P](U)","    Monster, Inc.","39,484","48,163","43,548","44,510","42,765","37,438","37,108","37,720","37,149","37,570","38,947","37,304","30,597","39,921","33,202"
"111","[P](U)","    Dow Jones & Company","31,365","35,024","32,357","33,980","35,226","32,307","32,385","31,190","31,647","32,716","32,454","32,016","28,680","34,940","32,088"
"112","[P]","    Agricultural Bank of China","20,681","21,325","16,977","19,869","27,136","28,655","26,866","28,803","28,767","28,505","27,945","28,374","28,876","28,578","31,756"
"113","[P]","    China Economic Net","6,934","7,830","6,204","8,508","11,754","13,674","22,591","28,197","28,553","28,355","40,639","34,819","40,264","33,987","31,499"
"114","[P](u)","    Discovery Digital Media Sites","36,932","40,169","36,197","37,098","36,907","40,037","39,121","32,614","36,948","34,678","39,229","38,148","33,867","35,760","31,374"
"115","[P]","    120ASK.COM","20,619","21,357","16,866","24,520","37,117","41,891","36,530","39,783","38,376","34,253","34,886","35,071","35,602","30,289","31,364"
"116","[P]","    Dwango Co., Ltd.","34,682","35,084","32,951","34,701","34,337","34,300","33,495","34,043","34,049","33,931","33,492","33,070","32,962","32,406","31,078"
"117","[P](U)","    DEVIANTART.COM","43,822","45,380","30,010","32,092","31,705","30,934","30,064","30,713","30,645","31,335","33,167","31,365","31,965","33,482","31,031"
"118","[P]","    Chinabyte Technology Co.","16,919","13,925","9,763","13,801","20,221","24,231","21,477","23,261","25,405","23,607","22,632","28,756","33,575","33,546","30,833"
"119","[P]","    DUOWAN.COM","23,552","23,767","21,981","22,653","28,676","31,304","30,022","33,493","32,598","28,029","27,473","27,209","28,930","31,916","30,637"
"120","[P]","    Technorati Media","84,149","87,499","64,448","81,390","47,089","44,567","44,421","43,378","44,566","42,424","42,021","40,942","39,111","41,227","30,382"
"121","[P](u)","    Liberty Interactive Corporation","34,849","29,314","31,623","28,368","27,509","34,677","27,179","27,498","27,501","26,970","26,770","31,731","34,043","28,267","30,348"
"122","[P]","    SouFun.com Limited","19,441","15,579","15,717","23,996","33,450","34,770","30,315","34,400","34,317","31,643","31,110","31,177","31,113","23,717","30,072"
"123","[P]","    CyberAgent","40,549","40,457","36,605","39,956","38,603","39,469","39,502","36,169","36,047","34,652","33,342","31,601","31,355","32,026","30,036"
"124","[P](u)","    Prisa","26,720","29,956","29,932","31,538","33,010","32,609","31,352","31,218","29,900","31,927","33,246","32,427","28,555","30,347","29,795"
"125","[P](U)","    Scripps Networks Interactive Inc.","42,385","39,009","35,031","37,715","34,088","33,410","34,052","36,739","35,792","32,807","34,522","38,892","38,857","35,051","29,283"
"126","[P]","    Hubert Burda Media","33,176","36,088","32,801","35,575","31,404","32,484","31,496","31,030","31,145","30,153","30,145","29,945","29,456","33,157","29,252"
"127","[P](U)","    Internet Brands, Inc.","41,035","44,422","37,798","41,203","40,348","40,956","37,557","38,286","37,365","33,924","33,652","32,195","29,565","33,114","29,151"
"128","[P](U)","    WORDREFERENCE.COM","25,329","29,938","31,250","34,517","36,020","36,206","31,727","29,009","28,883","30,817","37,587","35,924","27,074","27,225","28,813"
"129","[P]","    RosBusinessConsulting","32,844","32,041","31,118","32,761","29,172","28,306","26,105","25,442","23,786","25,329","25,981","28,824","27,898","28,002","28,798"
"130","[P](u)","    IG Portal","28,809","30,007","31,409","32,633","32,395","32,988","32,606","33,259","33,023","31,798","33,489","30,540","29,231","29,602","28,490"
"131","[P](U)","    SheKnows","42,392","43,227","37,493","39,554","41,270","41,121","43,392","39,697","38,762","35,051","32,861","32,143","30,829","32,918","28,360"
"132","[P]","    Groupe Lagardere","30,842","31,635","28,177","31,687","29,028","29,352","28,190","28,691","27,176","29,145","30,110","29,407","28,322","29,162","28,220"
"133","[P]","    IKEA","26,606","29,639","24,533","27,416","25,428","25,022","24,831","28,308","32,956","31,403","30,406","33,284","29,331","32,311","27,928"
"134","[P](u)","    YP Local Media Network","32,216","31,928","30,762","33,743","35,195","36,398","36,909","39,748","38,798","34,641","34,618","32,245","31,235","30,357","27,603"
"135","[P]","    Symantec","27,185","27,596","24,251","26,834","27,147","27,235","28,151","26,996","27,616","30,927","30,565","30,971","29,745","30,952","27,397"
"136","[P]","    Vodafone Group","29,961","31,675","29,728","30,920","28,988","27,911","26,400","28,948","28,427","28,936","28,937","27,329","28,631","30,359","27,070"
"137","[P](u)","    Network 18","31,181","30,994","27,171","27,496","28,213","28,872","29,169","28,750","31,258","29,316","29,924","31,016","32,973","30,661","27,064"
"138","[P]","    McAfee.com Sites","20,000","20,524","20,443","23,776","22,385","23,286","22,823","25,384","25,750","25,772","25,136","28,388","27,448","28,461","26,813"
"139","[P]","    NIH","23,817","25,985","26,214","28,449","27,271","26,797","25,274","26,055","25,594","27,083","31,332","29,707","25,014","27,314","26,466"
"140","[P]","    Oracle Corporation","13,701","15,305","13,115","14,295","13,482","13,934","30,724","29,450","27,256","30,639","32,105","30,086","25,026","29,874","26,293"
"141","[P](U)","    Groupe TF1","25,091","26,836","25,093","27,380","25,453","24,210","24,048","23,807","23,241","23,748","24,293","23,810","23,464","25,731","25,882"
"142","[P](u)","    Forbes Digital","22,969","26,383","25,604","26,964","26,196","26,431","26,051","27,676","26,151","27,676","29,876","28,652","28,584","30,643","25,727"
"143","[P]","    Gruner+Jahr Sites","27,078","27,564","24,691","26,356","24,647","24,452","23,908","25,147","26,110","26,919","27,872","27,020","27,325","28,199","25,613"
"144","[P](u)","    Ticketmaster","27,986","27,975","28,875","29,195","28,184","27,601","25,166","26,515","26,698","27,210","28,856","28,793","27,762","25,885","25,150"
"145","[P]","    Fox Interactive Media","31,093","22,235","18,032","20,759","21,127","21,575","20,180","22,563","23,500","29,502","29,897","27,777","26,601","25,063","24,634"
"146","[P](u)","    Everyday Health","35,763","39,259","36,666","38,930","37,313","36,744","33,967","35,214","36,208","38,965","41,628","39,487","35,824","25,616","24,183"
"147","[P](u)","    WorldNow Sites","22,099","23,975","23,577","22,633","22,463","23,391","20,142","21,168","22,156","21,558","23,629","23,064","22,820","27,181","24,079"
"148","[P](u)","    Grupo Abril","19,798","21,644","23,997","26,672","26,538","27,283","27,090","26,573","27,874","26,517","28,918","27,699","24,042","24,693","23,977"
"149","[P]","    RTL Group Sites","28,255","28,793","25,902","28,346","28,030","29,525","28,337","26,929","27,696","27,538","27,507","26,539","25,347","26,694","23,925"
"150","[P]","    39.NET","18,675","20,040","16,815","23,587","35,911","38,099","33,553","35,663","34,731","30,461","30,075","28,444","28,515","22,352","23,804"
"151","[P]","    CDC Corporation Sites","18,799","19,662","15,475","18,901","30,637","30,026","27,093","29,033","29,071","26,586","24,793","26,761","27,441","23,882","23,794"
"152","[P]","    Ebuzzing","28,238","27,790","24,095","25,944","24,930","24,124","22,924","24,087","22,929","23,074","24,763","25,204","22,772","23,246","23,755"
"153","[P](u)","    IHeartRadio Network","18,875","19,140","19,474","19,313","21,841","19,697","20,922","23,174","24,247","24,042","20,879","22,192","22,519","24,085","23,436"
"154","[P](U)","    Telegraph Media Group","29,476","31,161","27,474","27,335","28,107","26,618","24,718","26,078","27,422","28,662","28,875","27,334","25,848","27,201","23,394"
"155","[P]","    7K7K.COM","19,078","20,887","22,700","17,502","23,329","22,256","24,134","30,821","30,514","20,699","19,097","17,185","17,411","24,355","23,199"
"156","[P]","    Procter & Gamble","19,969","15,904","13,228","17,060","17,117","20,147","21,792","21,971","18,525","23,865","25,031","29,750","25,443","23,978","23,000"
"157","[P](U)","    AccuWeather Sites","16,840","18,178","17,445","18,403","17,919","20,339","23,378","23,822","25,795","18,879","17,951","18,674","21,388","24,803","22,982"
"158","[P]","    Iliad - Free.fr Sites","26,462","27,003","23,995","25,650","24,618","24,708","23,275","22,874","22,527","24,513","25,090","24,118","23,018","24,250","22,556"
"159","[P]","    BADOO.COM","22,937","24,626","24,239","25,582","26,317","25,722","24,718","26,387","26,528","25,323","24,692","25,368","24,021","25,209","22,431"
"160","[P]","    AT&T, Inc.","27,522","26,305","25,054","27,427","26,312","26,678","27,127","26,766","26,289","27,300","26,591","24,705","25,421","23,974","22,191"
"161","[P]","    21CN Corporation Limited","19,758","18,769","12,799","15,515","24,634","28,879","23,715","21,964","22,050","18,020","19,450","24,410","38,844","26,056","21,994"
"162","[P]","    METRO Group","26,058","21,257","17,345","18,148","17,003","18,607","18,864","18,622","19,405","21,730","23,055","28,100","32,831","27,698","21,929"
"163","[P](U)","    CareerBuilder LLC","24,773","26,636","25,409","27,120","25,944","26,056","24,307","25,892","25,351","25,473","26,609","25,093","19,729","23,306","21,873"
"164","[P]","    Sakura Internet","28,412","28,617","25,188","26,255","26,267","27,649","26,449","26,620","27,487","26,730","25,724","24,163","24,459","23,822","21,851"
"165","[P]","    CRI Online Sites","7,761","7,592","6,195","10,501","20,292","24,247","22,388","27,243","15,865","13,588","15,367","15,567","17,773","20,662","21,838"
"166","[P]","    Kering","37,643","34,872","32,579","33,975","34,311","34,310","34,188","27,744","26,720","27,314","26,055","27,020","25,781","27,049","21,809"
"167","[P]","    Solocal Group","28,766","30,217","26,083","27,636","26,963","26,839","25,367","25,094","22,775","22,422","23,047","21,325","20,266","22,314","21,592"
