"MEDIA TREND REPORT","","","Geography : Worldwide","","","","","","MyMetrix"
"","","","Location : All Locations","","","","","","MediaMetrix 2.0"
"","","","Time Period : June 2008 - August 2009","","","","","","(c)2009 comScore, Inc"
"","","","Target : Total Audience",
"","","","Media : 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",
"","","","Measures : Total Unique Visitors (000)",
"","","","Date : 9/29/2009",

"Items 1 to 1000","",""," Jun-2008"," Jul-2008"," Aug-2008"," Sep-2008"," Oct-2008"," Nov-2008"," Dec-2008"," Jan-2009"," Feb-2009"," Mar-2009"," Apr-2009"," May-2009"," Jun-2009"," Jul-2009"," Aug-2009",
"46","[P]","Youku","33,167","63,747","64,173","75,987","73,728","66,016","67,440","61,489","61,008","62,771","56,499","27,945","42,296","51,800","53,105",
"47","[P]","Disney Online","50,279","51,993","55,563","52,536","54,641","51,594","55,858","51,123","50,887","51,271","48,776","46,206","50,251","53,828","51,715",
"48","[P]","Spil Games","36,550","43,806","46,943","43,691","44,607","44,664","46,841","47,240","49,746","48,035","48,934","52,494","47,090","53,508","51,698",
"49","[P]","MEGAUPLOAD.COM","18,587","19,627","20,604","21,102","22,782","24,048","27,673","31,365","34,635","45,863","46,151","44,978","44,290","49,623","49,992",
"50","[P]","Oak Pacific Interactive Sites","17,640","36,772","42,651","38,484","40,369","33,938","38,086","35,323","34,955","36,685","36,521","35,316","37,050","42,231","49,849",
"51","[P]","Six Apart Sites","39,177","40,755","48,082","47,533","47,454","45,606","47,330","50,758","48,932","51,526","50,093","51,772","48,114","49,697","49,733",
"52","[P]","craigslist, inc.","33,172","35,232","36,369","35,933","37,836","37,084","38,329","41,434","40,571","44,364","47,783","47,001","46,992","48,942","49,436",
"53","[P]","Deutsche Telekom","28,915","30,204","28,888","27,142","27,825","28,368","28,044","28,253","44,992","50,982","48,135","44,930","44,954","46,678","49,389",
"54","[P]","CONDUIT.COM","12,463","12,937","14,880","17,155","21,376","23,251","26,339","31,817","29,556","33,441","36,503","42,697","43,471","45,574","48,273",
"55","[P]","Metacafe","30,270","34,185","37,171","38,080","37,288","38,937","44,676","46,742","48,696","55,652","53,715","47,062","48,181","50,025","46,705",
"56","[P]","BBC Sites","42,369","39,967","42,845","43,949","44,038","45,531","43,502","47,656","48,377","49,828","48,765","47,400","45,224","46,038","44,599",
"57","[P]","Weather Channel, The","39,302","38,790","40,871","43,164","36,497","35,392","44,866","43,759","41,937","43,145","44,292","43,759","44,442","44,409","44,457",
"58","[P]","PConline.cn Sites","15,629","28,101","38,284","38,830","39,997","38,873","41,123","38,361","39,943","37,065","35,650","32,039","37,003","42,913","44,355",
"59","[P]","4SHARED.COM","12,532","13,657","15,915","17,080","18,565","19,718","23,530","26,063","33,541","37,998","38,513","39,209","38,646","42,200","43,731",
"60","[P]","FC2 inc.","33,956","33,845","34,285","34,711","34,593","35,968","36,392","36,809","35,783","37,251","37,341","38,722","41,297","39,916","41,324",
"61","[P]","Hewlett Packard","29,849","33,190","35,027","32,896","35,529","35,345","37,447","35,580","31,952","35,400","35,991","33,207","34,709","39,396","41,199",
"62","[P]","Rakuten Inc","36,413","38,323","38,008","36,988","36,687","37,323","37,529","38,583","37,974","38,703","38,500","38,145","41,256","40,216","40,934",
"63","[P]","UGO Entertainment","35,386","36,390","36,342","35,149","36,423","34,825","37,214","40,443","40,042","42,720","43,222","43,157","39,354","43,409","40,729",
"64","[P]","Time Warner - Excluding AOL","50,575","59,764","59,479","52,965","53,440","51,980","56,208","47,727","48,769","50,068","50,471","43,663","42,259","48,561","40,416",
"65","[P]","Wal-Mart","34,372","35,011","35,383","32,637","38,221","52,817","56,006","38,546","34,049","34,813","36,765","38,398","36,790","38,145","38,492",
"66","[P]","Groupe Lagardere","29,769","31,933","30,497","32,232","34,937","34,835","33,389","34,342","36,611","39,282","39,865","38,669","37,373","37,018","37,625",
"67","[P]","Comcast Corporation","28,400","32,069","31,812","30,377","32,546","33,035","32,896","35,733","34,019","34,058","34,802","34,651","37,969","40,419","37,620",
"68","[P]","Monster Worldwide","40,682","41,626","49,015","43,138","43,698","39,730","36,506","40,692","38,948","46,810","40,807","36,772","37,658","37,144","37,576",
"69","[P]","Symantec","17,221","18,883","28,806","27,161","28,179","29,512","33,670","38,066","37,496","39,493","40,461","32,001","31,743","33,688","37,358",
"70","[P]","NTT Group","32,008","32,786","32,300","32,629","32,847","33,020","32,419","35,281","33,653","35,343","34,973","35,275","37,457","36,836","37,330",
"71","[P]","ESPN","32,899","28,592","31,527","32,558","30,563","31,527","30,146","29,452","27,811","34,361","34,278","35,869","37,326","35,839","37,182",
"72","[P]","MEDIAFIRE.COM","13,670","15,318","14,843","15,633","15,960","16,226","19,489","22,150","27,385","30,818","31,982","34,146","33,146","36,489","37,004",
"73","[P]","56.COM","14,647","22,514","39,034","33,931","33,868","29,171","36,471","32,369","33,727","32,791","32,296","27,035","28,694","32,082","36,701",
"74","[P]","Federated Media Publishing","14,074","15,509","16,535","17,240","19,090","17,897","19,466","20,064","20,426","28,641","27,924","23,984","26,105","29,417","36,002",
"75","[P]","Betawave Partners - Partial List","8,105","8,539","9,308","9,612","9,430","9,440","8,084","9,326","10,243","10,415","12,436","12,150","11,679","37,509","34,555",
"76","[P]","KuGou Inc.","N/A","N/A","N/A","32,618","36,266","38,073","39,890","38,559","35,743","35,089","33,311","31,898","31,678","34,941","34,500",
"77","[P]","MINICLIP.COM","35,304","35,862","34,646","32,099","33,639","34,103","38,047","35,542","36,212","36,522","35,997","34,737","33,350","35,883","34,005",
"78","[P]","United Online, Inc","36,809","38,129","35,669","36,852","39,528","37,905","37,813","41,424","40,728","40,394","38,171","34,794","35,056","35,136","33,938",
"79","[P]","PPStream, Inc.","N/A","N/A","29,152","29,410","29,548","31,545","32,089","32,351","30,836","30,602","28,958","25,829","26,917","30,077","33,805",
"80","[P]","Lycos Europe Sites","48,772","47,180","45,573","47,084","49,835","49,514","50,393","37,141","37,144","37,673","37,479","35,804","32,931","33,479","33,710",
"81","[P]","MIH Limited","28,462","33,291","33,011","32,743","30,641","31,023","30,599","31,270","30,690","32,640","32,229","30,563","30,686","30,782","33,655",
"82","[P]","DEVIANTART.COM","13,697","13,932","15,153","16,581","17,792","18,610","20,349","21,955","23,509","26,597","25,487","27,312","24,763","27,841","33,451",
"83","[P]","WildTangent Network","29,510","33,618","30,244","28,393","27,893","28,827","30,926","28,879","29,534","31,359","34,381","29,323","28,746","31,696","33,175",
"84","[P]","NHN Corporation","29,920","30,852","32,686","31,230","33,517","33,244","32,366","32,255","32,523","32,972","33,201","33,332","32,766","33,672","33,080",
"85","[P]","Everyday Health","18,205","17,282","17,371","17,656","28,954","28,112","29,896","29,303","24,597","27,280","27,928","27,077","25,189","24,473","33,070",
"86","[P]","EA Online","25,117","26,316","26,389","29,243","30,464","29,998","33,118","29,355","29,857","30,451","31,481","31,681","37,185","34,737","32,465",
"87","[P]","iVillage.com: The Womens Network","27,567","29,110","29,937","29,195","30,384","29,475","30,632","31,733","30,550","32,872","33,367","33,211","30,121","30,960","32,409",
"88","[P]","Nokia","34,511","33,582","34,116","36,960","36,092","34,501","36,264","32,840","36,471","39,352","33,937","29,132","31,391","31,344","31,854",
"89","[P]","Comment Ca Marche","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22,270","25,101","26,875","27,690","29,841","30,287","31,202","31,681",
"90","[P]","DIGG.COM","15,139","16,461","15,777","15,448","16,264","16,847","17,739","19,576","19,235","21,241","23,113","24,867","24,075","26,100","31,188",
"91","[P]","MercadoLibre","29,442","31,549","31,510","32,586","34,259","31,881","34,563","34,386","36,607","38,676","33,934","33,299","31,781","31,297","31,075",
"92","[P]","Kuaiche.com Sites","25,903","34,610","41,429","40,622","40,755","41,568","39,475","36,773","37,480","37,500","34,632","29,931","28,132","29,602","31,058",
"93","[P]","Mail.Ru Sites","16,350","25,246","26,016","26,647","28,430","28,130","30,423","30,449","28,326","30,175","30,351","29,230","30,083","29,432","30,990",
"94","[P]","AT&T Interactive Network","25,349","25,631","27,751","24,461","36,236","34,968","35,627","37,476","34,627","35,163","32,972","30,805","30,250","30,752","30,960",
"95","[P]","Otto Gruppe","31,478","33,350","30,771","31,298","32,508","33,693","35,235","33,452","29,831","32,206","29,876","28,693","27,449","31,653","30,914",
"96","[P]","Yandex","17,629","23,953","25,773","25,922","33,195","39,259","28,702","28,475","27,134","28,664","28,946","28,617","25,117","28,589","30,497",
"97","[P]","eMule (App)","31,080","35,366","39,401","39,556","38,931","38,443","38,116","36,633","35,795","36,336","35,855","34,282","32,572","31,069","30,466",
"98","[P]","OnLine eXchange","9,000","10,974","11,303","12,321","11,211","9,890","10,401","14,147","16,146","21,519","23,457","25,853","26,672","29,392","30,383",
"99","[P]","Livedoor Co.,Ltd.","30,197","32,601","31,033","30,141","29,551","27,968","26,550","27,823","26,117","28,250","27,626","27,874","31,418","29,783","30,367",
"100","[P]","360.CN","16,047","28,428","29,100","30,037","28,396","28,544","34,423","31,799","29,575","22,597","17,162","14,033","26,458","31,351","30,307",
"101","[P]","Verizon Communications Corporation","27,652","27,608","26,752","25,675","26,205","26,674","30,125","31,013","26,871","32,345","31,058","30,187","30,972","30,554","30,244",
"102","[P]","MININOVA.ORG","18,457","18,556","19,216","18,450","20,744","21,574","23,132","25,383","26,184","29,420","29,719","30,886","29,221","32,158","30,242",
"103","[P]","International Data Group","32,274","32,958","34,653","35,666","35,693","37,656","40,039","40,916","30,329","33,196","29,895","30,313","29,537","31,887","30,034",
"104","[P]","Priceline.com Incorporated","20,577","23,263","20,074","17,893","18,311","16,632","16,519","20,542","22,315","26,113","25,617","25,057","26,551","31,931","29,928",
"105","[P]","Dell","26,530","28,035","26,936","26,591","27,620","28,002","28,973","28,112","25,806","29,200","27,786","25,538","26,885","28,615","29,733",
"106","[P]","Iliad - Free.fr Sites","27,887","25,301","23,401","26,343","29,070","28,685","28,084","28,604","32,196","34,041","33,861","33,099","31,027","29,862","29,489",
"107","[P]","Jango Music Network","N/A","N/A","N/A","N/A","N/A","11,318","17,772","16,694","19,022","20,385","20,246","32,325","30,701","32,595","29,125",
"108","[P]","Groupe PPR","29,760","28,725","27,378","27,675","29,518","30,639","33,623","31,840","31,307","31,895","32,726","29,153","28,936","27,143","29,020",
"109","[P]","Nifty Corporation","26,196","26,449","26,551","26,679","26,654","25,864","25,551","27,337","25,347","25,974","26,105","26,933","28,240","28,310","28,515",
"110","[P]","GMO Internet Group","27,581","27,114","26,419","27,010","26,148","26,960","27,007","28,088","26,138","27,487","27,566","27,435","29,335","28,725","28,494",
"111","[P]","Grupo Intercom","26,721","26,086","25,986","28,578","29,317","24,588","13,522","15,068","16,836","19,577","19,278","20,468","25,822","28,260","28,385",
"112","[P]","Shopzilla.com Sites","32,003","32,329","31,798","33,152","34,291","35,395","41,546","34,779","30,380","31,072","30,222","27,740","25,688","28,223","28,293",
"113","[P]","ProSiebenSat1 Sites","20,654","22,439","21,996","22,588","23,825","24,956","29,315","29,787","29,572","31,304","28,626","29,147","28,289","27,609","28,181",
"114","[P]","CyberAgent","21,149","22,628","22,655","22,325","22,612","22,914","23,344","24,059","23,792","25,326","24,986","25,686","28,617","27,335","27,643",
"115","[P]","RAPIDLIBRARY.COM","2,584","3,917","4,619","4,862","967","5,085","7,859","10,167","12,663","16,036","17,184","21,104","21,192","25,551","27,573",
"116","[P]","Vodafone Group","31,423","30,745","27,524","26,819","27,617","26,362","28,189","25,541","25,201","25,878","23,268","25,772","23,057","28,715","27,481",
"117","[P]","Craveonline","21,379","22,278","22,996","20,000","21,349","21,348","23,311","24,976","24,410","25,834","28,312","29,561","28,917","34,317","27,358",
"118","[P]","ARTISTdirect Network","44,271","43,892","41,478","42,479","40,923","37,721","36,834","34,752","35,311","36,485","37,465","30,942","27,599","28,450","27,289",
"119","[P]","United-Internet Sites","24,700","24,873","24,093","24,359","26,522","24,554","25,668","25,576","26,094","28,884","27,729","26,491","27,225","26,995","27,195",
"120","[P]","UOL","21,543","25,002","25,819","25,687","25,498","25,355","26,725","26,051","25,936","27,668","27,745","27,624","27,501","27,055","27,173",
"121","[P]","Superpages.com Network","38,359","33,974","33,847","32,280","33,568","32,400","32,630","35,514","31,982","33,741","31,740","28,743","28,714","27,228","27,131",
"122","[P]","Gameforge Sites","19,591","21,557","28,178","24,813","27,044","28,157","23,600","30,356","33,585","25,555","25,734","29,696","29,791","31,041","27,049",
"123","[P]","NBC Universal","23,817","20,308","23,851","21,831","32,014","23,791","23,289","27,112","25,785","26,011","28,867","24,725","27,410","27,203","26,863",
"124","[P]","Hi-Media Group","29,244","28,930","27,882","25,939","26,005","25,851","26,440","25,269","25,057","28,092","27,697","28,439","27,165","28,505","26,731",
"125","[P]","auFeminin Group","16,325","16,300","15,305","16,911","17,390","18,394","19,917","22,064","23,608","25,556","25,774","25,670","25,477","27,268","26,712",
"126","[P]","AmericanGreetings Property","30,994","31,169","30,380","29,388","32,028","30,982","34,701","30,497","31,575","31,706","34,253","31,505","28,071","28,205","26,401",
"127","[P]","SNDA Sites","8,295","24,762","18,843","18,916","18,752","21,162","19,832","13,968","13,940","16,087","18,728","15,567","21,729","21,993","26,380",
"128","[P]","Arcandor AG","32,053","35,792","38,013","38,027","38,729","36,806","37,457","37,811","36,614","37,614","36,387","33,567","30,423","30,149","26,141",
"129","[P]","LIMEWIRE.COM","27,658","25,069","22,565","24,253","24,752","23,487","22,726","20,514","21,750","30,612","31,510","24,720","24,059","24,308","26,056",
"130","[P]","Reed Business Information","20,037","20,376","20,874","22,847","24,103","24,032","22,239","25,551","26,250","28,033","25,767","23,891","22,178","24,852","25,917",
"131","[P]","RTL Group Sites","17,209","18,017","17,321","16,769","17,560","17,385","17,457","22,130","22,368","23,491","24,510","25,546","24,306","25,619","25,648",
"132","[P]","Target Corporation","27,222","27,769","28,995","27,001","29,178","37,192","42,694","27,497","25,840","26,862","25,953","25,882","24,393","26,080","25,606",
"133","[P]","NETLOG.COM","15,930","18,151","20,961","21,848","22,003","21,177","20,534","19,825","23,066","23,009","23,815","22,939","23,073","24,229","25,592",
"134","[P]","Verlagsgruppe Georg von Holtzbrinck","23,955","25,007","25,965","27,350","28,563","28,081","27,167","27,248","27,801","28,856","27,635","25,943","25,989","25,052","25,445",
"135","[P]","Chinabyte Technology Co.","7,495","16,017","22,385","24,686","27,329","23,554","21,722","21,676","20,252","18,902","15,683","14,332","17,955","23,587","25,428",
"136","[P]","Bank of America","24,519","24,602","26,042","24,987","26,565","26,127","27,886","27,137","26,479","27,362","26,979","26,371","25,267","25,995","25,213",
"137","[P]","Gannett Sites","24,687","24,037","25,875","25,495","26,383","24,656","24,398","25,981","26,703","25,142","25,624","24,359","22,718","24,495","24,973",
"138","[P]","Xinhua News Agency","17,234","22,338","29,322","30,238","26,759","27,008","27,480","23,322","27,861","27,906","24,271","20,722","22,001","23,699","24,949",
"139","[P]","Maktoob Group","6,529","6,911","7,220","7,305","7,366","7,584","7,639","8,628","24,776","27,260","25,369","24,268","22,652","23,629","24,825",
"140","[P]","PCPOP Sites","11,366","17,961","24,819","26,359","26,779","22,469","24,516","21,110","24,262","22,640","22,889","19,617","21,750","23,265","24,396",
"141","[P]","SourceForge","19,049","19,525","20,509","19,989","20,549","21,784","21,213","22,800","23,521","25,841","24,018","23,936","24,178","24,592","23,974",
"142","[P]","MEGAVIDEO.COM","9,246","11,970","18,692","25,573","18,900","21,377","21,901","21,689","18,973","20,595","22,554","23,948","22,577","23,576","23,837",
"143","[P]","KAIXIN001.COM","N/A","N/A","3,202","5,503","5,915","7,815","7,454","7,367","6,801","8,336","10,553","12,367","18,043","18,570","23,663",
"144","[P]","AT&T, Inc.","28,879","29,691","28,836","30,216","22,223","25,373","28,036","25,083","22,240","22,620","23,875","22,247","23,172","23,593","23,461",
"145","[P]","GiantRealm","12,414","13,138","13,483","11,487","13,125","14,965","15,590","16,355","11,630","12,282","11,425","18,516","24,600","23,815","23,433",
"146","[P]","Buzz Media","15,388","16,220","19,270","17,828","20,177","19,801","22,344","21,175","20,068","22,271","21,579","21,482","21,075","23,447","23,416",
"147","[P]","WebMD Health","22,910","22,286","22,457","22,654","24,372","23,133","21,980","26,621","24,839","27,572","27,065","25,699","23,006","23,575","23,383",
"148","[P]","4399.COM","6,421","12,517","20,077","19,710","18,438","16,529","16,282","21,818","19,439","17,915","17,622","15,412","15,238","21,135","23,266",
"149","[P]","Sakura Internet","20,160","19,864","18,476","18,846","20,355","21,529","21,167","21,618","20,683","22,079","21,549","22,345","22,314","21,945","23,252",
"150","[P]","Hearst Digital Media (w/ history)","15,720","15,608","15,193","16,351","20,630","19,297","21,091","20,316","19,870","21,318","20,797","24,072","21,703","22,137","23,163",
"151","[P]","Alloy Digital Network","10,779","10,028","10,725","11,237","10,386","9,353","9,840","9,762","10,013","9,210","14,147","14,644","21,527","24,599","23,145",
"152","[P]","Discovery Digital Media Sites","20,863","19,300","18,719","20,451","21,823","20,116","22,277","24,456","23,240","24,329","25,435","27,403","22,808","22,233","23,026",
"153","[P]","SCHIBSTED Group","21,218","20,367","19,154","20,261","20,629","19,841","19,593","21,361","21,552","22,966","23,370","22,208","22,144","23,529","23,013",
"154","[P]","TravelAdNetwork","20,332","20,013","19,019","19,204","17,648","17,435","17,684","19,323","19,633","20,331","19,439","19,175","19,423","20,813","23,007",
"155","[P]","Grupo Brasil Telecom","14,705","17,060","17,699","17,720","17,447","17,502","18,897","17,475","14,490","20,301","19,852","19,489","19,343","20,877","22,639",
"156","[P]","Sun Microsystems, Inc.","21,029","23,243","23,581","22,379","22,512","22,002","24,713","24,834","22,446","27,286","26,904","22,618","21,878","21,277","22,556",
"157","[P]","Skyrock","21,041","20,116","18,850","17,220","18,801","19,742","18,366","18,023","20,660","22,732","22,991","24,544","24,019","23,224","22,460",
"158","[P]","Hubert Burda Media","4,782","4,745","5,297","5,170","7,831","7,656","17,160","19,019","18,174","20,197","18,587","18,742","17,980","22,466","22,235",
"159","[P]","V-Kontakte","9,235","14,752","16,619","17,272","18,835","19,240","20,316","20,551","18,513","19,609","19,668","20,312","21,420","20,436","22,108",
"160","[P]","QIANQIAN.COM","2,643","6,633","7,917","8,944","8,995","12,628","14,273","12,552","15,152","19,715","18,597","15,198","18,205","21,979","22,083",
"161","[P]","SkyCN","12,527","22,107","24,279","22,523","24,225","22,437","22,729","19,925","21,882","21,290","18,264","17,166","19,504","25,366","22,015",
"162","[P]","Best Buy Sites","17,361","16,120","16,894","15,769","16,058","28,543","35,680","23,915","21,919","20,867","20,255","19,782","20,216","21,175","21,931",
"163","[P]","Citigroup","22,307","22,796","23,028","21,600","21,376","21,465","21,819","19,833","20,604","21,736","21,891","20,144","20,226","19,743","21,464",
"164","[P]","Axel Springer AG","14,047","13,825","15,074","15,786","15,814","16,256","18,010","19,556","19,788","20,877","19,659","20,894","19,770","21,011","21,343",
"165","[P]","Conde Nast Digital","22,269","21,532","21,325","21,624","23,780","23,987","25,029","22,887","22,244","24,061","23,886","22,640","21,259","23,372","21,326",
"166","[P]","TARINGA.NET","7,209","7,376","8,270","8,961","10,596","10,528","11,288","12,270","13,555","16,524","17,820","19,608","19,546","20,285","21,268",
"167","[P]","CareerBuilder LLC","24,453","25,425","23,506","26,794","26,816","21,423","19,994","28,754","24,203","25,942","26,875","23,809","24,042","23,089","21,219",
"168","[P]","Kingsoft Corp","16,384","19,674","19,907","21,212","20,307","18,454","17,173","12,945","13,611","18,063","17,084","14,725","21,950","20,555","21,191",
"169","[P]","NEC Corporation","20,507","20,856","20,782","20,925","19,506","19,189","18,448","19,224","19,235","20,271","19,244","19,614","21,074","20,821","21,115",
"170","[P]","Samsung Group","15,561","17,773","18,354","17,995","17,128","21,244","25,060","16,662","16,193","16,503","17,213","19,583","18,594","19,220","21,096",
"171","[P]","Organizacoes Globo","14,750","17,788","19,416","19,671","19,225","18,833","19,671","20,455","20,356","22,127","21,193","20,599","20,330","19,543","21,020",
