"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: April 2012 - June 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 7/18/2013","","","","","",""

"","","","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013"
"22","[C]","    Yahoo! Dictionary","7,370","7,457","6,826","6,825","6,478","6,424","6,519","5,881","4,875","4,988","4,327","4,643","3,768","3,795","3,805"
"23","[P]","    LEXILOGOS.COM","5,161","5,509","4,942","4,308","3,873","4,195","4,265","4,277","4,428","4,343","3,908","4,105","3,817","4,117","3,706"
"24","[P]","    5156EDU.COM","1,772","1,662","1,776","1,573","1,712","1,897","2,114","2,268","2,199","2,159","1,486","2,438","3,777","4,211","3,652"
"25","[M]","    WER-WEISS-WAS.DE","5,130","5,687","5,155","5,186","4,904","4,439","4,850","4,802","4,364","5,104","4,273","4,495","3,564","3,316","3,075"
"26","[M]","    LAROUSSE.FR","2,366","2,465","2,167","1,744","1,793","2,512","3,120","3,225","3,255","3,346","3,303","3,738","3,510","3,633","3,037"
"27","[P]","    SCIELO.BR","2,342","2,482","1,864","1,261","1,934","2,217","2,354","2,384","1,491","1,410","2,151","3,343","3,361","3,168","3,001"
"28","[P]","    COINMILL.COM","1,930","2,251","2,087","2,057","1,897","1,668","1,971","2,309","2,141","2,433","2,473","2,570","2,544","2,717","2,931"
"29","[C]","    Naver.com Knowledge iN","12,766","13,044","11,704","11,097","10,516","10,054","10,090","9,149","8,618","9,424","3,095","2,995","2,757","3,132","2,827"
"30","[P]","    CONSUMERREPORTS.ORG","2,163","2,411","2,288","2,300","2,770","2,918","3,141","3,702","3,181","3,281","3,015","2,710","2,742","2,817","2,780"
"31","[P](U)","    POEMHUNTER.COM","2,966","3,344","2,505","2,216","2,264","2,706","3,340","3,271","3,111","3,417","3,672","3,609","3,791","3,640","2,724"
"32","[C](U)","    ANSWERBAG.COM*","4,270","4,753","3,591","3,393","3,905","3,797","4,153","3,937","4,056","4,405","4,090","4,365","4,170","3,140","2,436"
"33","[P]","    DEFINICION.DE","2,415","3,007","2,360","1,655","2,959","3,391","3,680","3,251","1,474","2,099","2,845","2,771","3,113","3,040","2,387"
"34","[P]","    IXL.COM","3,552","3,133","2,545","2,451","2,317","3,075","3,658","3,692","2,760","3,601","3,424","3,386","3,277","3,045","2,326"
"35","[P]","    UN.ORG","2,187","2,699","2,159","1,688","1,821","2,578","2,629","2,802","2,175","2,354","2,184","2,993","2,750","2,720","2,195"
"36","[P]","    BIBLIOTEKAR.RU","2,039","2,442","1,851","1,152","1,078","2,135","2,727","2,387","2,670","2,436","2,313","2,581","2,674","2,559","2,069"
"37","[P]","    SO100.CN","144","293","724","703","873","943","861","1,062","1,317","1,226","546","1,026","1,572","1,841","1,991"
"38","[P]","    WORLDCAT.ORG","2,315","2,179","1,686","1,866","1,641","2,295","2,546","2,455","2,361","2,448","2,512","2,763","2,486","2,187","1,934"
"39","[C]","    Naver.com Dictionary","5,294","5,709","5,393","5,145","4,746","4,981","4,367","4,594","4,500","3,807","1,375","1,941","1,915","2,082","1,841"
"40","[P]","    TRANSLATED.NET","1,067","1,347","1,382","1,295","1,317","1,556","1,707","1,932","1,844","2,145","1,821","2,144","2,036","1,967","1,795"
"41","[P]","    MIRSOVETOV.RU","2,242","2,338","2,173","2,049","2,083","1,980","2,304","2,224","2,373","2,288","2,094","2,267","1,937","1,837","1,751"
"42","[P]","    ITUSOZLUK.COM","3,422","3,611","3,033","2,661","2,931","2,842","2,652","2,724","2,584","2,552","1,863","1,996","1,979","1,956","1,706"
"43","[P]","    TURNITIN.COM","2,564","2,427","1,387","932","1,551","2,852","3,660","3,316","2,971","2,370","2,941","3,668","3,882","3,391","1,653"
"44","[M]","    WEBOPEDIA.COM","1,569","1,512","1,329","1,475","1,431","1,773","1,601","1,515","1,314","1,428","1,388","1,678","1,808","1,832","1,622"
"45","[P]","    BIOGRAFIASYVIDAS.COM","2,420","2,898","2,102","1,512","2,056","2,663","2,684","2,284","1,068","1,379","1,556","1,914","2,116","2,125","1,459"
"46","[P]","    ONLINECONVERSION.COM","1,601","1,987","1,730","1,513","1,402","1,508","1,618","1,402","1,485","1,660","1,621","1,764","1,993","1,677","1,433"
"47","[P]","    THINKEXIST.COM","5,079","5,355","4,694","3,721","3,577","3,728","3,457","2,881","2,625","2,353","2,206","2,286","2,007","1,698","1,316"
"48","[P]","    TURKCEBILGI.COM","2,616","2,312","1,407","1,313","1,249","1,660","2,175","2,247","2,004","1,819","1,584","1,915","2,037","1,943","1,228"
"49","[P]","    ACRONYMFINDER.COM","1,852","1,869","1,788","1,560","1,882","1,873","1,683","1,497","1,347","1,571","1,342","1,528","1,585","1,334","1,223"
"50","[P]","    CALEND.RU","1,768","1,475","1,349","1,048","1,187","1,528","1,577","1,515","1,150","1,155","1,169","1,186","1,219","1,280","1,222"
"51","[P]","    MIJNWOORDENBOEK.NL","1,246","1,205","1,105","914","781","1,141","1,165","1,187","1,222","1,266","1,032","1,174","1,091","1,239","1,160"
"52","[P]","    NOLO.COM","572","735","648","742","614","692","844","695","949","1,016","998","1,216","1,075","1,170","1,158"
"53","[P]","    ARABIC-KEYBOARD.ORG","1,297","1,413","1,305","1,148","1,065","1,008","1,185","1,151","1,201","1,241","1,391","1,117","1,239","1,182","1,105"
"54","[P]","    TRANSLIT.RU","1,408","1,322","1,203","1,205","1,159","1,374","1,500","1,540","1,595","1,364","1,177","1,280","1,148","1,219","1,105"
"55","[P]","    PEOPLES.RU","2,039","1,884","1,521","1,183","1,045","1,278","1,411","1,320","1,330","1,254","1,209","1,260","1,300","1,303","1,092"
"56","[P]","    ASKMEHELPDESK.COM","2,354","2,310","2,766","2,780","2,177","1,982","1,858","1,659","1,455","1,478","1,194","1,389","1,190","1,137","1,073"
"57","[P]","    KLERK.RU","1,367","1,186","991","997","895","937","1,203","1,108","1,212","1,429","1,311","1,362","1,423","1,137","1,058"
"58","[P]","    PWN.PL","947","1,106","954","592","573","933","1,112","1,088","981","1,250","1,004","1,056","1,060","1,106","1,054"
"59","[P]","    GUNS.RU","2,202","2,135","1,904","1,911","2,047","1,922","2,116","1,957","2,128","2,148","1,808","1,710","691","1,045","1,041"
"60","[P]","    ANGLAISFACILE.COM","1,193","1,686","1,276","835","665","1,241","1,329","1,247","1,208","1,366","1,281","1,116","1,129","1,104","1,023"
"61","[P]","    BOOKZ.RU","1,066","1,252","1,255","1,169","1,154","1,313","1,375","1,257","1,222","1,378","1,327","1,331","1,239","1,125","1,017"
"62","[P]","    ENGLISCH-HILFEN.DE","1,066","1,318","964","598","603","1,008","1,106","1,221","1,125","1,054","1,115","1,194","1,213","1,304","1,008"
"63","[P]","    SMARTDRAW.COM","1,115","1,184","1,070","1,051","1,056","972","1,250","1,171","929","1,023","998","1,136","1,041","1,093","965"
"64","[P]","    ArticlesBase.com Sites","1,327","1,553","1,325","1,037","1,221","1,354","1,379","1,385","1,064","1,086","1,222","1,593","1,464","1,226","956"
"65","[P]","    PHRASES.ORG.UK","976","979","984","854","944","913","1,080","698","974","1,055","1,075","1,010","1,070","988","918"
"66","[P]","    ALC.CO.JP","1,194","1,230","1,215","1,205","984","1,039","1,025","970","990","1,059","890","888","870","1,027","911"
"67","[P]","    DEXONLINE.RO","656","822","728","601","583","757","897","886","821","950","948","1,017","950","948","884"
"68","[P]","    SERIALSSOLUTIONS.COM","1,451","1,136","855","933","978","1,203","1,718","1,558","1,087","1,212","1,460","1,536","1,645","1,200","881"
"69","[P]","    MOREWORDS.COM","963","825","698","657","567","784","909","920","881","1,120","979","1,126","1,091","981","869"
"70","[P]","    123HELPME.COM","1,651","1,903","1,066","701","741","1,426","1,757","1,899","1,442","1,282","1,522","1,901","1,744","1,556","864"
"71","[P](U)","    ALTALEX.COM","347","369","863","812","538","824","977","968","817","984","864","902","874","861","823"
"72","[P]","    VERTALEN.NU","766","811","785","627","632","720","797","752","802","791","688","827","718","766","820"
"73","[P]","    SLD.CU","1,316","1,592","1,156","894","971","988","1,181","1,112","721","736","859","928","1,059","1,025","808"
"74","[P]","    Farlex.com Sites","1,247","1,317","939","815","3,306","867","891","822","888","892","1,220","1,545","1,780","1,180","768"
"75","[P]","    EMERALDINSIGHT.COM","1,162","982","670","577","718","903","1,213","1,217","1,085","926","853","1,211","1,030","989","764"
"76","[P]","    BUSINESSBALLS.COM","869","1,065","842","676","673","778","877","774","924","975","700","840","771","817","733"
"77","[P]","    SYNONYMES.COM","690","856","641","473","453","697","684","823","640","697","841","839","805","797","726"
"78","[P]","    THAIGOODVIEW.COM","523","910","1,136","1,246","1,038","1,159","690","1,002","974","1,139","880","488","325","513","709"
"79","[P]","    HONEYWELL.COM","688","659","539","698","533","609","807","553","656","771","720","757","625","728","702"
"80","[P]","    OMNIGLOT.COM","670","650","682","588","552","605","703","667","768","740","655","816","760","675","674"
"81","[P]","    QUECHOISIR.ORG","520","512","637","593","507","628","861","774","788","648","862","786","702","647","663"
"82","[M]","    QUIBBLO.COM","1,296","1,511","1,370","1,479","1,341","1,414","1,211","1,102","999","992","754","1,043","1,862","802","662"
"83","[P]","    BNF.FR","671","706","458","427","481","581","813","810","835","866","740","812","768","808","639"
"84","[P]","    GOGEN-ALLGUIDE.COM","575","575","600","644","640","667","596","601","551","706","498","583","517","508","637"
"85","[P]","    ZARGAN.COM","858","777","632","579","576","645","770","782","799","745","627","710","660","697","632"
"86","[P](u)","    QUESTIA.COM","1,386","1,102","751","587","563","812","910","935","698","736","1,007","1,081","1,116","839","623"
"87","[P]","    ENGLISHPAGE.COM","593","723","684","408","439","673","805","837","644","639","751","755","855","764","614"
"88","[P]","    SCIELO.CL","919","1,084","759","635","668","829","861","877","556","505","463","607","721","729","607"
"89","[P]","    VDICT.COM","1,102","956","856","847","845","774","798","696","592","689","500","710","661","643","595"
"90","[P]","    ALDEBARAN.RU","1,006","1,123","1,058","1,049","1,046","989","1,049","997","884","1,140","861","815","703","669","594"
"91","[C]","    LIBRARYTHING.COM","476","438","525","356","546","486","528","502","421","497","552","624","628","553","591"
"92","[P]","    BrainPOP","1,071","1,122","578","336","697","1,205","1,489","1,249","1,135","1,179","1,349","1,335","1,347","1,357","578"
"93","[P]","    INGENTACONNECT.COM","810","579","511","616","516","556","714","617","697","569","792","863","815","651","574"
"94","[P]","    REPEC.ORG","709","508","430","431","428","494","783","660","649","691","563","704","775","734","567"
"95","[P]","    BIREME.BR","304","364","261","169","242","309","314","317","171","166","264","402","527","574","528"
"96","[P]","    SOZLUK.NET","873","820","644","572","547","678","732","777","763","879","685","806","683","773","521"
"97","[P]","    OCLC.ORG","346","325","259","336","342","441","422","371","407","504","631","711","510","538","511"
"98","[P]","    WISSEN.DE","237","338","244","201","145","247","349","392","370","562","521","499","532","508","504"
"99","[P]","    SACRED-TEXTS.COM","563","483","429","482","485","503","552","511","556","499","509","491","521","521","485"
"100","[P]","    AIES.CN","151","185","162","207","234","274","292","293","327","337","250","330","468","529","483"
"101","[P]","    SPISHY.RU","1,845","1,612","282","125","259","2,970","2,899","2,773","2,955","2,549","2,576","2,013","2,544","1,853","462"
"102","[P]","    TRADUCEGRATIS.COM","823","826","756","733","659","759","748","818","647","655","514","652","589","556","454"
"103","[P]","    ONELOOK.COM","438","420","306","382","300","459","430","491","406","395","342","414","312","447","450"
"104","[P]","    POETS.ORG","745","665","428","317","359","485","585","603","616","583","639","768","829","671","439"
"105","[P]","    WEBELEMENTS.COM","345","345","364","168","245","675","858","820","506","665","604","575","531","480","437"
"106","[P]","    MANSIONINGLES.COM","488","545","505","385","360","432","539","475","322","349","463","351","419","534","418"
"107","[P]","    USHISTORY.ORG","499","452","436","291","355","597","840","662","608","625","609","572","612","597","410"
"108","[P]","    MIRSLOVAREI.COM","761","753","390","219","208","574","852","633","594","331","295","280","422","523","407"
"109","[P]","    DICOCITATIONS.COM","789","1,101","882","622","639","700","531","552","755","630","530","515","439","427","405"
"110","[P]","    EGO4U.DE","317","478","337","122","148","347","345","421","358","348","332","412","489","424","401"
"111","[P]","    ACTUALICESE.COM","724","750","545","521","441","407","470","429","304","446","478","503","583","574","397"
"112","[P]","    TRANSLATE.PL","665","804","629","502","468","587","639","532","446","532","481","472","420","380","384"
"113","[M]","    CODEGURU.COM","690","828","570","556","465","472","620","468","507","408","413","507","442","460","382"
"114","[C]","    Voila.fr Translation","226","328","348","259","257","319","292","305","315","449","371","447","273","340","377"
"115","[P]","    QURANEXPLORER.COM","451","526","539","682","565","341","358","351","369","420","358","423","431","395","363"
"116","[P]","    KDD.CC","237","208","245","205","229","244","199","259","281","229","154","265","318","401","352"
"117","[P]","    UNIVERSALIS.FR","728","728","437","258","238","459","636","610","647","604","712","730","659","577","346"
"118","[P]","    NOTAIRES.FR","309","262","295","305","243","392","400","406","279","358","344","448","293","598","339"
"119","[P]","    STARS21.COM","507","519","486","463","375","417","584","457","497","439","360","395","342","354","338"
"120","[P]","    STROYPORTAL.RU","451","455","475","469","508","467","482","454","428","431","468","470","415","368","332"
"121","[P]","    JEWISHVIRTUALLIBRARY.ORG","445","621","394","283","367","521","472","511","528","518","482","644","514","520","329"
"122","[P]","    NYPL.ORG","320","334","254","367","273","312","306","268","325","353","240","265","321","269","328"
"123","[P]","    OSZK.HU","241","356","314","249","287","365","439","435","418","482","426","471","411","395","320"
"124","[P]","    ENERGYGUIDE.COM","814","769","879","998","910","926","830","841","736","934","587","418","472","409","304"
"125","[P]","    LEXICOOL.COM","426","394","342","304","265","336","354","331","334","342","265","318","278","322","290"
"126","[P]","    SLOVO.WS","979","966","142","64","143","1,776","1,739","1,466","1,542","1,388","1,385","1,374","1,567","1,136","288"
"127","[P]","    EVERYTHING2.COM","327","423","356","393","322","276","324","290","314","380","348","429","455","305","287"
"128","[P]","    ERUDITION.RU","419","511","209","76","91","300","488","448","588","390","345","364","477","592","283"
"129","[P]","    HOWTODOTHINGS.COM","957","924","810","661","637","833","727","724","541","484","477","602","378","423","282"
"130","[P]","    MYDICT.COM","336","397","311","294","339","325","287","381","327","288","317","273","277","272","277"
"131","[P]","    MORFIX.CO.IL","4","3","5","44","340","337","354","364","349","309","230","265","297","253","271"
"132","[P]","    PSICOLOGIA-ONLINE.COM","392","466","416","261","313","353","374","341","200","267","300","365","392","335","262"
"133","[P]","    KWINTESSENTIAL.CO.UK","498","599","493","340","356","630","455","465","389","271","359","401","425","441","245"
"134","[P]","    DEFINICION.ORG","387","437","328","231","373","380","334","291","147","229","271","284","359","364","239"
"135","[P]","    POEMSOURCE.COM","363","660","385","233","267","219","251","354","375","258","349","184","151","205","229"
"136","[P]","    NEWWORLDENCYCLOPEDIA.ORG","515","606","363","300","278","471","538","498","414","358","361","478","419","265","224"
"137","[P]","    INFORMATIONSARCHIV.NET","354","336","246","245","311","324","191","286","276","321","269","255","239","266","222"
"138","[P]","    ALA.ORG","294","297","278","242","160","260","300","277","244","373","299","376","372","229","217"
"139","[P]","    WWWW4.COM","375","477","250","87","119","298","304","304","459","315","290","308","364","295","210"
"140","[P]","    NOODLETOOLS.COM","437","475","199","61","114","419","446","500","404","365","423","505","634","597","207"
"141","[P]","    U-S-HISTORY.COM","357","463","226","143","132","328","380","333","431","324","393","462","455","382","204"
"142","[P]","    EXAMPLEESSAYS.COM","900","599","372","246","183","402","370","409","298","272","335","425","377","389","202"
"143","[P]","    THEOI.COM","338","360","211","234","256","299","237","263","171","261","316","303","234","285","202"
"144","[P]","    TOPLUMDUSMANI.NET","796","658","259","218","197","453","584","766","720","514","388","561","630","405","196"
"145","[P]","    ABIPUR.DE","171","266","190","46","85","167","160","255","243","222","220","261","306","266","194"
"146","[P]","    GEOGRAPH.ORG.UK","425","353","421","364","432","398","532","430","447","264","189","207","275","185","192"
"147","[P]","    CALCULATOR.COM","213","230","121","133","106","129","203","234","173","307","260","293","295","378","191"
"148","[P]","    FREEDICT.COM","234","187","217","203","205","192","165","156","156","200","135","152","143","175","189"
"149","[P]","    MEGAESSAYS.COM","457","641","310","224","199","491","511","430","413","396","425","555","471","318","187"
"150","[P]","    NCIKU.COM","235","158","119","167","167","158","196","181","217","275","203","225","224","174","172"
"151","[P]","    ARKITERA.COM","220","184","156","133","151","144","167","186","171","170","116","149","137","121","167"
"152","[P]","    EYEWITNESSTOHISTORY.COM","230","272","171","154","112","176","240","217","209","226","234","289","341","285","165"
"153","[C]","    BOOKFINDER.COM","356","331","326","245","323","336","335","290","225","383","189","301","205","204","164"
"154","[P]","    AMERICANRHETORIC.COM","264","188","142","88","137","219","150","193","113","260","143","168","144","143","162"
"155","[P]","    ZENO.ORG","191","193","184","140","112","161","207","238","196","238","195","199","154","180","158"
"156","[P]","    CUCUMIS.ORG","168","167","175","206","150","149","180","179","174","158","157","160","176","149","156"
"157","[P]","    YEMINLISOZLUK.COM","312","327","259","260","248","231","276","331","420","383","260","262","217","152","155"
"158","[P]","    FREELANG.NET","186","224","212","200","201","220","149","183","172","197","123","144","172","136","152"
"159","[M]","    Informit Network","174","225","206","256","235","244","213","367","280","271","292","309","277","243","145"
"160","[P]","    PANTHEON.ORG","243","229","153","205","116","178","218","176","137","173","210","220","156","175","138"
"161","[P]","    FRENCH-LINGUISTICS.CO.UK*","215","224","213","116","108","281","277","199","165","246","173","210","230","222","136"
"162","[P]","    INFOVISUAL.INFO","386","504","294","221","249","346","395","403","330","267","173","246","231","169","135"
"163","[P]","    IPL.ORG","290","253","148","173","98","221","211","251","187","240","249","269","184","360","132"
"164","[P]","    VICTORIANWEB.ORG","274","351","224","187","152","238","253","274","200","222","207","263","213","251","131"
"165","[P]","    WEBSTERS-ONLINE-DICTIONARY.ORG","426","422","307","365","381","347","322","50","117","94","55","95","74","66","130"
"166","[P]","    QUOTELAND.COM","227","250","199","201","213","183","154","143","181","143","187","120","145","109","124"
"167","[P]","    LUMINARIUM.ORG","181","218","170","88","107","156","163","230","157","181","186","134","125","172","121"
"168","[M]","    POETRY.COM","147","106","99","95","85","95","123","87","136","143","122","173","137","126","120"
"169","[P]","    WORDWEBONLINE.COM","149","142","116","102","108","122","156","115","159","206","101","128","113","142","120"
"170","[P]","    BIYOGRAFI.INFO","285","187","89","73","85","78","113","125","130","166","97","158","211","214","118"
"171","[P]","    MANAGEMENTHELP.ORG","178","272","277","129","158","198","228","202","154","162","207","295","220","148","115"
"172","[P]","    BrainyMedia Sites","188","212","153","165","130","154","137","134","104","142","138","202","160","132","106"
"173","[P]","    VISUALTHESAURUS.COM","246","196","180","164","285","178","213","224","200","217","206","215","283","178","105"
"174","[P]","    NATIVE-LANGUAGES.ORG","243","249","253","208","203","262","322","293","178","131","182","167","168","156","103"
"175","[P]","    JURIS.DE","96","164","148","126","84","145","91","148","150","163","146","70","88","127","101"
"176","[P]","    ELITESKILLS.COM","452","343","237","175","230","243","275","271","195","182","207","250","214","193","100"
"177","[P]","    WISDOMQUOTES.COM","262","222","283","178","154","81","91","91","171","81","79","63","77","51","98"
"178","[P]","    ALLGREATQUOTES.COM","349","581","357","190","298","378","303","330","246","172","181","249","200","254","97"
"179","[P]","    ARTCYCLOPEDIA.COM","260","212","125","96","167","171","232","181","158","182","129","158","175","98","97"
"180","[P]","    FOURMILAB.CH","117","216","161","149","166","293","207","228","173","157","166","170","196","152","97"
"181","[P]","    CUMMINGSSTUDYGUIDES.NET","278","322","161","116","109","276","263","294","183","256","212","144","151","152","93"
"182","[P]","    TDK.ORG.TR","58","55","34","39","28","51","65","52","79","108","85","85","56","60","91"
"183","[P]","    YOURCHILDLEARNS.COM","137","127","119","200","133","191","178","159","120","129","145","117","158","115","90"
"184","[P]","    ILMAINENSANAKIRJA.FI","93","127","95","81","101","102","106","123","84","109","88","115","92","66","90"
"185","[P]","    FAMOUSPOETSANDPOEMS.COM","562","611","285","321","268","302","404","294","294","158","187","241","188","260","90"
"186","[P]","    PLANETADISSER.COM","154","245","129","19","26","42","73","91","107","48","65","81","124","126","89"
"187","[P]","    DICTS.INFO","326","268","271","252","223","323","233","216","198","187","110","144","128","114","88"
"188","[P]","    LIB.OH.US","230","249","282","263","261","279","239","176","164","186","178","142","98","100","86"
"189","[P]","    GLOSSARY.RU","222","262","170","67","53","161","197","178","240","175","112","113","135","126","85"
"190","[P]","    LECTLAW.COM","158","183","147","99","110","102","102","127","87","86","107","98","76","117","78"
"191","[P]","    LOTSOFESSAYS.COM","407","488","282","150","176","225","365","403","191","168","171","238","168","118","78"
"192","[P]","    POEMOFQUOTES.COM","135","113","59","43","57","56","45","68","65","66","120","112","85","58","67"
"193","[P]","    LEXINTER.NET","375","155","192","154","70","136","125","164","150","172","194","134","101","58","63"
"194","[P]","    VITALREC.COM","96","181","96","143","137","72","110","74","112","71","107","79","86","74","63"
"195","[P]","    MOLWICK.COM","198","173","141","93","115","142","118","112","78","63","103","134","127","68","62"
"196","[P]","    TOPPRODUCT.NL","129","139","104","120","97","92","113","103","80","121","86","112","73","64","59"
"197","[P]","    ATLANTS.LV","166","163","86","37","43","97","118","110","123","119","101","131","127","143","58"
"198","[P]","    EPNET.COM","77","106","98","67","70","148","85","98","71","101","88","87","103","54","57"
"199","[P]","    NETPOETS.COM","88","88","57","31","47","50","94","46","53","32","44","57","46","25","56"
"200","[P]","    PETS4YOU.COM","100","122","107","58","94","83","89","96","72","61","74","90","75","47","54"
"201","[P]","    ACADEMON.COM","194","171","74","86","53","83","132","129","86","56","65","89","48","58","50"
"202","[P]","    ALLWORDS.COM","156","145","178","143","116","163","134","108","91","75","90","138","149","101","48"
"203","[P]","    ECHEAT.COM","137","244","107","70","62","83","145","158","163","103","139","191","216","113","47"
"204","[P]","    Antiqbook","76","77","55","44","64","65","76","67","89","62","82","93","58","69","47"
"205","[P]","    SOBRESITES.COM","60","72","44","35","51","45","31","24","23","29","62","55","61","61","45"
"206","[P]","    MADSCI.ORG","116","124","80","67","50","94","114","128","99","111","104","131","90","64","43"
"207","[P]","    BEST-LOVE-POEMS.COM","238","252","280","215","147","116","138","119","107","86","65","80","67","86","43"
"208","[P]","    ABCPEDIA.COM","190","273","192","101","148","155","186","136","79","64","52","49","36","66","40"
"209","[P]","    LKWDPL.ORG","76","84","45","30","23","79","47","76","68","60","123","111","51","52","39"
"210","[P]","    NORTHPOLE.COM","39","30","46","31","46","50","85","401","1,165","88","28","34","34","32","27"
"211","[P]","    SAIDWHAT.CO.UK","82","153","77","70","39","69","73","68","100","25","43","65","63","31","27"
"212","[P]","    DICODUNET.COM","123","96","67","31","N/A","66","65","86","61","94","50","55","62","34","23"
"213","[P]","    TRANSLATION-GUIDE.COM","66","85","71","61","30","81","59","39","31","52","28","41","58","28","21"
"214","[P]","    SEVGILIYE.COM","91","108","86","91","72","56","62","76","75","80","115","41","32","35","20"
"215","[P]","    LEARNENGLISH.ORG.UK","40","55","36","20","34","50","69","77","45","44","29","35","31","44","17"
"216","[P]","    WIKILEARNING.COM","440","532","382","243","307","343","360","301","179","194","221","216","237","239","15"
