"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: July 2011 - September 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 10/30/2012","","","","","",""

"","","","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012"
"167","[P]","    Symantec","28,704","30,475","31,778","33,160","32,154","32,596","34,281","31,220","32,324","29,688","28,606","28,133","28,176","27,101","28,170"
"168","[P](u)","    Ticketmaster","21,374","21,338","22,963","27,873","27,995","27,338","27,165","27,501","28,931","27,488","26,621","25,651","25,756","27,299","27,892"
"169","[P](u)","    Network 18","34,034","30,367","27,221","25,937","25,829","27,428","27,712","24,470","24,811","24,969","26,070","24,401","25,788","27,010","27,887"
"170","[P](U)","    LeGuide.com Sites","17,225","15,387","14,877","15,833","17,379","18,599","19,072","16,751","17,260","31,452","32,671","29,481","27,901","28,074","27,742"
"171","[P](U)","    AlloCine Sites","20,124","22,752","19,191","20,905","25,971","27,027","28,804","28,110","27,176","27,401","26,348","27,627","28,360","28,011","27,698"
"172","[P](u)","    Shopzilla.com Sites","36,605","38,783","38,741","43,104","44,306","44,161","40,800","33,705","33,017","31,434","31,219","28,121","29,973","27,524","27,468"
"173","[P]","    IKEA","21,616","24,279","23,915","24,555","25,428","24,911","27,734","24,973","24,627","23,150","22,933","22,860","25,057","26,892","27,375"
"174","[M]","    WEATHER.COM.CN","17,789","14,498","15,734","15,757","17,977","17,100","20,982","22,844","30,966","28,226","23,069","25,330","30,438","33,016","27,312"
"175","[P](u)","    Best Buy Sites","23,505","26,475","26,590","28,343","45,470","44,908","27,967","25,959","25,059","22,980","24,788","25,020","26,243","26,860","27,056"
"176","[P](u)","    RCS Media Group","19,084","19,728","21,610","28,869","29,309","26,949","31,003","29,734","29,846","29,548","30,166","28,071","25,387","25,266","26,966"
"177","[P](u)","    Iliad - Free.fr Sites","25,481","27,140","29,493","29,318","29,843","29,143","32,449","30,729","31,594","30,134","30,822","28,932","26,560","25,452","26,937"
"178","[P](U)","    CareerBuilder LLC","28,893","29,640","29,158","28,941","25,176","22,440","29,977","27,572","27,789","26,691","26,982","25,472","26,574","27,665","26,859"
"179","[P]","    Bank of America","26,843","26,220","25,151","26,377","25,412","24,831","25,069","24,158","24,150","23,247","23,368","23,792","25,177","26,668","26,714"
"180","[M]","    LETITBIT.NET (w/ history)","18,618","18,551","19,133","21,881","22,344","21,951","26,190","35,167","37,751","35,993","33,590","29,633","28,779","26,798","26,537"
"181","[P](u)","    Time Warner (Excl. Turner/WB)","41,270","38,369","39,730","39,341","38,805","37,628","38,260","35,586","36,936","37,316","38,331","37,608","25,171","27,106","26,373"
"182","[P](u)","    Reuters Sites","27,649","29,016","28,123","31,209","26,399","25,908","25,125","25,796","24,314","23,094","24,139","24,925","25,818","26,439","26,126"
"183","[P](U)","    Bestofmedia Group","26,239","26,489","26,649","27,530","28,263","28,805","28,962","26,501","26,309","25,244","25,916","25,297","25,125","25,903","26,126"
"184","[P]","    NIH","19,858","21,437","24,523","27,073","26,790","23,558","26,157","26,448","27,427","26,483","26,297","23,952","22,666","23,243","26,040"
"185","[P](u)","    Populis","15,891","13,632","20,228","21,623","21,368","22,576","24,427","23,374","23,042","25,108","25,363","23,380","25,007","26,781","25,838"
"186","[P]","    Verizon Communications Corporation","25,927","25,121","24,950","26,895","27,468","26,598","27,150","23,745","23,205","21,970","23,340","27,693","29,462","24,782","25,649"
"187","[P](u)","    Groupe TF1","22,455","23,183","24,320","25,517","23,818","24,218","26,532","24,514","26,056","24,800","26,456","25,541","24,437","26,172","25,555"
"188","[P]","    ARTISTdirect Network","22,324","22,682","23,386","24,360","24,025","24,046","24,319","24,019","25,776","25,833","28,068","27,925","26,146","24,390","25,506"
"189","[P]","    ProSiebenSat1 Sites","30,024","30,248","29,683","29,747","28,667","28,289","28,298","27,918","28,654","29,853","29,873","27,876","28,091","26,789","25,485"
"190","[P]","    GANJI.COM","26,797","28,394","24,063","26,674","25,197","25,463","19,973","23,487","27,543","24,345","21,379","21,421","26,610","26,034","25,349"
"191","[P]","    China Construction Bank","9,648","10,514","13,032","14,046","14,597","17,410","19,925","18,664","21,816","20,486","20,182","20,707","22,852","24,609","25,294"
"192","[P]","    WIKIHOW.COM","14,077","14,934","15,336","17,025","15,437","16,236","19,612","19,618","21,275","21,602","23,774","26,468","28,973","26,123","25,205"
"193","[P]","    Target Corporation","26,059","26,543","25,734","27,016","40,187","37,610","26,507","24,353","24,324","23,955","23,667","24,596","26,413","26,437","25,155"
"194","[P]","    BADOO.COM","28,249","32,526","33,884","36,217","34,208","32,212","31,195","30,696","34,406","36,944","36,492","25,868","26,473","25,429","25,108"
"195","[P](u)","    ValueClick Sites","17,994","19,623","21,266","23,679","24,461","23,488","24,407","23,663","24,807","23,242","24,319","24,430","24,945","25,515","25,054"
"196","[P]","    AT&T, Inc.","23,720","24,951","24,310","25,171","24,333","23,800","22,768","23,194","22,442","21,610","21,627","22,790","23,439","23,809","24,873"
"197","[P](u)","    Y8.COM","14,678","14,178","12,370","23,154","23,716","28,850","34,467","29,657","34,087","35,835","34,470","32,251","30,526","27,007","24,780"
"198","[P](u)","    Gorilla Nation (Evolve Media Corp)","40,806","40,700","31,657","30,867","28,835","31,358","33,698","23,585","24,807","25,558","26,766","25,622","26,287","24,311","24,562"
"199","[P]","    Hatena","19,449","20,616","22,060","23,706","23,254","22,901","24,806","24,085","25,461","23,787","25,676","23,200","25,468","24,923","24,393"
"200","[P]","    Rambler Media","23,294","22,623","23,213","25,891","26,155","28,568","23,077","23,754","24,431","23,099","23,662","23,783","23,047","22,724","24,378"
"201","[M]","    BITAUTO.COM","10,158","9,233","19,531","20,396","17,277","12,468","12,802","15,636","19,442","17,833","16,504","18,554","22,888","23,763","24,152"
"202","[P]","    Kakaku.com Inc.","21,432","21,909","22,576","23,563","23,314","24,143","24,737","23,550","25,629","23,601","24,171","23,799","24,745","24,311","24,037"
"203","[P]","    Gruner+Jahr Sites","21,511","21,736","22,393","24,917","23,949","25,751","27,045","25,856","24,112","23,862","25,536","24,636","22,097","23,350","23,768"
"204","[P]","    Dell","23,891","23,722","24,135","25,226","28,578","25,693","25,471","24,164","25,142","22,198","23,614","22,689","23,287","22,612","23,292"
"205","[P](u)","    Pearson Education","12,030","16,266","23,916","24,220","23,324","20,353","21,985","23,196","22,813","20,502","20,704","16,058","13,285","16,791","23,075"
"206","[P]","    Ctrip.com International","11,874","11,109","12,645","12,650","10,987","12,424","15,360","12,840","14,020","13,806","14,432","17,891","19,901","20,445","22,861"
"207","[P](u)","    CafeMom Network","25,245","28,464","26,305","21,880","24,056","23,356","25,042","25,559","23,608","23,848","23,478","23,239","25,234","24,897","22,713"
"208","[P]","    Samurai Factory Inc.","22,658","24,325","28,931","25,841","25,297","23,941","25,896","24,876","26,215","24,208","25,247","23,021","23,806","22,755","22,633"
"209","[P]","    JPMorgan Chase Property","21,677","21,687","21,646","23,432","22,994","22,111","21,124","20,477","20,684","20,309","19,809","20,148","21,559","22,749","22,586"
"210","[P]","    Sears Sites","21,737","22,664","23,579","25,758","35,381","34,684","23,380","22,473","23,110","22,167","22,646","22,034","22,865","22,857","22,512"
"211","[P]","    Xacti Corporation","17,704","19,918","20,901","18,718","15,641","16,314","17,339","16,466","18,788","19,121","18,859","17,200","19,252","20,319","22,482"
"212","[P](U)","    Nextag.com Sites","29,094","30,743","29,224","29,900","33,103","34,449","31,261","26,881","26,956","24,972","24,314","21,669","23,090","23,642","22,418"
"213","[P](U)","    PANDORA.COM","17,111","17,708","18,863","20,200","20,840","22,829","20,089","19,807","21,020","20,312","20,580","19,400","18,867","20,966","22,233"
"214","[P]","    NEC Corporation","21,179","22,964","22,299","23,209","22,554","21,930","23,771","22,904","24,485","22,700","24,713","23,946","23,125","23,213","22,176"
"215","[P](u)","    Hearst Corporation","22,488","25,997","27,414","26,833","25,427","24,057","26,007","19,324","21,690","21,668","23,206","22,755","20,768","21,792","22,175"
"216","[P]","    Excite Japan Sites","18,542","19,106","19,974","20,706","20,187","19,057","20,673","20,041","20,501","19,576","20,172","19,624","20,444","21,040","22,026"
"217","[P](u)","    Cox Enterprises Inc.","23,920","24,355","23,684","23,577","22,078","24,524","27,046","25,228","26,490","24,321","25,141","23,536","23,687","24,549","21,924"
"218","[P]","    CDC Corporation Sites","14,576","13,820","14,647","14,237","14,915","15,812","15,356","14,901","16,251","15,456","15,504","14,816","16,335","17,946","21,914"
"219","[P](u)","    Grupo Abril","13,046","14,679","15,322","16,416","15,807","14,525","15,832","14,762","16,337","17,040","19,268","21,175","20,326","22,333","21,769"
"220","[P](u)","    Michelin Group","18,422","16,951","16,272","16,055","14,946","13,714","14,397","14,309","15,624","16,634","17,526","16,789","19,202","24,213","21,678"
"221","[P]","    General Motors","14,459","14,021","14,756","17,349","16,901","17,062","14,464","18,349","19,390","21,056","22,473","16,987","16,998","17,429","21,520"
"222","[P]","    Volkswagen Group","14,254","14,160","16,787","17,652","17,935","19,137","16,929","18,465","20,323","18,739","19,347","19,397","19,159","18,862","21,281"
"223","[M](u)","    HotChalk (w/ history)","19,855","23,188","29,947","32,767","31,002","27,133","30,586","32,001","32,351","30,808","8,089","5,052","7,989","12,769","21,276"
"224","[P](U)","    Forbes Digital","15,762","18,021","18,190","18,657","17,748","18,769","19,902","19,860","19,737","19,050","20,226","19,326","18,537","21,018","21,222"
"225","[P]","    FUNSHION.COM","25,750","26,569","26,353","26,249","27,121","12,170","16,810","18,083","20,457","16,280","16,334","17,449","17,741","16,980","21,192"
"226","[M]","    AVAST.COM (w/ history)","21,435","12,879","21,637","24,016","27,375","29,178","33,801","33,825","27,865","23,568","24,103","22,380","24,115","20,648","21,124"
"227","[P](u)","    WorldNow Sites","19,943","23,451","21,749","22,171","23,880","22,501","24,813","24,598","22,657","22,298","23,576","21,915","23,263","24,258","21,011"
"228","[P](u)","    Vocento","16,777","17,384","17,868","19,349","18,723","16,760","17,778","14,536","22,554","21,782","23,108","21,220","19,614","20,143","21,006"
"229","[P]","    BitComet (App)","17,854","18,448","18,922","20,328","20,086","20,385","21,702","20,511","20,832","20,624","20,792","20,809","20,751","20,566","20,783"
"230","[C](U)","    METROLYRICS.COM (w/ history)","26,282","25,576","26,020","25,992","26,192","25,322","24,598","24,451","24,390","22,960","22,078","21,246","19,453","20,572","20,569"
"231","[P]","    SOFTBANK Group","15,148","16,127","17,324","19,262","19,185","17,689","19,008","18,103","19,721","18,808","19,199","18,755","19,202","19,148","20,554"
"232","[G](U)","    BAIXAKI.COM.BR","18,391","18,983","19,962","20,754","20,291","20,360","21,520","19,010","20,638","20,336","20,608","21,844","20,934","21,184","20,546"
"233","[M]","    MARKETGID.COM","16,891","16,899","16,675","16,768","16,993","17,851","17,936","18,831","23,109","22,284","22,940","20,846","21,117","20,664","20,446"
"234","[P]","    Wells Fargo","19,617","19,355","19,362","19,333","18,664","18,712","19,781","19,597","19,166","18,425","18,212","19,016","18,960","19,694","20,424"
"235","[P]","    Citigroup","19,484","19,732","19,971","19,893","20,102","20,246","19,947","18,721","19,790","19,235","19,341","19,709","20,520","22,043","20,341"
"236","[P](U)","    WhitePages","21,618","23,366","22,717","22,337","20,642","23,584","23,930","21,319","21,863","21,565","22,279","22,245","22,603","23,231","20,094"
"237","[P](u)","    BEEMP3.COM","18,974","19,029","20,448","21,546","22,024","24,210","23,298","23,984","25,925","24,799","24,605","22,448","21,415","20,357","20,004"
"238","[P](u)","    Buscape Company","12,962","13,617","19,956","19,882","21,039","19,148","16,294","15,574","17,732","18,575","20,710","20,111","19,727","20,979","19,864"
"239","[P](u)","    Hulu","19,384","20,784","19,622","20,718","21,573","22,814","23,295","21,325","20,468","19,705","19,993","18,526","18,086","19,981","19,769"
"240","[P]","    WildTangent Media","36,226","34,759","32,115","34,468","34,201","34,953","36,637","25,730","29,791","28,799","26,449","26,617","25,836","23,819","19,745"
"241","[M]","    YOUDAO.COM","14,819","14,510","15,179","16,231","18,265","17,571","17,025","19,342","22,923","17,335","15,261","17,571","22,966","24,803","19,549"
"242","[P]","    McAfee.com Sites","11,668","12,045","14,870","15,437","20,265","21,377","21,354","21,900","22,005","20,443","21,261","20,804","23,468","22,390","19,519"
"243","[P]","    TQ Digital Entertainment","10,472","10,579","9,814","11,268","10,393","11,085","13,183","14,769","16,516","14,504","14,564","16,150","17,389","18,364","19,467"
"244","[P]","    UPS Sites","16,414","16,925","17,630","18,247","19,575","24,924","18,219","17,730","18,011","16,960","19,233","17,621","18,166","20,132","19,353"
"245","[P](U)","    BabyCenter","16,291","17,300","17,686","17,898","17,629","18,677","18,274","18,066","19,311","18,749","19,899","18,842","18,311","19,712","19,302"
"246","[P]","    Vivendi","18,683","19,446","22,108","24,222","20,832","21,198","22,304","21,728","21,771","21,592","21,969","20,045","19,894","17,824","19,278"
"247","[P](U)","    CityGrid Media","25,984","25,973","23,466","23,013","22,623","22,338","23,102","22,835","23,515","21,883","24,115","21,569","20,767","22,133","19,264"
"248","[P](U)","    Clear Channel Online","15,599","15,920","17,011","16,135","15,991","17,753","17,730","18,489","20,380","18,150","19,388","18,363","18,542","18,840","19,175"
"249","[P]","    DUOWAN.COM","13,346","12,248","11,454","14,500","13,878","14,820","16,682","15,330","17,090","16,298","14,972","17,101","20,970","21,101","18,963"
"250","[P](U)","    Sugar, Inc - POPSUGAR Network","18,730","18,729","18,400","18,671","18,840","18,547","18,393","18,749","18,784","19,824","20,601","18,966","19,446","21,207","18,925"
"251","[M](U)","    MINICLIP.COM (w/ history)","28,094","28,995","26,220","27,431","26,029","27,643","26,722","26,350","26,826","27,592","27,844","30,922","30,644","24,522","18,704"
"252","[P]","    SouFun.com Limited","16,139","14,575","18,574","18,349","19,343","17,708","17,894","22,507","25,959","21,270","22,412","25,505","27,312","28,564","18,525"
"253","[P]","    120ASK.COM","9,740","9,294","11,639","12,414","12,595","11,692","11,476","12,231","13,705","14,667","15,676","16,541","18,763","19,010","18,402"
"254","[P]","    21CN Corporation Limited","6,214","5,569","6,489","6,213","7,653","8,460","8,938","9,826","12,482","10,096","10,676","11,617","15,546","17,225","18,388"
"255","[P]","    Agricultural Bank of China","8,338","9,130","9,945","10,998","10,996","11,726","12,788","12,310","15,174","13,690","13,678","13,957","16,557","17,247","18,288"
"256","[P](U)","    Metacafe","42,062","38,272","40,707","39,860","39,500","36,497","33,940","31,650","30,066","39,300","28,888","23,681","21,098","19,820","18,214"
"257","[P]","    Recruit Co., Ltd.","18,847","19,772","21,286","19,430","21,879","18,368","18,643","17,973","19,420","17,356","17,298","16,979","17,790","18,287","18,051"
"258","[M]","    OKWAVE.JP*","14,248","14,832","15,529","16,839","17,082","17,237","19,335","18,549","20,144","19,753","21,318","20,425","20,355","17,636","18,002"
"259","[P]","    American Express","12,502","12,764","14,096","15,206","15,236","14,380","14,643","13,528","14,805","14,473","14,952","15,935","15,388","17,026","17,987"
"260","[P]","    SNDA Sites","8,977","7,340","10,983","12,104","12,904","9,530","12,740","15,138","18,847","20,786","16,667","12,264","17,547","20,217","17,973"
"261","[P]","    Telegraph Media Group","12,222","13,187","12,319","14,894","14,275","14,220","15,458","15,036","15,368","15,614","16,431","15,873","17,477","17,562","17,807"
"262","[P]","    SCRIBD.COM","8,731","8,589","8,395","9,350","10,788","8,183","10,193","10,615","12,374","12,979","25,890","15,274","13,797","15,269","17,801"
"263","[P](u)","    Encyclopaedia Britannica","13,696","14,344","18,622","20,490","19,269","17,262","18,604","18,661","18,685","16,951","16,757","14,168","13,292","14,706","17,690"
"264","[P]","    7K7K.COM","19,337","17,138","13,562","16,634","13,486","13,667","19,325","16,299","14,800","16,138","13,440","15,733","21,926","23,622","17,685"
"265","[P]","    CUSTHELP.COM*","15,921","16,825","17,883","18,262","18,033","19,451","20,028","18,663","19,080","17,092","17,275","17,324","17,779","18,221","17,656"
"266","[P]","    BEARSHARE.COM","30,129","30,686","37,481","34,927","35,509","38,987","24,997","22,781","22,308","21,516","20,924","20,962","19,403","17,925","17,606"
"267","[P]","    51.COM","11,976","15,772","8,560","8,278","8,468","10,719","8,016","8,237","8,447","4,426","4,737","5,533","9,918","16,218","17,439"
"268","[P](U)","    Advance Digital","18,935","21,411","20,017","20,080","20,739","20,333","21,402","21,253","22,185","20,188","20,788","19,683","19,075","19,940","17,406"
"269","[P]","    TALEO.NET","15,875","16,163","16,796","16,464","15,069","12,953","16,755","15,438","15,971","15,304","16,606","16,655","17,379","17,145","17,328"
"270","[P]","    Procter & Gamble","13,192","15,456","16,902","16,363","18,212","18,572","13,908","14,238","14,720","12,734","13,119","13,373","14,035","15,449","17,214"
"271","[P]","    Chinabyte Technology Co.","9,839","8,811","9,647","10,285","10,966","11,609","10,739","12,180","11,495","9,939","7,399","7,687","9,421","12,093","17,135"
"272","[P]","    CHINA.COM.CN","9,106","9,004","9,057","10,206","11,200","11,693","9,838","14,057","18,059","15,076","13,863","14,172","14,962","15,972","17,047"
"273","[P]","    The Home Depot, Inc.","11,679","12,032","13,247","13,673","15,258","13,427","13,983","13,210","15,825","16,400","17,461","17,950","18,183","17,338","16,861"
"274","[P](U)","    MANTA.COM","18,952","20,864","19,519","19,078","18,203","17,238","20,033","18,986","19,430","18,733","21,737","19,128","18,476","18,337","16,844"
"275","[P](u)","    Grupo Clarin","13,654","13,849","14,381","16,254","15,869","15,057","15,220","15,290","15,713","16,042","17,327","17,219","16,934","17,344","16,792"
"276","[P]","    HSBC","19,320","19,495","19,329","19,633","19,236","19,714","19,997","19,149","18,246","17,790","17,931","17,474","17,213","16,689","16,781"
"277","[P]","    SOFTPEDIA.COM","15,942","17,336","18,189","21,451","19,277","19,679","20,591","19,651","19,580","18,270","19,036","18,482","17,736","16,948","16,758"
"278","[P](u)","    Rediff.com India Ltd","19,675","19,022","19,003","19,024","20,059","19,838","19,636","18,857","19,941","19,826","19,431","18,380","18,037","17,202","16,751"
"279","[P]","    39.NET","10,361","10,049","12,098","12,038","11,510","9,706","11,891","15,460","16,944","14,683","12,481","12,274","15,193","16,860","16,735"
"280","[M](u)","    MYNET.COM","13,041","13,953","14,119","14,272","13,694","15,449","14,644","18,523","18,813","17,479","20,327","18,953","16,735","16,647","16,684"
"281","[M]","    ATWIKI.JP","10,981","12,726","14,099","14,932","15,299","15,818","16,827","16,347","17,770","15,769","17,065","16,725","17,257","16,478","16,394"
"282","[P]","    KAIXIN001.COM","24,334","24,396","29,830","31,595","29,915","21,393","24,026","22,451","23,298","20,046","19,445","18,562","17,832","18,116","16,282"
"283","[P]","    Reed Business Information","19,596","18,802","17,637","18,029","18,138","15,710","17,846","17,512","19,057","17,199","18,281","17,003","16,159","15,897","16,253"
"284","[P]","    METRO Group","12,177","12,070","12,648","16,628","16,915","19,609","18,265","16,258","16,396","16,136","17,180","16,283","14,917","14,669","16,035"
"285","[P]","    Kingsoft Corp","18,049","19,298","14,710","20,633","20,313","16,341","17,886","20,195","21,755","16,973","18,278","18,279","19,461","17,828","16,016"
"286","[P]","    MEGAUPLOAD.COM","84,151","87,729","88,746","97,402","93,690","95,508","90,455","46,479","36,857","31,198","27,849","23,529","22,294","18,565","16,009"
"287","[P]","    ING Group","13,971","13,886","13,893","15,397","15,680","14,452","17,324","15,328","15,603","15,384","15,500","14,838","15,401","15,886","15,986"
"288","[M](u)","    MediaNews Group (w/ history)","12,496","13,312","13,749","14,623","12,764","14,153","14,647","13,636","14,818","13,350","13,377","16,262","16,194","16,860","15,804"
"289","[P]","    Capital One","15,241","15,102","15,493","16,699","16,401","15,882","15,989","15,658","14,709","14,155","14,904","14,945","16,000","15,696","15,776"
"290","[M]","    BROTHERSOFT.COM","24,089","23,616","23,469","22,899","20,211","20,068","21,532","21,441","24,845","20,573","19,228","17,773","18,402","16,203","15,666"
"291","[M](U)","    MLB.COM*","19,575","18,845","19,054","16,425","7,191","7,913","7,929","8,298","11,089","19,560","18,540","18,394","17,818","15,889","15,662"
"292","[P]","    Hispavista Sites","16,284","15,568","15,488","15,930","15,251","16,846","17,273","17,604","19,084","17,765","18,634","16,954","16,371","15,637","15,625"
"293","[P](U)","    McClatchy Corporation","15,096","16,702","15,849","14,513","14,674","14,726","16,214","15,186","16,417","15,943","16,673","15,211","13,704","15,991","15,622"
"294","[P](u)","    Telecom Italia","13,702","13,873","14,755","16,133","15,828","16,459","16,952","16,849","17,334","16,872","16,646","16,184","15,746","15,268","15,617"
"295","[P]","    Gameforge Sites","15,207","18,837","19,846","16,758","13,205","13,801","15,865","15,524","12,440","15,259","15,788","16,736","14,861","15,788","15,527"
"296","[P]","    Travelocity","19,035","18,408","15,101","14,523","13,658","12,634","16,340","15,243","15,978","15,570","15,792","16,955","18,210","18,223","15,446"
"297","[P]","    Toyota Group","12,263","12,207","15,899","17,050","14,807","13,694","15,115","16,392","18,200","15,541","16,307","15,332","14,918","16,059","15,437"
"298","[P](u)","    Canoe Network","14,125","13,562","13,460","13,674","13,680","13,879","14,746","14,875","15,327","14,715","15,315","15,709","16,779","15,725","15,341"
"299","[P]","    Macy's Inc.","11,450","12,036","13,121","13,220","19,878","20,095","13,765","13,701","14,361","13,417","13,555","13,132","13,086","14,990","15,331"
"300","[P]","    Groupe M6","16,694","16,858","17,933","19,150","20,016","21,391","21,706","19,538","18,847","18,941","18,148","17,132","16,804","15,365","15,299"
"301","[P](U)","    Weblogs SL Sites","7,137","7,714","8,233","9,514","10,408","12,908","13,744","14,878","15,775","15,215","16,435","15,184","14,504","14,817","15,275"
"302","[P]","    Intel","7,470","6,227","9,559","8,010","8,674","9,465","8,017","7,027","8,228","8,795","10,958","8,030","7,067","9,478","15,202"
"303","[M]","    HUANQIU.COM","10,928","11,920","10,783","13,945","14,877","13,347","14,507","17,015","18,071","12,062","11,095","10,176","11,775","11,712","15,148"
"304","[P]","    Hi-Media Group","22,983","24,433","24,423","26,440","24,958","25,971","26,278","20,860","17,647","17,648","18,581","19,105","18,134","17,234","15,063"
"305","[P]","    Orbitz Worldwide","18,689","17,005","15,624","15,680","15,455","14,389","18,720","17,655","18,224","17,099","18,099","17,896","17,980","17,496","15,038"
"306","[P]","    MUSICA.COM","17,432","18,367","18,198","18,522","18,393","17,532","17,230","17,018","17,731","16,872","17,531","16,758","16,246","14,844","15,037"
"307","[P]","    Seat Pagine Gialle","12,352","12,418","13,232","14,207","13,543","14,139","14,841","15,452","15,361","14,763","14,830","14,133","13,770","13,372","14,894"
"308","[P](U)","    AccuWeather Sites","12,077","15,221","13,172","12,078","7,560","8,099","9,923","11,410","12,318","12,552","13,411","14,295","15,606","16,413","14,784"
"309","[P]","    WeatherBug Property","26,502","23,734","21,925","21,767","21,693","21,225","22,073","21,610","21,814","20,967","20,382","20,354","19,173","16,171","14,644"
"310","[P](u)","    National Geographic Sites","10,498","11,558","13,464","14,815","14,650","13,976","15,717","15,830","17,137","15,748","15,640","12,211","11,667","13,793","14,630"
"311","[P](U)","    Skyrock","14,664","14,712","14,972","15,688","16,143","17,964","18,572","17,550","17,317","17,270","16,883","16,857","16,162","13,608","14,571"
"312","[P]","    Research In Motion Limited","16,338","19,190","18,525","22,535","20,246","19,958","19,239","18,653","17,550","16,706","18,311","16,814","16,829","16,214","14,472"
"313","[P]","    Oracle Corporation","10,471","11,429","13,909","15,908","15,129","13,400","13,785","13,766","12,751","12,098","13,301","11,751","10,964","11,342","14,384"
"314","[P](U)","    Sky Sites","16,061","18,427","17,039","16,443","16,196","15,636","17,386","16,095","16,866","16,817","17,205","16,274","15,678","16,132","14,357"
"315","[P]","    NextRadio TV","14,382","15,996","16,075","17,168","18,315","18,347","19,470","18,724","19,463","17,737","17,174","15,455","15,234","14,148","14,352"
"316","[P]","    Groupe Figaro","12,828","13,118","13,863","15,276","14,869","14,668","16,721","17,268","15,984","16,889","18,104","15,969","15,662","14,769","14,205"
"317","[P]","    TORRENTREACTOR.NET","10,995","9,174","10,808","12,480","11,240","11,671","12,993","14,995","14,630","12,853","17,231","15,827","16,467","14,954","14,190"
"318","[P]","    Corel Corporation","11,884","12,607","12,858","13,992","15,871","14,993","14,409","14,258","15,136","13,683","14,374","13,623","14,210","13,754","14,146"
"319","[P]","    URBANDICTIONARY.COM","11,742","12,734","12,676","14,089","14,566","14,666","14,705","14,138","13,170","13,240","14,082","14,240","13,934","13,917","14,118"
"320","[P]","    Nissan","8,518","8,997","11,529","11,945","10,716","9,832","11,074","11,626","12,054","10,725","10,842","11,634","12,726","9,951","14,052"
"321","[M]","    CMBCHINA.COM","8,410","9,012","9,881","10,945","11,500","13,380","14,112","14,097","14,433","12,790","13,281","14,108","12,977","13,515","13,841"
"322","[P]","    TIEXUE.NET","6,279","6,509","6,532","5,973","6,764","7,747","7,576","7,537","8,604","8,093","8,056","7,339","12,412","11,900","13,825"
"323","[P]","    Seiko Epson Corp","10,465","10,502","12,510","13,214","13,345","13,199","12,690","13,072","13,811","12,349","13,002","12,675","12,567","12,685","13,759"
"324","[P]","    Intuit","10,667","11,315","11,237","12,970","11,995","12,954","25,850","32,934","22,166","22,955","13,353","12,953","13,476","13,068","13,747"
"325","[P]","    Trovit Sites","11,486","11,554","11,066","11,348","10,716","9,463","12,647","12,722","13,200","12,732","13,964","12,436","12,895","12,451","13,696"
"326","[P]","    SK Group","20,712","22,134","22,469","22,805","22,007","21,696","22,028","19,337","17,619","17,208","17,133","16,446","16,570","15,478","13,661"
"327","[M]","    ZING.VN","6,984","11,486","11,767","12,129","12,046","12,424","12,713","12,448","12,828","12,762","13,300","14,471","13,100","13,522","13,614"
"328","[P](u)","    Trinity Mirror Group","14,041","13,768","12,205","13,276","13,723","13,623","16,379","12,092","11,990","12,410","14,161","13,717","13,586","14,228","13,523"
"329","[P]","    Gruppo Fiat","5,997","5,657","6,260","6,898","6,592","6,922","6,756","8,013","12,649","12,725","13,585","13,028","13,620","13,627","13,484"
"330","[P]","    6.CN","12,786","11,326","10,497","10,981","11,383","12,227","14,144","14,147","15,150","12,852","12,727","12,871","12,823","13,297","13,478"
"331","[P](u)","    DMGT (exc Mail Online)","13,771","13,640","13,627","13,464","13,764","13,336","15,534","14,638","13,937","12,206","12,842","12,870","12,947","13,758","13,412"
"332","[P](u)","    Healthline","15,444","15,146","16,146","17,374","19,145","18,772","6,896","12,947","15,349","14,990","14,519","12,081","13,657","17,083","13,386"
"333","[P]","    FedEx","10,851","16,281","21,133","16,277","12,234","14,722","11,805","12,141","12,330","11,265","12,511","11,765","12,318","13,926","13,323"
"334","[P]","    Carrefour Group","11,189","11,138","12,290","11,959","11,701","13,630","11,726","10,350","12,559","11,413","11,839","11,205","12,184","12,098","13,271"
"335","[P](U)","    Dominion Enterprises","14,079","13,735","12,234","11,754","10,582","10,566","13,590","13,405","14,859","14,921","15,925","15,245","15,449","15,558","13,243"
"336","[P]","    Viva street Classifieds","9,924","10,887","10,145","10,434","10,910","9,952","12,532","11,868","12,221","11,718","13,406","13,411","13,801","13,301","13,202"
"337","[P](u)","    Superpages.com Network","32,518","31,840","30,526","33,019","32,585","31,027","29,761","14,454","15,413","14,271","16,420","14,673","13,967","14,316","13,153"
"338","[P]","    Canon Inc.","8,165","9,471","10,464","11,719","12,386","15,752","10,564","10,090","11,531","12,871","11,442","13,096","11,688","12,190","13,132"
