"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: December 2010 - February 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 3/20/2012","","","","","",""

"","","","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012"
"51","[P](u)","    Weather Channel, The","50,925","48,627","46,299","42,991","44,322","45,535","44,641","64,950","74,674","65,791","63,513","59,856","60,530","65,712","63,341"
"52","[P]","    FILESTUBE.COM","40,994","40,205","33,075","38,028","41,168","48,563","49,158","48,914","49,354","51,632","57,749","56,423","58,096","62,760","63,006"
"53","[P]","    Gretech Corp.","50,193","52,282","49,189","51,251","51,551","54,515","55,496","57,766","59,317","62,969","63,890","62,790","64,496","66,326","62,154"
"54","[P]","    EA Online","36,487","33,483","32,015","32,960","32,926","32,325","36,168","36,641","38,869","44,440","51,940","46,301","49,229","46,290","62,120"
"55","[P]","    FC2 inc.","48,028","48,741","46,484","48,382","47,586","50,745","51,493","53,236","56,007","56,994","59,124","58,320","58,816","60,779","60,237"
"56","[P]","    Spil Games","56,593","55,993","49,898","49,854","50,679","52,057","56,028","59,376","59,091","52,967","57,460","56,023","64,527","63,345","59,257"
"57","[P]","    PPLive Inc.","18,934","23,016","22,452","23,524","25,008","32,035","29,626","36,738","43,656","43,732","46,375","47,282","53,121","61,413","59,113"
"58","[P]","    Qihoo.com Sites","40,184","44,417","43,091","50,452","44,091","31,558","31,320","34,446","37,397","35,697","40,387","44,422","48,654","49,239","58,305"
"59","[P](U)","    ESPN","61,980","63,027","59,227","75,225","64,948","60,604","59,149","55,383","62,111","75,141","71,555","69,509","66,265","61,894","56,783"
"60","[P]","    DEPOSITFILES.COM","30,102","30,946","27,369","28,822","27,358","26,094","27,788","27,662","27,652","29,040","32,118","31,361","31,691","40,328","56,705"
