date ascii,date,Mobile,Msie,Firefox,Chrome,other,Safari (Mobile),Android (Mobile),other (Mobile),Opera,Opera (Mobile),
2011-06-14,"=DATE(2011,6,14)",60458,178125,113005,72489,55658,26096,10441,19002,11526,4919,
2011-06-15,"=DATE(2011,6,15)",70363,201932,132545,85848,66312,30966,12058,21982,13805,5357,
2011-06-16,"=DATE(2011,6,16)",71292,199000,133437,84206,65358,30918,12442,22499,13964,5433,
2011-06-17,"=DATE(2011,6,17)",70581,185143,124278,77171,61449,31061,12110,22138,13071,5272,
2011-06-18,"=DATE(2011,6,18)",79302,147482,111479,74444,57986,36636,13697,23765,12567,5204,
2011-06-19,"=DATE(2011,6,19)",86736,156398,124687,82723,60506,40677,14877,25777,14539,5405,
2011-06-20,"=DATE(2011,6,20)",76406,203884,136517,86792,63501,34300,13460,23291,13990,5355,
2011-06-21,"=DATE(2011,6,21)",72572,202411,134434,85687,65986,32380,12831,21781,13666,5580,
2011-06-22,"=DATE(2011,6,22)",71928,193783,127278,82750,61613,31927,12432,22161,13110,5408,
2011-06-23,"=DATE(2011,6,23)",74379,185405,126315,80689,61709,33449,12924,22595,13499,5411,
2011-06-24,"=DATE(2011,6,24)",72689,174304,117922,74644,57580,32672,12443,22170,12418,5404,
2011-06-25,"=DATE(2011,6,25)",80333,141422,109062,72084,55398,37069,14082,23939,11759,5243,
2011-06-26,"=DATE(2011,6,26)",85748,147743,119149,79426,57048,39834,15068,25378,13396,5468,
2011-06-27,"=DATE(2011,6,27)",75365,194832,131325,83254,61381,33854,13569,22744,13279,5198,
2011-06-28,"=DATE(2011,6,28)",73163,194240,127128,81859,62199,32421,12693,22529,12685,5520,
2011-06-29,"=DATE(2011,6,29)",72030,187638,125497,79934,61009,32058,12385,22250,12383,5337,
2011-06-30,"=DATE(2011,6,30)",69967,180736,121605,78061,59678,30925,12019,21838,12518,5185,
2011-07-01,"=DATE(2011,7,1)",70866,166777,113862,72611,55913,32026,12145,21503,11416,5192,
2011-07-02,"=DATE(2011,7,2)",79297,136352,104127,69168,52620,36945,13780,23290,11420,5282,
2011-07-03,"=DATE(2011,7,3)",85205,145279,115428,76546,56732,40350,14810,24567,12556,5478,
2011-07-04,"=DATE(2011,7,4)",79803,179142,124071,79669,60623,36990,14237,23214,12013,5362,
2011-07-05,"=DATE(2011,7,5)",74479,181600,123812,79998,61790,33669,13224,22310,12179,5276,
2011-07-06,"=DATE(2011,7,6)",73422,181879,124190,80046,60390,32827,13063,22180,12052,5352,
2011-07-07,"=DATE(2011,7,7)",72917,179518,121026,79020,60353,32952,12719,21996,12074,5250,
2011-07-08,"=DATE(2011,7,8)",73457,169525,115397,74194,58259,32960,13249,22118,11427,5130,
2011-07-09,"=DATE(2011,7,9)",80213,136428,106258,70401,54594,36614,14384,23967,11039,5248,
2011-07-10,"=DATE(2011,7,10)",87894,143221,119985,77149,56285,41498,15443,25452,12196,5501,
2011-07-11,"=DATE(2011,7,11)",75806,185794,129872,82501,62475,34116,13500,22894,12524,5296,
2011-07-12,"=DATE(2011,7,12)",75284,188023,130517,83066,61984,33741,13494,22636,12365,5413,
2011-07-13,"=DATE(2011,7,13)",70099,169783,123810,75427,58982,31232,12530,21359,11370,4978,
2011-07-14,"=DATE(2011,7,14)",74362,177669,133567,78588,59114,33546,12982,22543,12110,5291,
2011-07-15,"=DATE(2011,7,15)",74541,169087,122099,73612,61466,33654,13368,22180,11435,5339,
2011-07-16,"=DATE(2011,7,16)",82243,135058,105909,70073,55780,38146,14724,24017,10770,5356,
2011-07-17,"=DATE(2011,7,17)",91389,145596,117720,77736,59611,43626,16141,25908,11994,5714,
2011-07-18,"=DATE(2011,7,18)",80353,188759,129796,84443,63203,36790,14767,23353,12627,5443,
2011-07-19,"=DATE(2011,7,19)",77494,188566,127579,83380,63986,35039,14207,23150,11956,5098,
2011-07-20,"=DATE(2011,7,20)",75948,187435,128620,83263,64958,34072,13637,22926,12292,5313,
2011-07-21,"=DATE(2011,7,21)",74716,181678,124414,80140,71593,33149,13701,22594,11966,5272,
2011-07-22,"=DATE(2011,7,22)",76702,173771,120751,77299,69210,34260,13920,23076,12184,5446,
2011-07-23,"=DATE(2011,7,23)",89563,140942,110145,75836,67422,42177,16757,25022,11449,5607,
2011-07-24,"=DATE(2011,7,24)",95186,148945,120522,82021,70589,44902,17379,26967,12426,5938,
2011-07-25,"=DATE(2011,7,25)",81477,190596,133057,86375,72855,36600,15046,24242,12736,5589,
2011-07-26,"=DATE(2011,7,26)",78897,187855,142028,85337,76336,34801,14544,23968,12247,5584,
2011-07-27,"=DATE(2011,7,27)",78432,184344,140995,82779,77680,34404,14523,24027,12238,5478,
2011-07-28,"=DATE(2011,7,28)",78830,181526,139414,81870,76301,34874,14579,23885,12074,5492,
2011-07-29,"=DATE(2011,7,29)",79862,172281,131363,76980,73716,34460,14450,25523,11679,5429,
2011-07-30,"=DATE(2011,7,30)",76385,137024,119540,73425,69010,35526,14235,22172,11495,4452,
2011-07-31,"=DATE(2011,7,31)",83223,142342,126935,78649,71039,38764,15668,24038,12215,4753,
2011-08-01,"=DATE(2011,8,1)",75079,176145,134732,81871,75834,33744,13943,22715,11902,4677,
2011-08-02,"=DATE(2011,8,2)",75856,181575,135342,84448,73152,33507,14173,23234,12076,4942,
2011-08-03,"=DATE(2011,8,3)",72684,180104,133278,83479,70470,32473,13441,21782,11831,4988,
2011-08-04,"=DATE(2011,8,4)",73382,184920,135352,84888,67507,32502,13168,22436,12109,5276,
2011-08-05,"=DATE(2011,8,5)",63154,175148,126912,80700,65034,25590,9151,24549,11375,3864,
2011-08-06,"=DATE(2011,8,6)",69391,143299,115116,77443,60984,29137,10157,26178,11186,3919,
2011-08-07,"=DATE(2011,8,7)",76548,151671,129054,84936,65135,33020,11016,28287,12368,4225,
2011-08-08,"=DATE(2011,8,8)",67020,192620,140168,90231,68344,27578,9568,25831,12784,4043,
2011-08-09,"=DATE(2011,8,9)",64136,190599,136853,90016,74601,25796,9179,25194,12318,3967,
2011-08-10,"=DATE(2011,8,10)",63790,187983,134333,88999,73913,25547,9104,25170,12230,3969,
2011-08-11,"=DATE(2011,8,11)",63012,183693,129653,87157,70372,25203,8984,24940,11643,3885,
2011-08-12,"=DATE(2011,8,12)",60103,169925,120779,80548,65914,23864,8521,24239,11006,3479,
2011-08-13,"=DATE(2011,8,13)",67872,138996,112207,78444,64533,28139,9784,26292,10902,3657,
2011-08-14,"=DATE(2011,8,14)",71558,145363,118942,82874,67004,30280,10050,27417,11488,3811,
2011-08-15,"=DATE(2011,8,15)",60408,169708,121815,84016,63449,24202,8638,23940,11509,3628,
2011-08-16,"=DATE(2011,8,16)",58831,177796,123421,85952,63916,23325,8196,23790,11168,3520,
2011-08-17,"=DATE(2011,8,17)",54851,182145,129547,95344,60731,21269,7824,22457,10539,3301,
2011-08-18,"=DATE(2011,8,18)",52906,162503,114378,80896,60171,20871,7525,21330,9752,3180,
2011-08-19,"=DATE(2011,8,19)",59513,168160,120461,81982,67491,23591,8475,23886,10776,3561,
2011-08-20,"=DATE(2011,8,20)",67848,142368,117636,80619,70264,27786,9772,26597,10792,3693,
2011-08-21,"=DATE(2011,8,21)",71412,146225,126980,85732,71302,29585,10129,27789,11720,3909,
2011-08-22,"=DATE(2011,8,22)",57608,176343,129585,85997,65509,23047,8198,23188,10999,3175,
2011-08-23,"=DATE(2011,8,23)",55695,178060,125130,86240,64300,21623,7951,22785,10984,3336,
2011-08-24,"=DATE(2011,8,24)",56229,177800,122297,86706,63555,22232,7925,22684,10871,3388,
2011-08-25,"=DATE(2011,8,25)",60706,177084,122577,85882,64198,23927,9320,23764,10943,3695,
2011-08-26,"=DATE(2011,8,26)",62430,168329,125484,83011,64874,24893,9708,24066,10725,3763,
2011-08-27,"=DATE(2011,8,27)",72756,141577,116682,82079,65149,30277,11289,27078,10914,4112,
2011-08-28,"=DATE(2011,8,28)",75149,144625,125555,87044,63640,31494,11666,27991,11327,3998,
2011-08-29,"=DATE(2011,8,29)",62437,174558,122303,86641,65986,25518,9573,23761,11059,3585,
2011-08-30,"=DATE(2011,8,30)",58967,174784,125467,85386,67985,23388,9161,22873,10753,3545,
2011-08-31,"=DATE(2011,8,31)",59146,172901,118951,87982,64758,23412,9012,23080,10920,3642,
2011-09-01,"=DATE(2011,9,1)",59475,170341,117976,85954,65246,23695,9104,23099,10253,3577,
2011-09-02,"=DATE(2011,9,2)",62119,164086,125102,81953,63060,24706,9620,24061,10719,3732,
2011-09-03,"=DATE(2011,9,3)",67358,127943,110281,76336,58471,27796,10518,25363,10568,3681,
2011-09-04,"=DATE(2011,9,4)",72524,135106,115924,84734,61103,30675,10954,26999,11840,3896,
2011-09-05,"=DATE(2011,9,5)",62698,158585,116892,84693,60815,26125,9596,23657,10423,3320,
2011-09-06,"=DATE(2011,9,6)",56732,165731,114468,82827,60664,22644,8685,21916,10546,3487,
2011-09-07,"=DATE(2011,9,7)",54798,165063,122113,82189,59465,21110,8288,21912,10639,3488,
2011-09-08,"=DATE(2011,9,8)",,,,,,,,,,,
2011-09-09,"=DATE(2011,9,9)",,,,,,,,,,,
2011-09-10,"=DATE(2011,9,10)",11392,134271,107506,80932,61798,9180,994,885,11469,333,
2011-09-11,"=DATE(2011,9,11)",11645,135108,110308,84941,60065,9504,981,769,12043,391,
2011-09-12,"=DATE(2011,9,12)",8558,160634,111209,81186,58467,6748,898,620,10239,292,
2011-09-13,"=DATE(2011,9,13)",8004,160857,109592,81038,58699,6359,792,552,10269,301,
2011-09-14,"=DATE(2011,9,14)",7757,157501,107716,78550,59511,6111,793,581,9839,272,
2011-09-15,"=DATE(2011,9,15)",,,,,,,,,,,
2011-09-16,"=DATE(2011,9,16)",,,,,,,,,,,
2011-09-17,"=DATE(2011,9,17)",,,,,,,,,,,
2011-09-18,"=DATE(2011,9,18)",,,,,,,,,,,
2011-09-19,"=DATE(2011,9,19)",,,,,,,,,,,
2011-09-20,"=DATE(2011,9,20)",,,,,,,,,,,
2011-09-21,"=DATE(2011,9,21)",,,,,,,,,,,
2011-09-22,"=DATE(2011,9,22)",,,,,,,,,,,
2011-09-23,"=DATE(2011,9,23)",,,,,,,,,,,
2011-09-24,"=DATE(2011,9,24)",,,,,,,,,,,
2011-09-25,"=DATE(2011,9,25)",,,,,,,,,,,
2011-09-26,"=DATE(2011,9,26)",,,,,,,,,,,
2011-09-27,"=DATE(2011,9,27)",,,,,,,,,,,
2011-09-28,"=DATE(2011,9,28)",,,,,,,,,,,
2011-09-29,"=DATE(2011,9,29)",,,,,,,,,,,
2011-09-30,"=DATE(2011,9,30)",,,,,,,,,,,
2011-10-01,"=DATE(2011,10,1)",,,,,,,,,,,
2011-10-02,"=DATE(2011,10,2)",,,,,,,,,,,
2011-10-03,"=DATE(2011,10,3)",,,,,,,,,,,
2011-10-04,"=DATE(2011,10,4)",,,,,,,,,,,
2011-10-05,"=DATE(2011,10,5)",,,,,,,,,,,
2011-10-06,"=DATE(2011,10,6)",,,,,,,,,,,
2011-10-07,"=DATE(2011,10,7)",,,,,,,,,,,
2011-10-08,"=DATE(2011,10,8)",,,,,,,,,,,
2011-10-09,"=DATE(2011,10,9)",,,,,,,,,,,
2011-10-10,"=DATE(2011,10,10)",,,,,,,,,,,
2011-10-11,"=DATE(2011,10,11)",,,,,,,,,,,
2011-10-12,"=DATE(2011,10,12)",,,,,,,,,,,
2011-10-13,"=DATE(2011,10,13)",,,,,,,,,,,
2011-10-14,"=DATE(2011,10,14)",,,,,,,,,,,
2011-10-15,"=DATE(2011,10,15)",,,,,,,,,,,
2011-10-16,"=DATE(2011,10,16)",,,,,,,,,,,
2011-10-17,"=DATE(2011,10,17)",,,,,,,,,,,
2011-10-18,"=DATE(2011,10,18)",,,,,,,,,,,
2011-10-19,"=DATE(2011,10,19)",36566,196311,135012,103828,91244,3813,9578,18978,15728,4197,
2011-10-20,"=DATE(2011,10,20)",37135,194341,135562,103141,89420,4049,9658,19191,16330,4237,
2011-10-21,"=DATE(2011,10,21)",37213,181557,125964,93967,84709,4106,9700,19493,15282,3914,
2011-10-22,"=DATE(2011,10,22)",40090,128058,101970,82025,75054,4493,10450,21267,13089,3880,
2011-10-23,"=DATE(2011,10,23)",40467,146917,121168,101040,86736,4833,10662,21390,15943,3582,
2011-10-24,"=DATE(2011,10,24)",35850,190882,132591,103673,87618,3965,9591,18738,14954,3556,
2011-10-25,"=DATE(2011,10,25)",34841,195358,133935,103769,87247,3792,9217,18059,14950,3773,
2011-10-26,"=DATE(2011,10,26)",44763,220134,148821,113980,94803,4816,11543,23646,19246,4758,
2011-10-27,"=DATE(2011,10,27)",45323,212483,147348,111396,94666,4735,11686,23831,18646,5071,
2011-10-28,"=DATE(2011,10,28)",44937,188698,133128,99970,89177,4629,11733,23695,16103,4880,
2011-10-29,"=DATE(2011,10,29)",49041,152888,120151,96070,86465,5176,13007,26189,15813,4669,
2011-10-30,"=DATE(2011,10,30)",54139,169551,137650,110635,95545,5962,14000,29222,18064,4955,
2011-10-31,"=DATE(2011,10,31)",47149,209074,149379,114024,96628,4728,12299,25115,17922,5007,
2011-11-01,"=DATE(2011,11,1)",45087,204629,148317,111277,96348,4619,11628,23969,20501,4871,
2011-11-02,"=DATE(2011,11,2)",45433,215012,148770,116417,98611,4532,11790,24151,19918,4960,
2011-11-03,"=DATE(2011,11,3)",48378,213808,148929,115987,98863,4579,13079,24967,20885,5753,
2011-11-04,"=DATE(2011,11,4)",44902,196255,139763,103921,95588,4510,11918,23764,19643,4710,
2011-11-05,"=DATE(2011,11,5)",51264,158114,129893,103148,91482,5433,13583,27711,18471,4537,
2011-11-06,"=DATE(2011,11,6)",56764,173101,145711,119597,100286,5923,14991,30860,19013,4990,
2011-11-07,"=DATE(2011,11,7)",49294,221239,157857,124759,98742,5093,12999,26028,18368,5174,
2011-11-08,"=DATE(2011,11,8)",48308,221595,156592,122709,97868,4856,12706,25335,17780,5411,
2011-11-09,"=DATE(2011,11,9)",47118,218521,153279,121558,96953,4619,12443,24650,17539,5406,
2011-11-10,"=DATE(2011,11,10)",46592,208444,144778,116562,91838,4505,12242,24506,16659,5339,
2011-11-11,"=DATE(2011,11,11)",46581,189072,135501,105276,91599,4527,12170,24729,15891,5155,
2011-11-12,"=DATE(2011,11,12)",50722,154838,125522,101981,95820,5316,13054,27284,15563,5068,
2011-11-13,"=DATE(2011,11,13)",56860,172269,144688,121579,103278,5960,14780,30873,18662,5247,
2011-11-14,"=DATE(2011,11,14)",49383,217481,155196,123775,106595,4912,12795,26328,17887,5348,
2011-11-15,"=DATE(2011,11,15)",46844,214617,150975,121034,121875,4570,12248,24562,16335,5464,
2011-11-16,"=DATE(2011,11,16)",44160,208539,148565,120156,131192,4330,11661,23224,16796,4945,
2011-11-17,"=DATE(2011,11,17)",46314,208196,147704,118308,132323,4638,12295,24254,16465,5127,
2011-11-18,"=DATE(2011,11,18)",46249,192419,134602,108259,113357,4541,11947,24546,13640,5215,
2011-11-19,"=DATE(2011,11,19)",50935,149379,121404,102124,125412,5272,13518,27043,13656,5102,
2011-11-20,"=DATE(2011,11,20)",55664,164045,135590,118079,123013,5678,14709,30187,15931,5090,
2011-11-21,"=DATE(2011,11,21)",47787,207309,146498,119588,123177,4738,12620,25258,14676,5171,
2011-11-22,"=DATE(2011,11,22)",47088,203416,146512,118228,117305,4684,12437,24640,14474,5327,
2011-11-23,"=DATE(2011,11,23)",49294,198051,145155,117416,122807,4772,13107,25793,14996,5622,
2011-11-24,"=DATE(2011,11,24)",51068,181101,136694,110842,123237,5198,13528,26993,14829,5349,
2011-11-25,"=DATE(2011,11,25)",49957,167297,124776,98222,121312,5161,13277,26202,13742,5317,
2011-11-26,"=DATE(2011,11,26)",53806,141355,118455,100604,123597,5602,14368,28910,14173,4926,
2011-11-27,"=DATE(2011,11,27)",59157,159707,134430,118138,129140,6357,15781,31744,16223,5275,
2011-11-28,"=DATE(2011,11,28)",49653,204550,146657,121519,101373,4997,13444,26011,15370,5201,
2011-11-29,"=DATE(2011,11,29)",48288,204449,146378,117493,98307,4571,13011,25405,14976,5301,
2011-11-30,"=DATE(2011,11,30)",46832,198610,144275,122037,99074,4513,12613,24605,14880,5101,
2011-12-01,"=DATE(2011,12,1)",47351,193661,139460,114704,100415,4591,12397,24937,14460,5426,
2011-12-02,"=DATE(2011,12,2)",46264,176032,126961,102530,93757,4465,12505,24089,13581,5205,
2011-12-03,"=DATE(2011,12,3)",51637,141687,116404,100308,93079,5452,13912,27367,14092,4906,
2011-12-04,"=DATE(2011,12,4)",57132,153068,134330,117423,99968,5932,15252,30696,16376,5252,
2011-12-05,"=DATE(2011,12,5)",49295,196161,144575,119540,100671,4922,13270,25883,14897,5220,
2011-12-06,"=DATE(2011,12,6)",48555,195906,140464,119011,100359,4566,12910,25478,14701,5601,
2011-12-07,"=DATE(2011,12,7)",48739,193182,141132,115895,99628,4672,13045,25593,14456,5429,
2011-12-08,"=DATE(2011,12,8)",48885,191939,139674,115819,101916,4633,13118,25711,14950,5423,
2011-12-09,"=DATE(2011,12,9)",47162,176500,128210,103478,98078,4456,12702,24913,13763,5091,
2011-12-10,"=DATE(2011,12,10)",52081,140526,116564,100518,94960,5343,14262,27577,13626,4899,
2011-12-11,"=DATE(2011,12,11)",57395,151793,133016,118057,100880,5875,15314,31192,16512,5014,
2011-12-12,"=DATE(2011,12,12)",50595,196202,145566,123534,101351,4943,13709,26753,15437,5190,
2011-12-13,"=DATE(2011,12,13)",49235,193477,143914,118638,102374,4711,13240,25828,15364,5456,
2011-12-14,"=DATE(2011,12,14)",48666,190091,138559,115643,98555,4663,13138,25290,14864,5575,
2011-12-15,"=DATE(2011,12,15)",47661,178842,132702,110300,97458,4561,12858,24740,14173,5502,
2011-12-16,"=DATE(2011,12,16)",46776,162887,121574,98839,96438,4506,12619,24451,13417,5200,
2011-12-17,"=DATE(2011,12,17)",51140,128895,108140,94402,91891,5226,13780,27235,13388,4899,
2011-12-18,"=DATE(2011,12,18)",56489,140244,122642,106223,97845,5760,15572,30071,16330,5086,
2011-12-19,"=DATE(2011,12,19)",51671,176438,134407,111742,102914,5049,13966,27059,15118,5597,
2011-12-20,"=DATE(2011,12,20)",49384,171411,128338,106384,96699,4947,13307,25715,14834,5415,
2011-12-21,"=DATE(2011,12,21)",48743,165671,122999,101988,93435,4769,12976,24974,16420,6024,
2011-12-22,"=DATE(2011,12,22)",48119,155672,116813,96113,93501,4873,12890,25121,14665,5235,
2011-12-23,"=DATE(2011,12,23)",92325,138184,106965,90507,91294,7998,25345,49594,13560,9388,
2011-12-24,"=DATE(2011,12,24)",104692,113854,92660,82195,88530,9257,28831,57154,12671,9450,
2011-12-25,"=DATE(2011,12,25)",116799,111575,94739,80861,90583,10513,33310,63559,14224,9417,
2011-12-26,"=DATE(2011,12,26)",117701,134252,107844,93875,96392,10477,31959,64953,13878,10312,
2011-12-27,"=DATE(2011,12,27)",111681,156533,117998,101491,96136,10060,30387,61185,14049,10049,
2011-12-28,"=DATE(2011,12,28)",94426,159959,119472,102988,92273,8716,25775,51409,13699,8526,
2011-12-29,"=DATE(2011,12,29)",57371,159909,119870,101314,94941,5990,15764,30676,16198,4941,
2011-12-30,"=DATE(2011,12,30)",58672,147884,114278,97581,106517,6272,16372,31314,15355,4714,
2011-12-31,"=DATE(2011,12,31)",59195,118784,96475,82960,93675,6340,16931,31817,10982,4107,
2012-01-01,"=DATE(2012,1,1)",66690,124635,103259,89334,91510,7180,18379,36310,12548,4821,
2012-01-02,"=DATE(2012,1,2)",68328,164262,131338,117349,107712,7219,19026,36848,15164,5235,
2012-01-03,"=DATE(2012,1,3)",61599,180187,136692,118363,104018,6127,17347,32957,14472,5168,
2012-01-04,"=DATE(2012,1,4)",59354,193492,138796,119543,106491,5973,16618,31661,21490,5102,
2012-01-05,"=DATE(2012,1,5)",57910,196677,136854,118529,105855,5634,16410,30806,21698,5060,
2012-01-06,"=DATE(2012,1,6)",58725,185047,134368,113794,98299,5811,16598,31157,20150,5159,
2012-01-07,"=DATE(2012,1,7)",64941,154958,123753,112194,102092,6607,18283,34766,20028,5285,
2012-01-08,"=DATE(2012,1,8)",71826,165329,134114,123987,106757,7478,20049,38728,22309,5571,
2012-01-09,"=DATE(2012,1,9)",61913,206880,146596,125856,104128,6351,17786,32223,24908,5553,
2012-01-10,"=DATE(2012,1,10)",57515,207547,145642,125833,103326,29359,16119,6315,22959,5722,
2012-01-11,"=DATE(2012,1,11)",57286,206457,144970,128159,105585,29456,16157,5959,18056,5714,
2012-01-12,"=DATE(2012,1,12)",56828,202536,141319,123297,102684,29339,16060,5835,18473,5594,
2012-01-13,"=DATE(2012,1,13)",56822,196074,135538,113670,102566,29429,15911,5808,22676,5674,
2012-01-14,"=DATE(2012,1,14)",63438,158989,122586,111223,101931,33887,18022,6054,23988,5475,
2012-01-15,"=DATE(2012,1,15)",72005,170065,136342,128143,106871,39083,20275,6797,26957,5850,
2012-01-16,"=DATE(2012,1,16)",64222,206079,147508,130892,107565,33924,18039,6361,22335,5898,
2012-01-17,"=DATE(2012,1,17)",58452,208366,144937,130456,105383,30305,16294,6061,20057,5792,
2012-01-18,"=DATE(2012,1,18)",64521,198881,151331,148145,105546,33580,18432,6220,20177,6289,
2012-01-19,"=DATE(2012,1,19)",58841,203669,140656,131549,103969,29809,16972,6023,20247,6037,
2012-01-20,"=DATE(2012,1,20)",58571,192070,135814,120139,102881,29899,16899,5872,19791,5901,
2012-01-21,"=DATE(2012,1,21)",65455,152980,125438,115106,105912,34691,18752,6254,18121,5758,
2012-01-22,"=DATE(2012,1,22)",73785,163292,139360,129996,110590,39420,21578,6799,21552,5988,
2012-01-23,"=DATE(2012,1,23)",62346,204682,147032,130428,106955,32493,17912,5981,19581,5960,
2012-01-24,"=DATE(2012,1,24)",58247,204671,146293,129129,103539,29538,17018,5972,20899,5719,
2012-01-25,"=DATE(2012,1,25)",56925,198398,138964,127442,102677,28998,16479,5706,18739,5742,
2012-01-26,"=DATE(2012,1,26)",56980,192877,136919,124858,101707,28915,16292,5896,16557,5877,
2012-01-27,"=DATE(2012,1,27)",57478,184108,131826,116395,99171,28995,17037,5644,15658,5802,
2012-01-28,"=DATE(2012,1,28)",63911,148306,122855,113163,97126,33548,18665,6081,15301,5617,
2012-01-29,"=DATE(2012,1,29)",71042,162877,137716,130828,110944,37430,20831,6620,17325,6161,
2012-01-30,"=DATE(2012,1,30)",59905,205335,144756,131004,110410,30625,17474,5916,16096,5890,
2012-01-31,"=DATE(2012,1,31)",56491,200493,141288,130868,108095,28481,16295,5848,16107,5867,
2012-02-01,"=DATE(2012,2,1)",56148,198565,140360,128996,106718,28183,16377,5729,16452,5859,
2012-02-02,"=DATE(2012,2,2)",55907,198550,138566,126046,106354,28414,16133,5685,16518,5675,
2012-02-03,"=DATE(2012,2,3)",56251,182567,129859,116903,99965,28831,16096,5617,14766,5707,
2012-02-04,"=DATE(2012,2,4)",62466,147468,118552,114186,101165,32831,18004,5945,14618,5686,
